node_id,genome_id
1,20170700_P34_1
11,20170700_P34_4
3,20170700_P34_5
413,20120500_P13_5
5,20120700_P3D_51
6,20150700_P31_13
7,20120700_P3D_58
8,3300037076_8
9,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.147_84.14_8.29
10,3300037076_9
2,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.50_91.45_2.99
12,20120700_P2D_10
13,20120700_P2D_11
14,20110800_P1D_21
15,20110800_P1D_22
16,20110800_P1D_24
17,20110800_P1D_29
18,PLYZ01
19,3300037222_12
20,Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.116_93.98_2.97
21,20120800_E1X_21
347,PMSU01
23,3300037136_8
24,20120700_S1D_19
25,20110700_P2D_9
26,20110700_P2D_8
27,20110700_P2D_7
28,20110700_P2D_2
29,20120500_P23_1
30,20120500_P23_5
31,20120500_P23_4
32,20120500_P23_6
33,20120700_P1D_9
34,20110800_E2D_35
35,20120700_P1D_3
36,20160700_S23_5
37,Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.126_94.83_0.00
38,20120500_P28_10
39,20120500_P28_12
40,3300037104_22
41,Palsa.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.58_71.79_7.57
42,20150700_P24_8
159,20110800_E3D_9
418,20110700_P1D_2
45,3300037180_6
46,PLWZ01
47,20150700_P24_5
419,Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.75_85.15_2.19
49,PLYD01
420,Palsa.Labelled.R3.T1.F2.trimmomatic.metaspades_bin.24_90.12_0.10
51,20111000_P3M_27
52,PLCN01
53,20111000_P3M_21
54,20111000_P3M_22
55,20111000_P3M_28
56,3300037138_9
57,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.300_98.33_0.91
58,20120700_P3D_97
59,20110700_P3M_9
60,20120700_P3D_93
61,20120700_P3D_92
62,20120800_P1D_2
63,20120800_P1D_1
64,20111000_P3M_7
65,20120700_P3D_100
66,Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.94_89.19_4.42
67,20120700_P3D_105
68,Palsa.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.27_81.74_0.87
69,20120700_P3D_108
70,Bog.None.R2.T0.JGI.BFC.metaspades_bin.84_100.00_0.00
