"","MEblue","MEgreen","MElightyellow","MEgrey60","MEturquoise","MEyellow","MEtan","MEcyan","MEmagenta","MElightgreen","MEpurple","MEbrown","MEred","MEmidnightblue","MEblack","MEpink","MEroyalblue","MEdarkred","MElightcyan","MEgreenyellow","MEsalmon","MEgrey"
"711_E-1-D",-0.00498067281908865,0.0374965438244561,-0.0238802352021117,0.0257566818418076,0.147432072986052,-0.0318833663429754,-0.0259950021397426,-0.0180890712149446,-0.0235050248967934,-0.0091309289382332,-0.015703911663551,-0.0365780453767439,-0.0278307045909565,-0.0344761203083637,-0.0237125027873209,-0.031417162153278,-0.0220791520601362,-0.024455512936765,-0.00824549817870241,-0.0320464861210969,-0.0303514496774225,-0.00798997416800194
"711_E-1-M",-0.00768616882374884,0.156563639166562,0.0916290071648649,0.119448377108045,0.117454423146689,-0.0231437364399687,-0.024121834887296,-0.0180890712149448,-0.0235050248967928,-0.0235345183163897,-0.0304418880960313,-0.0480642133262604,-0.032305836527153,-0.0344761203083636,-0.0237125027873207,-0.0314171621532781,-0.0191216920786629,-0.0244555129367649,-0.00346722265577972,-0.0320464861210966,-0.0268021357916965,-0.0246161163595986
"711_E-1-S",-0.00877217708488039,0.152769046821007,0.198682033748943,0.145969102307981,0.0678172959227522,-0.0237275520642606,-0.0244639571400186,-0.0180890712149448,-0.0235050248967928,-0.038486134296747,-0.0437902418515236,-0.0517873581639961,-0.0422222340850951,-0.0344761203083635,-0.0237125027873209,-0.0314171621532781,-0.0159497937569161,-0.024455512936765,-0.00537638413832136,-0.0320464861210968,-0.0303514496774223,-0.0414569429607712
"711_E-2-D",0.00301918809100912,0.0218853880464084,-0.0242419876829783,0.0626669408329608,0.134272095345779,-0.0350996884643977,-0.0251291568341254,-0.0180890712149448,-0.0235050248967929,-0.00193402542951415,-0.0268001814181665,-0.0396911055538486,-0.0400887617606596,-0.0344761203083635,-0.0237125027873208,-0.0314171621532781,-0.00649469892951009,-0.0244555129367649,-0.00780318533361458,-0.0320464861210968,-0.0288325105954893,-0.0121237200800493
"711_E-2-M",-0.00281010295460919,0.113541600346356,-0.0162453012573717,-0.00556384996831362,0.142268648804911,-0.0240141010353619,-0.0210024757244946,-0.0180890712149448,-0.0235050248967929,0.000401538176717921,0.00367225918204116,-0.0386153631709843,-0.0142384028770577,-0.0344761203083635,-0.0237125027873208,-0.0314171621532782,-0.00919336470532971,-0.0221347843390887,-0.0065238696631791,-0.0320464861210967,-0.0215287395819665,0.0290382626017477
"711_E-2-S",-0.00288731762739152,0.18116918991615,0.0491522312875873,0.022783818789013,0.0983346187633392,-0.0302856514269491,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0245841827036444,-0.0450203210153457,-0.048366000648026,-0.0345078267583271,-0.0344761203083635,-0.0237125027873208,-0.0314171621532782,-0.0127197154105913,-0.0217639747411897,0.00413856134377844,-0.0320464861210967,-0.0279757067240098,-0.0221974549693958
"711_E-3-D",0.0108773077941922,0.0696759018518693,0.0398918275736475,0.189304117242402,0.119158085271383,-0.0350996884643977,-0.0249163310863701,-0.0180890712149448,-0.0235050248967929,-0.0148131819596601,-0.0388086349038629,-0.0456883827204843,-0.0392346205522113,-0.0344761203083635,-0.0237125027873208,-0.0314171621532782,-0.0136490038281245,-0.024455512936765,-0.00742878541164903,-0.0320464861210967,-0.0303514496774223,-0.0146538142555001
"711_E-3-M",-0.00668504935416722,0.150115892676308,0.0305394526223,0.0640012615885807,0.141829670349327,-0.0316692550674554,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0417135075836422,-0.0393973248976874,-0.048908489775917,-0.0406211611878785,-0.0344761203083636,-0.0237125027873208,-0.0314171621532782,-0.0161413190741153,-0.024455512936765,-0.00452182957898132,-0.0320464861210968,-0.0303514496774223,0.0286508553298097
"711_E-3-S",-0.00501313616309832,0.191122554389985,0.113371568371674,0.121902078557702,0.0840129115640883,-0.0338616838112301,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0404162994169463,-0.0464873289925904,-0.0515901139763552,-0.043781852871782,-0.0344761203083636,-0.0237125027873207,-0.0314171621532782,-0.0151562917578257,-0.024455512936765,-0.00391713490556155,-0.0320464861210967,-0.0303514496774223,-0.019019598994242
"711_P-1-D",-0.0246195532355021,-0.0361431158972416,-0.025704912477019,-0.0372768076792773,-0.0465102154061281,-0.0350996884643977,-0.0259950021397423,-0.0180890712149448,-0.0235050248967929,-0.0438943702752033,-0.0465667902035997,-0.0525198664644027,-0.047397402786677,-0.0285219776358491,-0.0237125027873207,-0.0314171621532781,0.120988920951142,0.212932962016079,0.594982537015315,-0.0288512686143561,0.0244024444337322,-0.0416751033255519
