"","Radius"
"3300037175_6",0.844838231565979
"PLNE01",0.658014731435298
"20120500_P26_8",0.749802205199616
"20130700_S1Z_14",0.611492002805657
"20120700_S1X_2",0.571088638541102
"20110800_S1D_5",0.551206478997796
"20110800_E3D_9",0.345351800283614
"20110800_S1M_32",0.382729829794054
"20170700_S34_26",0.511999025162978
"20170700_S34_2",0.635740569305959
"20110800_S1D_14",0.797206947028164
"20170700_S25_9",0.817861714252726
"20170700_S34_23",0.637305687945232
"20150700_S15_15",0.743672358865113
"20120800_E3X_27",0.45191641444279
"20140700_S16_1",0.59722291581816
"20170700_S25_14",0.751989758374287
"20170700_S25_1",0.816933612786125
"20120700_S1X_12",0.604744276298021
"20170700_S25_26",0.835213024226346
"20110800_S3D_19",0.397127372589667
"20110800_S1M_8",0.327237637304307
"20110800_S1M_20",0.48245816176194
"20170700_S25_38",0.308929316754091
"20170700_S34_25",0.384298188288523
"20170700_S35_2",0.430902834640601
"PLXS01",0.810479308117403
"20150700_S25_3",0.386592698839904
"20110700_S2D_14",0.561865489220327
"20120700_S2X_13",0.671515565758878
"20170700_E14_6",0.386616457437146
"20120800_E1D_7",0.454225479598639
"PLGY01",0.783147093343559
"20110700_S2D_21",0.247038005515475
