"","Radius"
"3300037175_6",1.00196643440479
"PLNE01",0.339318679074545
"20120500_P26_8",0.528066138058897
"20130700_S1Z_14",0.691670021215539
"20120700_S1X_2",2.12291964643815
"20110800_S1D_5",1.09924685378316
"20110800_E3D_9",1.29776963311888
"20110800_S1M_32",0.277981019574788
"20170700_S34_26",0.505987708098164
"20170700_S34_2",0.797002571995734
"20110800_S1D_14",1.44632664507102
"20170700_S25_9",1.57089674881729
"20170700_S34_23",0.405525884085217
"20150700_S15_15",0.743500806188164
"20120800_E3X_27",1.81172095632854
"20140700_S16_1",0.391789035394791
"20170700_S25_14",1.2047487316299
"20170700_S25_1",1.27787923175536
"20120700_S1X_12",0.620910022620105
"20170700_S25_26",2.17457953305845
"20110800_S3D_19",0.63726390879825
"20110800_S1M_8",0.25295211593124
"20110800_S1M_20",0.263660645210345
"20170700_S25_38",0.370672435723762
"20170700_S34_25",0.347478776676106
"20170700_S35_2",0.269665965009553
"PLXS01",0.577646024536775
"20150700_S25_3",0.11211588461166
"20110700_S2D_14",0.438522878926225
"20120700_S2X_13",0.874098003535535
"20170700_E14_6",0.31598080151339
"20120800_E1D_7",0.282070647457613
"PLGY01",2.10107176141887
"20110700_S2D_21",0.278338618925286
