"Module","Habitat","Metadata_Parameter","Correlation","P_value","Q_value"
"MEblue","All","Year__",-0.15204698671788,0.0320444982502964,0.053263601236762
"MEgreen","All","Year__",-0.0500322022215117,0.482813555678456,0.5551490633034
"MElightyellow","All","Year__",0.0154807243861963,0.828192940296127,0.861492526741237
"MEgrey60","All","Year__",-0.00953258689716757,0.893695487521494,0.916552149606443
"MEturquoise","All","Year__",-0.101013793221312,0.15571488863314,0.211308529075767
"MEyellow","All","Year__",-0.0333388717646273,0.640163713766582,0.70330314854904
"MEtan","All","Year__",0.0959409579075594,0.177658579788214,0.236878106384286
"MEcyan","All","Year__",-0.0743719394711223,0.29649342669355,0.363589798483528
"MEmagenta","All","Year__",-0.0283596480227101,0.690908976120214,0.745271013918509
"MElightgreen","All","Year__",0.000509777762542145,0.994298366984088,0.999908827989014
"MEpurple","All","Year__",0.00340854412154689,0.961891048462442,0.972807844724941
"MEbrown","All","Year__",0.0314802703562271,0.658926537641638,0.718991949916454
"MEred","All","Year__",-0.0148395117694493,0.835205713196259,0.868224215143746
"MEmidnightblue","All","Year__",0.130614716473685,0.0659408823157406,0.0989421657946191
"MEblack","All","Year__",0.0432338021966998,0.544296066794208,0.613097535911453
"MEpink","All","Year__",0.104691776829989,0.141128232738466,0.19380966208262
"MEroyalblue","All","Year__",-0.117688143426453,0.0978241213369736,0.139361714627362
"MEdarkred","All","Year__",0.00966782230781452,0.892196459815489,0.915600205722358
"MElightcyan","All","Year__",-0.114817676754766,0.106344454579203,0.149105336665246
"MEgreenyellow","All","Year__",0.132808527395332,0.0614859632570009,0.0932169045975703
"MEsalmon","All","Year__",0.0451416660845071,0.526659983770132,0.597005380895613
"MEgrey","All","Year__",-0.0391129828647899,0.583355078361105,0.650696485181649
"MEblue","All","Habitat__",NA,NA,NA
"MEgreen","All","Habitat__",NA,NA,NA
"MElightyellow","All","Habitat__",NA,NA,NA
"MEgrey60","All","Habitat__",NA,NA,NA
"MEturquoise","All","Habitat__",NA,NA,NA
"MEyellow","All","Habitat__",NA,NA,NA
"MEtan","All","Habitat__",NA,NA,NA
"MEcyan","All","Habitat__",NA,NA,NA
"MEmagenta","All","Habitat__",NA,NA,NA
"MElightgreen","All","Habitat__",NA,NA,NA
"MEpurple","All","Habitat__",NA,NA,NA
"MEbrown","All","Habitat__",NA,NA,NA
"MEred","All","Habitat__",NA,NA,NA
"MEmidnightblue","All","Habitat__",NA,NA,NA
"MEblack","All","Habitat__",NA,NA,NA
"MEpink","All","Habitat__",NA,NA,NA
"MEroyalblue","All","Habitat__",NA,NA,NA
"MEdarkred","All","Habitat__",NA,NA,NA
"MElightcyan","All","Habitat__",NA,NA,NA
"MEgreenyellow","All","Habitat__",NA,NA,NA
"MEsalmon","All","Habitat__",NA,NA,NA
"MEgrey","All","Habitat__",NA,NA,NA
"MEblue","All","DepthAvg__",0.292334720986822,2.79197170681346e-05,8.46563821876898e-05
"MEgreen","All","DepthAvg__",-0.278983398049175,6.59985188258805e-05,0.000191431508493151
"MElightyellow","All","DepthAvg__",-0.221389943101272,0.00167509814406506,0.00381655883960279
"MEgrey60","All","DepthAvg__",-0.0883082210250826,0.214857914773118,0.275926417370761
"MEturquoise","All","DepthAvg__",-0.141538296402675,0.0461394293305143,0.0726277180040677
"MEyellow","All","DepthAvg__",-0.31373909367327,6.40948178566966e-06,2.17353251251884e-05
"MEtan","All","DepthAvg__",-0.324426803381032,2.9418154541175e-06,1.04288481268202e-05
"MEcyan","All","DepthAvg__",-0.268212981607875,0.000128043238947306,0.000351079239780305
"MEmagenta","All","DepthAvg__",-0.320551349951617,3.91518550576856e-06,1.35929817126683e-05
"MElightgreen","All","DepthAvg__",0.391137694892076,1.11574917338917e-08,5.2329288716849e-08
"MEpurple","All","DepthAvg__",0.209178733645287,0.00302571774685979,0.00638694698234787
"MEbrown","All","DepthAvg__",0.145681268373382,0.0400622014452803,0.0645826845409342
"MEred","All","DepthAvg__",-0.17103193574442,0.0157210856320597,0.0280184681709153
"MEmidnightblue","All","DepthAvg__",-0.195116976805977,0.00574980400932277,0.0113579872302386
"MEblack","All","DepthAvg__",-0.324146605117687,3.00364290047528e-06,1.05654456411455e-05
"MEpink","All","DepthAvg__",-0.329273704162757,2.04612257197565e-06,7.42529548744105e-06
"MEroyalblue","All","DepthAvg__",0.49547434949394,1.00552879197926e-13,8.57908607624854e-13
"MEdarkred","All","DepthAvg__",0.295310789663596,2.2910919108055e-05,7.0671373556385e-05
"MElightcyan","All","DepthAvg__",0.289398409971076,3.38611563242597e-05,0.00010114207587358
"MEgreenyellow","All","DepthAvg__",0.0569974483081479,0.423923422130305,0.494140996879691
"MEsalmon","All","DepthAvg__",0.324381148635593,2.95180614063365e-06,1.04288481268202e-05
"MEgrey","All","DepthAvg__",0.184365901632081,0.00913922051917095,0.0172869218310733
"MEblue","All","ALD.cm__",-0.0479938105177856,0.500846149864924,0.572263146645141
"MEgreen","All","ALD.cm__",-0.0815745028742207,0.252039077549672,0.318072919268036
"MElightyellow","All","ALD.cm__",-0.0139289949775964,0.845186047438103,0.875761253288577
"MEgrey60","All","ALD.cm__",-1.80281811076233e-09,0.999999979836127,0.999999979836127
"MEturquoise","All","ALD.cm__",0.474961970185698,1.36144994775427e-12,1.02524212028068e-11
"MEyellow","All","ALD.cm__",0.608048890766063,1.66107999192933e-21,3.60050311764141e-20
"MEtan","All","ALD.cm__",0.188843214503457,0.00755676463840964,0.0146036752771194
"MEcyan","All","ALD.cm__",0.537259934744765,2.81230918924966e-16,3.11099582038376e-15
"MEmagenta","All","ALD.cm__",0.54743667823814,5.91763117479124e-17,6.97932382673908e-16
"MElightgreen","All","ALD.cm__",0.301217608700242,1.53736614497144e-05,4.90245585792087e-05
"MEpurple","All","ALD.cm__",0.42437431851683,4.19528967447933e-10,2.32042918547064e-09
"MEbrown","All","ALD.cm__",0.53648815808976,3.15843789272884e-16,3.44634991832454e-15
"MEred","All","ALD.cm__",0.596580907682319,1.43198647160248e-20,2.67082127959347e-19
"MEmidnightblue","All","ALD.cm__",-0.382621753346144,2.44378035425978e-08,1.11358627506611e-07
"MEblack","All","ALD.cm__",-0.140494283526581,0.0477869264652248,0.0749269110950349
"MEpink","All","ALD.cm__",-0.273417370405072,9.32764983740162e-05,0.000262023648672368
"MEroyalblue","All","ALD.cm__",-0.154360128716265,0.0294907268796475,0.0494285537251353
"MEdarkred","All","ALD.cm__",-0.2374023238395,0.000734749471126005,0.0017992948880704
"MElightcyan","All","ALD.cm__",-0.130621814333804,0.0659260542639264,0.0989421657946191
"MEgreenyellow","All","ALD.cm__",-0.354141001676461,2.87312811394603e-07,1.16131116409893e-06
"MEsalmon","All","ALD.cm__",-0.244484099171674,0.000501210105370255,0.00126009562541362
"MEgrey","All","ALD.cm__",0.282527614895053,5.2745668754196e-05,0.000154105742589673
"MEblue","All","T_air.deg_C",-0.0126765645335605,0.858954221164913,0.887733615173015
"MEgreen","All","T_air.deg_C",0.00491506375391842,0.945069908279645,0.958818553371632
"MElightyellow","All","T_air.deg_C",0.0776601600234522,0.275590967360492,0.34347157082069
"MEgrey60","All","T_air.deg_C",0.0817957779390293,0.250750617575817,0.316696055583946
"MEturquoise","All","T_air.deg_C",-0.0506186832628469,0.477690871802776,0.550838359720815
"MEyellow","All","T_air.deg_C",0.0381395616018199,0.592767404405216,0.658904308153823
"MEtan","All","T_air.deg_C",0.0448148913494615,0.529659976880925,0.599558647083278
"MEcyan","All","T_air.deg_C",-0.0847728463542743,0.233858240739886,0.29794171417536
"MEmagenta","All","T_air.deg_C",-0.0263928105300055,0.711356094366215,0.761692373406815
"MElightgreen","All","T_air.deg_C",0.0922148221282856,0.195176348672433,0.255979446664418
"MEpurple","All","T_air.deg_C",0.0774764379837187,0.276731843185723,0.344625680489052
"MEbrown","All","T_air.deg_C",0.0576078696298993,0.418969115397899,0.48910222787353
"MEred","All","T_air.deg_C",0.0456907677960245,0.521638356523865,0.592569351178668
"MEmidnightblue","All","T_air.deg_C",-0.217896405643721,0.00199028782023261,0.00442776929771582
"MEblack","All","T_air.deg_C",-0.144268358165811,0.0420542790744393,0.0671863183619529
"MEpink","All","T_air.deg_C",-0.197453715063447,0.00518266132866347,0.0103782631350514
"MEroyalblue","All","T_air.deg_C",0.230046828081443,0.00108035801009017,0.00255066502687655
"MEdarkred","All","T_air.deg_C",0.115819238509421,0.103307582704322,0.145876291437108
"MElightcyan","All","T_air.deg_C",0.126031777752115,0.0761001326392563,0.11198588325997
"MEgreenyellow","All","T_air.deg_C",-0.102078027432545,0.151382111599605,0.206301535264033
"MEsalmon","All","T_air.deg_C",0.0584237331135218,0.412400460393784,0.482135815212558
"MEgrey","All","T_air.deg_C",-0.0414481374468254,0.561062259694,0.630133551583764
"MEblue","All","T_soil.deg_C",-0.0296383643434394,0.677733454692278,0.734516527923253
"MEgreen","All","T_soil.deg_C",0.351721675567142,3.5040673315797e-07,1.40865263154232e-06
"MElightyellow","All","T_soil.deg_C",0.25895034660874,0.000221514325922152,0.000581520423533767
"MEgrey60","All","T_soil.deg_C",0.248721325534362,0.000396542936409165,0.00100801088748067
"MEturquoise","All","T_soil.deg_C",0.312862461438089,6.82324172773061e-06,2.29926044774788e-05
"MEyellow","All","T_soil.deg_C",0.294771235026688,2.37509514716349e-05,7.31219312101774e-05
"MEtan","All","T_soil.deg_C",0.356637456088036,2.33686572375966e-07,9.66065108482085e-07
"MEcyan","All","T_soil.deg_C",0.194360897143898,0.00594485624704528,0.0116857223287508
"MEmagenta","All","T_soil.deg_C",0.290109758340698,3.2321182089628e-05,9.69031328444175e-05
"MElightgreen","All","T_soil.deg_C",-0.213006354771368,0.00252243229363558,0.00545610796733456
"MEpurple","All","T_soil.deg_C",-0.0445177433477183,0.532395442065524,0.601805700544821
"MEbrown","All","T_soil.deg_C",0.0442501492592419,0.534864900863559,0.604171338721936
"MEred","All","T_soil.deg_C",0.243256240308823,0.000536007582918649,0.00133710134214854
"MEmidnightblue","All","T_soil.deg_C",-0.116630889289875,0.100897085810117,0.14284106411247
"MEblack","All","T_soil.deg_C",0.094020344476372,0.186537131040493,0.246665752835079
"MEpink","All","T_soil.deg_C",0.0409421237955054,0.565858088840548,0.63338197801831
"MEroyalblue","All","T_soil.deg_C",-0.435699679464786,1.26076060014268e-10,7.54574627846591e-10
"MEdarkred","All","T_soil.deg_C",-0.416754645791849,9.19007649098291e-10,4.93006110084836e-09
"MElightcyan","All","T_soil.deg_C",-0.330339872940198,1.88747439239907e-06,6.89637568430094e-06
"MEgreenyellow","All","T_soil.deg_C",-0.331113819748662,1.77973152248734e-06,6.53246993608627e-06
"MEsalmon","All","T_soil.deg_C",-0.483719310712327,4.57187024586244e-13,3.63033657146701e-12
"MEgrey","All","T_soil.deg_C",0.182260735996672,0.00997990926350406,0.0187444665792278
"MEblue","All","O2.percent",-0.563023065599501,4.89554732555007e-18,6.59870412620363e-17
"MEgreen","All","O2.percent",-0.41669406927625,9.24682429904962e-10,4.9439687252252e-09
"MElightyellow","All","O2.percent",-0.291398361721852,2.969826904803e-05,8.95413976560906e-05
"MEgrey60","All","O2.percent",-0.504479197603504,3.02881592514113e-14,2.74098337498664e-13
"MEturquoise","All","O2.percent",-0.549206729328182,4.48801584918017e-17,5.41261460307142e-16
"MEyellow","All","O2.percent",0.307938437899021,9.66045107321007e-06,3.16231908600591e-05
"MEtan","All","O2.percent",0.473722350288026,1.58490235295623e-12,1.17151307564138e-11
"MEcyan","All","O2.percent",0.402872919976989,3.64964735473675e-09,1.84669853533052e-08
"MEmagenta","All","O2.percent",0.410013803188215,1.80957545754381e-09,9.34102586672063e-09
"MElightgreen","All","O2.percent",-0.476887979961227,1.07380965579565e-12,8.20186041855345e-12
"MEpurple","All","O2.percent",-0.56380167013812,4.3075818123772e-18,5.95634588539055e-17
"MEbrown","All","O2.percent",-0.548709658766251,4.85122005711713e-17,5.80698281463872e-16
"MEred","All","O2.percent",-0.319888645346738,4.10968155203759e-06,1.42374280982037e-05
"MEmidnightblue","All","O2.percent",0.594423807587608,2.12696619445872e-20,3.87687929080884e-19
"MEblack","All","O2.percent",0.43329124766123,1.63414211217962e-10,9.67219168980117e-10
"MEpink","All","O2.percent",0.588514112731857,6.19377953907642e-20,1.09173872315149e-18
"MEroyalblue","All","O2.percent",0.143845826176542,0.0426659276046035,0.0679604249034598
"MEdarkred","All","O2.percent",0.355052821864694,2.66485641337826e-07,1.09127636835194e-06
"MElightcyan","All","O2.percent",0.118048671498178,0.0967933611218663,0.13862192074953
"MEgreenyellow","All","O2.percent",0.520399460181109,3.32359724686842e-15,3.21147589396202e-14
"MEsalmon","All","O2.percent",0.356515424331388,2.3606815915643e-07,9.7340186963217e-07
"MEgrey","All","O2.percent",-0.622120446197039,1.04564664482998e-22,2.47794746372438e-21
"MEblue","All","pH_porewater",0.462663780800441,5.98673415834627e-12,4.03475697058295e-11
"MEgreen","All","pH_porewater",0.738036789518939,1.68558313770246e-35,1.80245023524983e-33
"MElightyellow","All","pH_porewater",0.47696867849905,1.06314983613382e-12,8.15929347922796e-12
"MEgrey60","All","pH_porewater",0.688758193074968,2.50752342401705e-29,1.29744115229786e-27
"MEturquoise","All","pH_porewater",0.714807901559419,1.99144774984215e-32,1.38881834380296e-30
"MEyellow","All","pH_porewater",-0.470671042333665,2.29792607376597e-12,1.61661115014062e-11
"MEtan","All","pH_porewater",-0.286761731128492,4.01938105892373e-05,0.000118730888002093
"MEcyan","All","pH_porewater",-0.211418674744729,0.00272116755976889,0.00582744027485888
"MEmagenta","All","pH_porewater",-0.259012618525911,0.000220714245248458,0.000580369917013978
"MElightgreen","All","pH_porewater",-0.506901285632329,2.18008173779433e-14,2.00968454449546e-13
"MEpurple","All","pH_porewater",-0.675582894327621,7.01418405515743e-28,2.96072400644013e-26
"MEbrown","All","pH_porewater",-0.787088374323684,3.31760327897405e-43,7.60205094210626e-41
"MEred","All","pH_porewater",-0.591512212519474,3.61117320533927e-20,6.50822676557775e-19
"MEmidnightblue","All","pH_porewater",-0.261886456009404,0.000186588166271876,0.000496330710945423
"MEblack","All","pH_porewater",-0.161288200656612,0.0228557172631117,0.0391862938918568
"MEpink","All","pH_porewater",-0.370107383816556,7.43187542603263e-08,3.26595292694694e-07
"MEroyalblue","All","pH_porewater",0.257092740150762,0.000246661039166151,0.000642456505833211
"MEdarkred","All","pH_porewater",-0.076561676546613,0.282459832961208,0.349048976941277
"MElightcyan","All","pH_porewater",0.553907025277979,2.13641329401785e-17,2.65643947566251e-16
"MEgreenyellow","All","pH_porewater",-0.169467014585889,0.0167157830194085,0.0297251839946022
"MEsalmon","All","pH_porewater",-0.224942307632705,0.00140195353008229,0.00324024994560807
"MEgrey","All","pH_porewater",-0.0127361431988136,0.858298263525389,0.887733615173015
"MEblue","All","pH_peat",0.362200720498345,1.4652456428627e-07,6.20119791860624e-07
"MEgreen","All","pH_peat",0.565179979563714,3.43168348964284e-18,4.83755891506658e-17
"MElightyellow","All","pH_peat",-7.61310412114524e-09,0.999999914850165,0.999999979836127
"MEgrey60","All","pH_peat",NA,NA,NA
"MEturquoise","All","pH_peat",0.327275489589412,2.37830851357989e-06,8.55337860040839e-06
"MEyellow","All","pH_peat",0.0916264692514458,0.19805349176613,0.258995685965673
"MEtan","All","pH_peat",0.0690706620086807,0.332354764899269,0.400223005179
"MEcyan","All","pH_peat",0.118641223799691,0.0951179832136158,0.136588402036383
"MEmagenta","All","pH_peat",0.106336461937294,0.134953047407824,0.186126129013027
"MElightgreen","All","pH_peat",0.0886080391325224,0.213298921836639,0.274707697785863
"MEpurple","All","pH_peat",0.410984678324853,1.64284407421629e-09,8.5555905683212e-09
"MEbrown","All","pH_peat",0.0771498666557417,0.278767659661924,0.345818504329254
"MEred","All","pH_peat",-0.0265920999849566,0.709274592216091,0.760105497108769
"MEmidnightblue","All","pH_peat",-0.575681674112525,5.86087858340018e-19,9.3077715324494e-18
"MEblack","All","pH_peat",-0.296962941734252,2.05097768665518e-05,6.42532853397443e-05
"MEpink","All","pH_peat",-0.504447707390073,3.0417396555338e-14,2.74098337498664e-13
"MEroyalblue","All","pH_peat",0.487116176898406,2.96901579567338e-13,2.41741184581731e-12
"MEdarkred","All","pH_peat",0.575292138931267,6.26505273201932e-19,9.85210253152842e-18
"MElightcyan","All","pH_peat",0.870031305275421,2.01444286147189e-62,3.23116634980091e-59
"MEgreenyellow","All","pH_peat",-0.300221446223979,1.64537035497731e-05,5.22608722650219e-05
