"","MEblue","MEgreen","MEmagenta","MEturquoise","MEbrown","MEblack","MEred","MEpurple","MEpink","MEyellow","MEgrey"
"711_S-1-D",-0.0385140560791403,-0.0707434415826155,-0.045130437442548,0.0713034004822308,-0.039993164682403,-0.0503120151725729,-0.0313958319487849,-0.0378149164278179,-0.0585837515820202,-0.0625911308602567,-0.0473841776217017
"711_S-1-M",-0.093280787318039,-0.075725986337472,-0.00727941596009859,0.205461753440719,-0.0362289489467069,-0.0478877313135296,-0.0286767957192355,-0.0346074343095992,-0.0397358960723383,0.0055766658417582,-0.0386166842650179
"711_S-1-S",-0.192350582624437,-0.0805060866783939,0.000333590179600627,-0.110131381369878,0.0491924718008798,0.398670478310669,0.254820504931762,0.707914086358836,0.184394017434513,0.303745535831995,-0.0589274464067737
"711_S-2-D",0.130525124880323,0.26876425953379,-0.0588815147393354,-0.0978751956457703,-0.0424170267622302,-0.0503120151725726,-0.0313958319487849,-0.0378149164278181,-0.0606252399878832,-0.0693794856003488,-0.0661501970217502
"711_S-2-M",0.0858889113281024,0.132242388791239,-0.0494646681687501,0.015400395815542,-0.0409222365017387,-0.0490400188630909,-0.0301063490305792,-0.0378149164278181,-0.0587001248989429,-0.0656644499214806,-0.0959284885282318
"711_S-3-M",0.0373704983585899,-0.0581088474683343,-0.0360899131547823,0.0332120252664828,-0.033314053856344,-0.0503120151725725,-0.029049496263989,-0.0378149164278182,-0.0546570863167341,-0.0637815876092759,0.0499876886602368
"712_S-1-D",0.0273792857355198,-0.006505354472853,0.0422931610709755,0.22912943221486,-0.0403437375174684,-0.0340959785838734,-0.0222705642260913,-0.0378149164278182,-0.0542389991445436,-0.0243758399935716,-0.101517653911101
"712_S-1-M",-0.176234039572985,-0.0787687873220756,0.442440983766215,0.100517291553246,-0.0385505181771066,0.188151862206591,0.0609980825567035,-0.0084961654600603,0.0290280084118798,0.278763491427383,-0.0608005683263654
"712_S-1-S",-0.164603548140677,-0.0783076876077668,0.190643910207294,-0.00953914354965234,-0.026311125543556,0.51752701376675,0.855421415888387,0.0133773207405078,-0.0324015006061117,0.173645602737418,-0.0641927587858219
"712_S-1-X",0.0754200131654326,0.403070557317754,-0.0404279567074969,-0.120528884019736,-0.0420796797519061,-0.0496255335834676,-0.0294982670842043,-0.0378149164278182,-0.0606252399878832,-0.066918457681317,-0.0658081826683335
"712_S-2-D",0.0717018668643032,-0.0207211937075707,0.0115563200402261,0.118303396521337,-0.0337219527317243,-0.00416593064287833,-0.0161364862131451,-0.0346332678773414,-0.0326681157746378,-0.0247795708520352,-0.0279689958032978
"712_S-2-X",0.0773425696180055,0.123152691216089,-0.0588815147393353,-0.135183407355523,-0.0426370635213962,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0699520880597727,-0.080083175371429
"712_S-3-D",0.0779967879409684,-0.0390676436285572,-0.0578317083722286,-0.0865054826776261,-0.0368135623614791,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0661973857564269,0.137801951579347
"712_S-3-S",-0.193577503362488,-0.080506086678394,0.0343418995246583,-0.120511646595408,0.065834918814562,0.425601400809069,0.337267915473459,0.489163756600667,0.291126447964646,0.28496826036528,-0.0464939378335089
"712_S-3-X",0.0746023531275071,-0.0412523552059249,-0.0577628507446171,-0.0886076794345779,-0.0365390055257403,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.068628642332838,0.132390322617704
"713_S-1-D",-0.00260975612843314,-0.067080909530438,-0.0511369707399031,0.0669841893414109,-0.0384241497746539,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0535138173274577,-0.0656412282490067,-0.0130540212528121
"713_S-1-M",-0.0919836901850813,-0.0657113448581169,0.0742471355845439,0.285473847565866,-0.0396477650691778,-0.0355209186407719,-0.0279296189127284,-0.0378149164278182,-0.0486434535810264,0.00328127908861749,-0.0195863333746651
"713_S-1-S",-0.180236005072452,-0.080506086678394,0.373204885160819,0.0854681635240051,-0.0210335229501721,0.106740736275162,-0.00120967117179153,0.0221131023431311,0.0298342553265552,0.310455115233625,-0.0637502003184431
"713_S-1-X0",0.144628313661948,-0.049447556131961,-0.0522388494932115,-0.0687964325869596,-0.0360743871816688,-0.0493413194432212,-0.0300139165719844,-0.0378149164278182,-0.0606252399878832,-0.0646979996068589,-0.00164808663711957
"713_S-1-X1",0.0557654687709083,-0.0400895497738571,-0.0572183743307441,-0.137857394912159,-0.0421418020891768,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0698232171515957,-0.0551738538874544
"713_S-1-X2",0.0344943385498374,-0.0251892545615482,-0.0535060698694088,-0.134633982210011,-0.0424952664057177,-0.0498072186447292,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0690679510394068,-0.0367487797601285
"713_S-2-D",0.143802086243359,0.18394716930392,-0.0327714462502031,-0.0191253547337568,-0.0424574511263776,-0.0406305405651076,-0.0283006924502515,-0.0378149164278182,-0.0606252399878832,-0.0637152438697752,-0.0983904673773786
"713_S-2-M",0.0670221134511583,0.0254310585165221,-0.031055070898369,0.0975930757299253,-0.042470033509447,-0.0402232518700005,-0.0274164664851825,-0.0378149164278182,-0.0596855133969916,-0.0631536745484319,-0.106409353445009
"713_S-2-S",-0.161980569434985,-0.0767047840425741,0.542639574319747,0.141456624557363,-0.0411904232456179,0.208880697590036,0.146863101452333,-0.0277885114087201,-0.00208230096603427,0.153020825371208,-0.0293975003648382
"713_S-2-X0",0.0827431885740407,0.30899893328478,-0.0566589334597501,-0.130394943192784,-0.0419175827080608,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0606252399878832,-0.0698899611728177,-0.0587071080128102
"713_S-3-D",-0.0216389506507488,-0.0685374608670219,-0.0364420390421574,0.13227314859645,-0.0365022639212238,-0.0497279654689082,-0.0313958319487849,-0.0378149164278182,-0.0474543255636055,-0.060179886044901,-0.0147845751928003
"713_S-3-M",-0.130694253340394,-0.0782193472133357,-0.0226819916079224,0.12913294832664,-0.012423629947356,-0.0493992012979165,-0.0313958319487849,-0.0378149164278182,0.0174059873886847,-0.016084909557171,0.0409688404595844
"713_S-3-S",-0.183366836133465,-0.0784293025219143,0.0359281325887962,-0.0606973462637464,0.111781858065013,0.032395760067111,-0.0257182200462881,0.101241317393668,0.382994446362549,0.18613429906096,0.0699087815483012
"713_S-3-X0",0.0368716948485543,-0.0666872539745672,-0.0576305438588083,-0.00654897037796855,-0.0371763191467815,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0583005885561094,-0.0639879953293067,0.0845988318832415
"713_S-3-X1",0.0767079012121518,-0.0608037215725681,-0.0588815147393353,-0.0589773766305415,-0.0270262934108204,-0.0503120151725726,-0.0313958319487849,-0.0378149164278182,-0.0589528808679515,-0.0657382324160229,0.461443264906278
