"","Radius"
"20120700_S3D_8",-0.520725054036625
"PLTT01",-0.110416979118461
"3300037196_14",0.0186291977926752
"3300037175_6",-0.460026665403564
"20170700_S25_25",-0.33845265168329
"20110800_E2D_15",-0.656609937790477
"PLNE01",-0.66288440569871
"20120500_P26_8",-0.666157172575125
"20140700_E22_12",-0.625013912032279
"20130700_C2X_13",-0.160881467850885
"20120700_S1D_115",-0.327331725887101
"20120700_S3X_18",-0.581975261093356
"20120700_S1X_2",-0.691908416178775
"20140700_E14_11",-0.0920936446293812
"20110800_E3D_9",-0.545266187030388
"20110800_S1M_17",-0.393585900748197
"20170700_S34_26",-0.102001358094793
"20140700_S15_2",-0.268182765663796
"20170700_S25_36",-0.33314785554509
"20170700_S33_33",-0.287667999135028
"PLTW01",-0.209596991757876
"20110800_S3D_3",-0.211331173261957
"3300037185_7",0.0555159954526014
"20170700_S25_23",-0.00443096113483058
"20140700_S36_11",-0.476533754745017
"20120700_S1D_33",-0.0430381572428621
"20110800_S1D_14",-0.551583364264114
"20110800_S3D_28",-0.387795302676589
"20170700_S34_29",-0.259914544683682
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.84_100.00_0.00",-0.376893121052991
"20120700_S1D_60",-0.219839037721519
"20170700_S25_8",-0.531362512461088
"20170700_S25_3",-0.22306547221972
"20120500_P32_6",0.0639644262788431
"20120600_S2D_6",-0.377274809914344
"20170700_S25_9",-0.568224718354208
"20120800_E1D_14",-0.313495969033294
"20170700_S34_24",-0.369336744663555
"20170700_S34_23",-0.383507042024438
"Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.151_96.12_0.92",-0.104388363798028
"20120600_E1D_19",-0.568503313571601
"20120600_S1D_7",-0.409310316326276
"PLCS01",-0.583881808688701
"20110700_P2D_11",-0.498651644705524
"20170700_E15_6",-0.129521690402405
"20150700_S15_15",-0.706141220010782
"20130700_S2D_2",-0.312050224039369
"20110700_S3M_11",-0.438520817624303
"20150700_E15_20",-0.202556198525036
"20110800_S2M_3",-0.535299145634888
"20170700_S25_7",-0.355182666284829
"20120800_E1D_18",-0.19372131778496
"20110600_S1M_11",-0.163179520343836
"20110600_S1D_15",-0.112074123319096
"20110600_P1M_18",-0.0283680251128774
"20170700_S24_10",-0.337310858313577
"20170700_S25_14",-0.583708434280796
"20120600_S1D_1",-0.127832299370636
"20120800_S3X_7",-0.40727435329095
"20110600_S1D_17",-0.123575488095006
"20170700_S25_1",-0.570387761688662
"PLPO01",-0.564084657804276
"20120500_P28_11",-0.576113346670114
"20170700_S24_5",-0.31956156911835
"20110700_S3M_12",-0.260766191272117
"20120700_S1D_41",-0.423070319537618
"20120700_P3D_35",-0.127451829863914
"PLHP01",-0.167474548232549
"20170700_S25_26",-0.582435918763286
"20160700_S15_2",-0.440768705225489
"20110800_S3D_19",-0.22929541916743
"20110800_S1M_8",-0.182258671157916
"20130700_S3Z_1",-0.398026053272298
"20170700_S25_38",-0.558981389233028
"20120700_S1D_13",-0.594221836754573
"20120700_S1D_25",0.00437847848267689
"PLNV01",-0.477166642663354
"20120700_S1D_97",-0.309083959839542
"20120700_S1D_52",-0.235738515080547
"PLTJ01",-0.407964463668239
"20120700_P3D_87",-0.17078217092773
"20120700_P3D_148",-0.174547947156468
"20120700_S1D_106",-0.14155280170309
"20160700_S14_9",-0.268769856641931
"20120700_S1D_73",-0.259652391698764
"20120700_S1D_103",-0.352650881615779
"20120700_S1D_30",0.0342998544248125
"20160700_E23_26",-0.273120229111504
"PLXS01",-0.556129372534974
"20120700_S1D_89",-0.270811195184289
"20170700_S24_4",-0.253026648019331
"20110800_S3D_14",-0.427514445945207
"PLGF01",-0.569731040859886
"20170700_S25_32",-0.195958518014514
"20110700_S2D_14",-0.44616816939789
"20120700_S1D_61",-0.332152695197225
"20120800_E1D_21",-0.473912679412964
"20120700_S2X_13",-0.536018093035795
"20170700_S24_9",-0.311708747340005
"20120800_E1D_8",-0.455485824004473
"20110600_S1D_11",-0.293498939748379
"20150700_E14_13",-0.169047047860791
"20120700_S1D_85",-0.56641250653631
"20170700_S24_16",-0.0213440938139993
"20120700_S1D_67",-0.278382404828915
"20120800_E1D_7",-0.412789009404041
"20150700_E14_5",-0.608931733074788
"20120700_S1D_107",-0.116674762178776
"20150700_S15_12",-0.570176485929525
"20120700_S1D_12",-0.128880257287131
"20120700_S1D_70",-0.121959495684295
"3300037207_8",-0.207915232588507
"PLGY01",-0.589018159454021
"20120700_S1D_59",-0.422112962348828
"20110700_S2D_21",-0.524875605464789
