"","Radius"
"20120700_S3D_8",0.418835160276084
"PLTT01",-0.472366356609721
"3300037196_14",-0.288846585912297
"3300037175_6",0.784609256832673
"20170700_S25_25",0.387022355983505
"20110800_E2D_15",0.741163898737474
"PLNE01",0.566059286516727
"20120500_P26_8",0.702098493780865
"20140700_E22_12",0.638981601445833
"20130700_C2X_13",-0.516576394585347
"20120700_S1D_115",0.0610798622710554
"20120700_S3X_18",0.403139196113708
"20120700_S1X_2",0.806874859177234
"20140700_E14_11",-0.601708430794641
"20110800_E3D_9",0.636188774875459
"20110800_S1M_17",0.361791298132394
"20170700_S34_26",0.267629529203893
"20140700_S15_2",-0.22943814524501
"20170700_S25_36",0.309210175055408
"20170700_S33_33",0.32365004811108
"PLTW01",-0.355854653930329
"20110800_S3D_3",0.183815509748192
"3300037185_7",-0.0599508321390463
"20170700_S25_23",0.23262233445837
"20140700_S36_11",0.392585798607016
"20120700_S1D_33",-0.278547917187143
"20110800_S1D_14",0.579351966669941
"20110800_S3D_28",0.204585064665026
"20170700_S34_29",0.0591459383925584
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.84_100.00_0.00",-0.260448209918365
"20120700_S1D_60",-0.362850507398016
"20170700_S25_8",0.416395571841307
"20170700_S25_3",0.280777192902096
"20120500_P32_6",-0.0324827089987832
"20120600_S2D_6",-0.0880885806222519
"20170700_S25_9",0.666736801727728
"20120800_E1D_14",-0.265329698920803
"20170700_S34_24",0.450294974758204
"20170700_S34_23",0.573134052664564
"Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.151_96.12_0.92",0.0568089221721877
"20120600_E1D_19",0.272965564779186
"20120600_S1D_7",0.142921308703806
"PLCS01",0.339915770206133
"20110700_P2D_11",0.351148611174824
"20170700_E15_6",0.00192005448721658
"20150700_S15_15",0.569452548203606
"20130700_S2D_2",-0.0226482480824826
"20110700_S3M_11",0.309644369275029
"20150700_E15_20",-0.417618144288818
"20110800_S2M_3",0.0144049368851232
"20170700_S25_7",0.32013747524724
"20120800_E1D_18",-0.471195871849432
"20110600_S1M_11",-0.0581928265388794
"20110600_S1D_15",-0.270423396398786
"20110600_P1M_18",0.190175219439516
"20170700_S24_10",0.363929835453292
"20170700_S25_14",0.699402788236079
"20120600_S1D_1",0.107572915011025
"20120800_S3X_7",0.546958672402266
"20110600_S1D_17",-0.21651002165395
"20170700_S25_1",0.679699102458802
"PLPO01",0.181328353873232
"20120500_P28_11",0.460792588753213
"20170700_S24_5",0.0184879414107413
"20110700_S3M_12",-0.0991306305916132
"20120700_S1D_41",0.147146888720944
"20120700_P3D_35",-0.243768730272955
"PLHP01",0.390130496086606
"20170700_S25_26",0.759571594983835
"20160700_S15_2",0.490207027780126
"20110800_S3D_19",0.106548283411373
"20110800_S1M_8",0.120082177802476
"20130700_S3Z_1",0.364292815683748
"20170700_S25_38",0.628719270013346
"20120700_S1D_13",0.508153016963645
"20120700_S1D_25",-0.389124567802444
"PLNV01",0.337054960075236
"20120700_S1D_97",0.0227579398556201
"20120700_S1D_52",-0.415252560327478
"PLTJ01",-0.260829982385188
"20120700_P3D_87",0.348117418597984
"20120700_P3D_148",0.380189257814868
"20120700_S1D_106",-0.224213058130449
"20160700_S14_9",0.202343840578801
"20120700_S1D_73",-0.0530474251113762
"20120700_S1D_103",-0.231921519436056
"20120700_S1D_30",-0.280957528797546
"20160700_E23_26",0.00321977146383548
"PLXS01",0.743156949970201
"20120700_S1D_89",0.166644910566851
"20170700_S24_4",-0.162077030855264
"20110800_S3D_14",0.26757749197268
"PLGF01",0.450458811241488
"20170700_S25_32",-0.0534361763613251
"20110700_S2D_14",0.336416444122635
"20120700_S1D_61",0.0853724922139111
"20120800_E1D_21",0.0137821209426327
"20120700_S2X_13",0.600956962558412
"20170700_S24_9",0.14369671582846
"20120800_E1D_8",0.371260789227676
"20110600_S1D_11",-0.341168513326006
"20150700_E14_13",-0.227328671393908
"20120700_S1D_85",0.403413359377062
"20170700_S24_16",0.0398260507198473
"20120700_S1D_67",0.392991008811619
"20120800_E1D_7",0.599020808963616
"20150700_E14_5",0.376811447742281
"20120700_S1D_107",-0.188063777264294
"20150700_S15_12",0.384180510132839
"20120700_S1D_12",-0.098354891282937
"20120700_S1D_70",-0.562759442786104
"3300037207_8",-0.0598699103831514
"PLGY01",0.809783260638166
"20120700_S1D_59",-0.163840464177173
"20110700_S2D_21",0.24119455535466
