"","Radius"
"20120700_S3D_8",0.589170153741999
"PLTT01",0.294613853386431
"3300037196_14",0.344526593821596
"3300037175_6",0.925692923692541
"20170700_S25_25",0.620339502230196
"20110800_E2D_15",0.280534253692918
"PLNE01",0.4552828411735
"20120500_P26_8",0.658422269740822
"20140700_E22_12",2.17133515954384
"20130700_C2X_13",0.534174083885976
"20120700_S1D_115",0.271151364880944
"20120700_S3X_18",1.04333380371564
"20120700_S1X_2",3.62186271271187
"20140700_E14_11",1.30842001288281
"20110800_E3D_9",1.45389382326246
"20110800_S1M_17",1.98485433530372
"20170700_S34_26",0.648287947777519
"20140700_S15_2",1.86748880295291
"20170700_S25_36",1.01169266490956
"20170700_S33_33",0.580021263588497
"PLTW01",0.335023992746254
"20110800_S3D_3",1.06397291008613
"3300037185_7",0.0987860314612729
"20170700_S25_23",0.484738259345335
"20140700_S36_11",0.857448483725283
"20120700_S1D_33",0.177561180402016
"20110800_S1D_14",1.38148640833209
"20110800_S3D_28",0.624900970767967
"20170700_S34_29",0.49692828283818
"Bog.None.R2.T0.JGI.BFC.metaspades_bin.84_100.00_0.00",1.92419121228259
"20120700_S1D_60",0.39884472882111
"20170700_S25_8",0.486067684444615
"20170700_S25_3",0.636006333788353
"20120500_P32_6",0.346602121994656
"20120600_S2D_6",0.803527283727901
"20170700_S25_9",1.4788960682856
"20120800_E1D_14",2.25407624652924
"20170700_S34_24",0.981483144948727
"20170700_S34_23",0.659205129979216
"Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.151_96.12_0.92",0.282855443619919
"20120600_E1D_19",0.230360556787831
"20120600_S1D_7",1.13874854296697
"PLCS01",0.326947364571311
"20110700_P2D_11",0.742697178512845
"20170700_E15_6",0.479606569662805
"20150700_S15_15",1.1171254066538
"20130700_S2D_2",0.785670773255625
"20110700_S3M_11",1.23021730479653
"20150700_E15_20",0.237793767066562
"20110800_S2M_3",2.24299139774136
"20170700_S25_7",0.620094738519207
"20120800_E1D_18",0.40918933114336
"20110600_S1M_11",0.452834448082781
"20110600_S1D_15",0.501610099678809
"20110600_P1M_18",0.246883197328103
"20170700_S24_10",1.30484617256987
"20170700_S25_14",1.42094426641203
"20120600_S1D_1",0.328968997683731
"20120800_S3X_7",1.98278783906375
"20110600_S1D_17",0.869099918649713
"20170700_S25_1",1.10008248072125
"PLPO01",2.06354479527994
"20120500_P28_11",1.07534843717722
"20170700_S24_5",1.10186259623507
"20110700_S3M_12",0.452929166617238
"20120700_S1D_41",0.637476674117029
"20120700_P3D_35",0.180974251199739
"PLHP01",0.709519721599881
"20170700_S25_26",2.32686728248975
"20160700_S15_2",1.11872864009821
"20110800_S3D_19",0.929659721113012
"20110800_S1M_8",0.39161255072483
"20130700_S3Z_1",1.21220892079386
"20170700_S25_38",0.605924902516291
"20120700_S1D_13",0.43249112758795
"20120700_S1D_25",0.437469025554442
"PLNV01",0.959024502927201
"20120700_S1D_97",0.399189663349978
"20120700_S1D_52",1.06234333050808
"PLTJ01",0.315882112300209
"20120700_P3D_87",0.373508092584085
"20120700_P3D_148",0.197156057365955
"20120700_S1D_106",0.199410830154668
"20160700_S14_9",0.774702968151272
"20120700_S1D_73",0.195301214023994
"20120700_S1D_103",0.237154358564382
"20120700_S1D_30",0.277471348728977
"20160700_E23_26",0.137112372949608
"PLXS01",0.556637585834419
"20120700_S1D_89",0.401089522240845
"20170700_S24_4",0.512703729124399
"20110800_S3D_14",0.393711463462121
"PLGF01",1.34899405377967
"20170700_S25_32",0.452491348595557
"20110700_S2D_14",0.501627450721658
"20120700_S1D_61",0.561165960505748
"20120800_E1D_21",0.5417592028903
"20120700_S2X_13",1.10797097080437
"20170700_S24_9",0.798173069533737
"20120800_E1D_8",0.307369904102928
"20110600_S1D_11",2.07317023386705
"20150700_E14_13",0.199990554963919
"20120700_S1D_85",0.580904680505233
"20170700_S24_16",0.553973921226715
"20120700_S1D_67",0.270878341665112
"20120800_E1D_7",0.499935512620787
"20150700_E14_5",0.432573838486039
"20120700_S1D_107",0.181568337686801
"20150700_S15_12",0.659651460638576
"20120700_S1D_12",0.225051602921746
"20120700_S1D_70",0.174503029640118
"3300037207_8",0.574862184498798
"PLGY01",2.5153657791541
"20120700_S1D_59",0.401142209015365
"20110700_S2D_21",0.522176787737532
