"","Year__","Habitat__","DepthAvg__","ALD.cm__","T_air.deg_C","T_soil.deg_C","O2.percent","pH_porewater","pH_peat","BulkDensity","percentWater_wt","CH4.mM__","CO2.mM__","CH4.percent","CO2.percent","d13C_CH4__","d13C_CO2__","dD_CH4__","dD_H2O","d18O_H2O","DOC.mM__","TN.mM__","Acetate.uM__","Propionate.uM__","Formate.uM__","Sulfate.uM__","Nitrate.uM__","Ammonia.uM__","C.percent__","N.percent__","d13C_peat__","d15N_peat__","samplingdate_min_AirTemperature","samplingdate_max_AirTemperature","samplingdate_mean_AirTemperature","median_AirTemperature_7d","median_AirTemperature_14d","median_AirTemperature_21d","median_AirTemperature_28d","median_AirTemperature_growing","median_AirTemperature_all_growing","mean_AirTemperature_7d","mean_AirTemperature_14d","mean_AirTemperature_21d","mean_AirTemperature_28d","mean_AirTemperature_growing","mean_AirTemperature_all_growing","pct_time_below_WTD_21d","pct_time_below_WTD_28d","pct_time_below_WTD_growing","pct_time_below_WTD_all_growing","d13CH4_AVE_1wk_before_coring","d13CH4_SE_1wk_before_coring","CH4_Flux_AVE_1wk_before_coring","CH4_Flux_SE_1wk_before_coring","d13CH4_AVE_2wk_before_coring","d13CH4_SE_2wk_before_coring","CH4_Flux_AVE_2wk_before_coring","CH4_Flux_SE_2wk_before_coring","d13CH4_AVE_3wk_before_coring","d13CH4_SE_3wk_before_coring","CH4_Flux_AVE_3wk_before_coring","CH4_Flux_SE_3wk_before_coring","d13CH4_AVE_4wk_before_coring","d13CH4_SE_4wk_before_coring","CH4_Flux_AVE_4wk_before_coring","CH4_Flux_SE_4wk_before_coring","alphaC","CH4_CO2_porewater_percent","CH4_CO2_porewater_ratio","WTD","ALD","Min_ALD","Min_PF_dist_from_sample","DepthAvg__neg","Samp_dist_WT"
"MEblue","0.072 (p=0.54)","NA (p=NA)","0.76 (p=3.2e-15)","-0.46 (p=3e-05)","0.078 (p=0.51)","-0.57 (p=1.3e-07)","-0.95 (p=1.1e-39)","0.13 (p=0.26)","NA (p=NA)","0.34 (p=0.003)","-0.79 (p=6.9e-17)","0.46 (p=3.5e-05)","0.61 (p=6.3e-09)","NA (p=NA)","NA (p=NA)","-0.24 (p=0.043)","0.54 (p=5.7e-07)","0.0052 (p=0.96)","0.24 (p=0.043)","0.4 (p=0.00039)","0.2 (p=0.081)","-0.16 (p=0.18)","-0.29 (p=0.012)","-0.67 (p=5.2e-11)","0.32 (p=0.0059)","-0.12 (p=0.3)","0.15 (p=0.19)","0.19 (p=0.11)","0.59 (p=2.7e-08)","0.86 (p=1.5e-22)","0.42 (p=0.00017)","0.82 (p=8.6e-19)","-0.034 (p=0.77)","0.039 (p=0.74)","0.017 (p=0.88)","-0.033 (p=0.78)","-0.046 (p=0.69)","-0.061 (p=0.6)","-0.075 (p=0.52)","-0.091 (p=0.44)","-0.03 (p=0.8)","-0.042 (p=0.72)","-0.047 (p=0.69)","-0.059 (p=0.62)","-0.068 (p=0.57)","-0.074 (p=0.53)","-0.022 (p=0.85)","0.77 (p=2e-15)","0.83 (p=1.1e-19)","0.81 (p=4.8e-18)","0.78 (p=2.7e-16)","0.051 (p=0.67)","0.057 (p=0.63)","-0.026 (p=0.82)","-0.01 (p=0.93)","0.05 (p=0.67)","0.069 (p=0.56)","-0.032 (p=0.79)","-0.018 (p=0.88)","0.06 (p=0.61)","0.11 (p=0.35)","-0.022 (p=0.85)","0.051 (p=0.67)","0.086 (p=0.47)","0.084 (p=0.47)","-0.061 (p=0.61)","0.081 (p=0.49)","0.46 (p=3.8e-05)","0.25 (p=0.03)","NA (p=NA)","-0.094 (p=0.42)","-0.23 (p=0.047)","-0.2 (p=0.09)","-0.5 (p=5.8e-06)","-0.76 (p=3.2e-15)","0.66 (p=2e-10)"
"MEgreen","-0.084 (p=0.48)","NA (p=NA)","0.47 (p=2e-05)","0.022 (p=0.86)","-0.0072 (p=0.95)","-0.4 (p=0.00045)","-0.41 (p=0.00034)","0.083 (p=0.48)","NA (p=NA)","0.27 (p=0.02)","-0.7 (p=5.2e-12)","0.47 (p=2.3e-05)","0.43 (p=0.00012)","NA (p=NA)","NA (p=NA)","-0.38 (p=0.00087)","0.34 (p=0.0026)","0.66 (p=2.1e-10)","0.046 (p=0.69)","0.4 (p=0.00042)","0.077 (p=0.51)","0.22 (p=0.063)","-0.33 (p=0.0038)","-0.67 (p=5.5e-11)","0.24 (p=0.038)","-0.13 (p=0.29)","0.0097 (p=0.93)","0.63 (p=1.3e-09)","0.61 (p=9.3e-09)","0.79 (p=4.3e-17)","0.26 (p=0.026)","0.75 (p=1.3e-14)","-0.046 (p=0.7)","-0.14 (p=0.25)","-0.1 (p=0.4)","0.028 (p=0.82)","0.032 (p=0.79)","0.059 (p=0.61)","-0.025 (p=0.83)","-0.027 (p=0.82)","0.00094 (p=0.99)","0.023 (p=0.84)","0.031 (p=0.79)","0.028 (p=0.82)","-0.066 (p=0.57)","-0.04 (p=0.74)","-0.01 (p=0.93)","0.36 (p=0.0014)","0.4 (p=0.00044)","0.39 (p=0.00061)","0.38 (p=0.00074)","0.047 (p=0.69)","0.058 (p=0.63)","-0.16 (p=0.17)","0.032 (p=0.78)","0.019 (p=0.87)","0.071 (p=0.55)","-0.16 (p=0.17)","0.022 (p=0.85)","0.11 (p=0.35)","0.013 (p=0.91)","-0.19 (p=0.11)","-0.12 (p=0.31)","0.039 (p=0.74)","-0.071 (p=0.55)","-0.12 (p=0.32)","-0.066 (p=0.57)","0.41 (p=0.00026)","0.27 (p=0.019)","NA (p=NA)","-0.04 (p=0.73)","-0.05 (p=0.67)","-0.1 (p=0.4)","-0.31 (p=0.0072)","-0.47 (p=2e-05)","0.49 (p=7.9e-06)"
"MEmagenta","-0.15 (p=0.19)","NA (p=NA)","-0.51 (p=2.9e-06)","0.34 (p=0.0034)","-0.11 (p=0.35)","0.29 (p=0.014)","0.97 (p=9e-45)","-0.028 (p=0.81)","NA (p=NA)","-0.066 (p=0.57)","0.59 (p=2.5e-08)","-0.27 (p=0.018)","-0.34 (p=0.0035)","NA (p=NA)","NA (p=NA)","0.059 (p=0.62)","-0.38 (p=0.00072)","0.044 (p=0.71)","-0.42 (p=0.00018)","-0.6 (p=1.5e-08)","-0.19 (p=0.1)","-0.12 (p=0.3)","0.2 (p=0.084)","0.9 (p=1e-27)","-0.36 (p=0.0017)","-0.17 (p=0.14)","-0.18 (p=0.13)","-0.12 (p=0.32)","-0.2 (p=0.095)","-0.56 (p=1.7e-07)","0.13 (p=0.27)","-0.56 (p=2.3e-07)","-0.042 (p=0.72)","-0.073 (p=0.54)","-0.067 (p=0.57)","-0.12 (p=0.3)","-0.09 (p=0.45)","-0.032 (p=0.78)","-0.076 (p=0.52)","0.012 (p=0.92)","0.024 (p=0.84)","-0.094 (p=0.43)","-0.088 (p=0.45)","-0.064 (p=0.59)","-0.08 (p=0.5)","-0.032 (p=0.78)","-0.057 (p=0.63)","-0.62 (p=3.3e-09)","-0.61 (p=9.8e-09)","-0.58 (p=6.1e-08)","-0.55 (p=3.3e-07)","0.15 (p=0.2)","-0.015 (p=0.9)","-0.051 (p=0.67)","-0.076 (p=0.52)","0.17 (p=0.15)","-0.14 (p=0.24)","-0.048 (p=0.69)","-0.044 (p=0.71)","0.11 (p=0.33)","-0.043 (p=0.71)","-0.049 (p=0.68)","0.00036 (p=1)","0.034 (p=0.77)","0.012 (p=0.92)","0.16 (p=0.17)","0.026 (p=0.83)","-0.27 (p=0.022)","-0.11 (p=0.33)","NA (p=NA)","0.22 (p=0.062)","0.1 (p=0.4)","0.07 (p=0.55)","0.29 (p=0.013)","0.51 (p=2.9e-06)","-0.42 (p=2e-04)"
"MEturquoise","-0.1 (p=0.39)","NA (p=NA)","-0.58 (p=8.3e-08)","0.22 (p=0.056)","-0.0063 (p=0.96)","0.41 (p=0.00029)","0.066 (p=0.57)","0.12 (p=0.3)","NA (p=NA)","-0.45 (p=5.1e-05)","0.058 (p=0.62)","-0.48 (p=1.8e-05)","-0.51 (p=4e-06)","NA (p=NA)","NA (p=NA)","0.48 (p=1.8e-05)","-0.62 (p=4.2e-09)","-0.37 (p=0.0012)","0.0099 (p=0.93)","-0.24 (p=0.036)","-0.39 (p=5e-04)","0.097 (p=0.41)","0.26 (p=0.024)","0.8 (p=1.2e-17)","-0.47 (p=2.2e-05)","0.23 (p=0.053)","-0.16 (p=0.16)","-0.35 (p=0.0023)","-0.32 (p=0.0062)","-0.34 (p=0.0032)","0.23 (p=0.045)","-0.26 (p=0.026)","0.044 (p=0.71)","-0.0078 (p=0.95)","0.027 (p=0.82)","0.04 (p=0.74)","0.059 (p=0.62)","0.083 (p=0.48)","0.051 (p=0.66)","0.12 (p=0.32)","0.14 (p=0.24)","0.065 (p=0.58)","0.064 (p=0.59)","0.073 (p=0.54)","0.058 (p=0.63)","0.12 (p=0.32)","0.13 (p=0.27)","-0.28 (p=0.016)","-0.3 (p=0.01)","-0.33 (p=0.004)","-0.39 (p=0.00063)","-0.063 (p=0.59)","0.039 (p=0.74)","-0.092 (p=0.43)","-0.036 (p=0.76)","-0.049 (p=0.68)","0.037 (p=0.75)","-0.077 (p=0.51)","-0.0059 (p=0.96)","-0.028 (p=0.81)","-0.019 (p=0.87)","-0.083 (p=0.48)","-0.088 (p=0.46)","-0.1 (p=0.39)","-0.027 (p=0.82)","0.01 (p=0.93)","-0.036 (p=0.76)","-0.69 (p=8e-12)","-0.23 (p=0.046)","NA (p=NA)","-0.0036 (p=0.98)","0.079 (p=0.5)","-0.037 (p=0.75)","0.22 (p=0.055)","0.58 (p=8.3e-08)","-0.56 (p=2.4e-07)"
"MEbrown","0.2 (p=0.088)","NA (p=NA)","-0.4 (p=0.00045)","0.17 (p=0.14)","0.096 (p=0.42)","0.43 (p=0.00012)","0.88 (p=5.7e-25)","-0.28 (p=0.017)","NA (p=NA)","0.19 (p=0.11)","0.63 (p=1.5e-09)","-0.28 (p=0.017)","-0.28 (p=0.017)","NA (p=NA)","NA (p=NA)","0.2 (p=0.095)","-0.29 (p=0.014)","-0.19 (p=0.11)","-0.13 (p=0.25)","-0.3 (p=0.011)","0.0016 (p=0.99)","-0.2 (p=0.089)","0.0058 (p=0.96)","0.42 (p=0.00018)","-0.33 (p=0.004)","-0.0038 (p=0.97)","0.19 (p=0.11)","-0.3 (p=0.0097)","-0.53 (p=1.1e-06)","-0.46 (p=3.3e-05)","-0.45 (p=5.4e-05)","-0.56 (p=2.4e-07)","0.16 (p=0.17)","0.13 (p=0.26)","0.13 (p=0.26)","0.17 (p=0.15)","0.15 (p=0.2)","0.09 (p=0.45)","0.16 (p=0.16)","0.017 (p=0.89)","-0.12 (p=0.3)","0.14 (p=0.22)","0.14 (p=0.22)","0.14 (p=0.25)","0.18 (p=0.12)","0.059 (p=0.62)","-0.02 (p=0.86)","-0.29 (p=0.011)","-0.39 (p=0.00062)","-0.37 (p=0.0011)","-0.34 (p=0.0032)","-0.12 (p=0.31)","-0.23 (p=0.051)","0.2 (p=0.081)","-0.025 (p=0.84)","-0.14 (p=0.24)","-0.11 (p=0.33)","0.18 (p=0.12)","-0.076 (p=0.52)","-0.26 (p=0.027)","-0.15 (p=0.21)","0.19 (p=0.097)","-0.018 (p=0.88)","-0.23 (p=0.048)","-0.22 (p=0.058)","-0.11 (p=0.35)","-0.23 (p=0.046)","-0.27 (p=0.022)","-0.37 (p=0.001)","NA (p=NA)","-0.034 (p=0.78)","0.091 (p=0.44)","0.075 (p=0.52)","0.24 (p=0.041)","0.4 (p=0.00045)","-0.36 (p=0.0019)"
"MEblack","-0.17 (p=0.14)","NA (p=NA)","-0.51 (p=2.8e-06)","0.47 (p=2.8e-05)","-0.28 (p=0.018)","0.27 (p=0.02)","0.83 (p=1.5e-19)","-0.17 (p=0.15)","NA (p=NA)","0.051 (p=0.67)","0.63 (p=2.1e-09)","-0.29 (p=0.012)","-0.35 (p=0.0022)","NA (p=NA)","NA (p=NA)","-0.017 (p=0.88)","-0.31 (p=0.0064)","0.023 (p=0.84)","-0.28 (p=0.017)","-0.39 (p=0.00065)","-0.067 (p=0.57)","-0.18 (p=0.13)","0.07 (p=0.56)","0.062 (p=0.6)","-0.35 (p=0.0022)","-0.14 (p=0.22)","0.14 (p=0.22)","-0.18 (p=0.12)","-0.38 (p=0.00097)","-0.68 (p=3.6e-11)","-0.27 (p=0.02)","-0.62 (p=3e-09)","-0.13 (p=0.26)","-0.26 (p=0.023)","-0.26 (p=0.025)","-0.091 (p=0.44)","-0.082 (p=0.49)","-0.037 (p=0.75)","0.00086 (p=0.99)","0.00046 (p=1)","-0.13 (p=0.25)","-0.11 (p=0.37)","-0.087 (p=0.46)","-0.065 (p=0.58)","-0.072 (p=0.54)","-0.088 (p=0.46)","-0.22 (p=0.065)","-0.61 (p=7e-09)","-0.64 (p=9.4e-10)","-0.57 (p=1.1e-07)","-0.52 (p=2e-06)","0.075 (p=0.53)","-0.07 (p=0.55)","0.091 (p=0.44)","0.17 (p=0.16)","0.046 (p=0.7)","-0.17 (p=0.14)","0.089 (p=0.45)","0.15 (p=0.2)","0.11 (p=0.33)","-0.19 (p=0.11)","0.053 (p=0.65)","0.017 (p=0.88)","0.11 (p=0.35)","-0.12 (p=0.29)","0.17 (p=0.16)","-0.084 (p=0.48)","-0.16 (p=0.17)","-0.25 (p=0.032)","NA (p=NA)","0.28 (p=0.017)","0.21 (p=0.073)","0.27 (p=0.021)","0.46 (p=3.9e-05)","0.51 (p=2.8e-06)","-0.41 (p=3e-04)"
"MEred","-0.21 (p=0.066)","NA (p=NA)","-0.31 (p=0.0064)","0.42 (p=0.00016)","-0.29 (p=0.011)","0.055 (p=0.64)","0.67 (p=6.3e-11)","-0.16 (p=0.17)","NA (p=NA)","0.059 (p=0.62)","0.63 (p=2.2e-09)","-0.25 (p=0.034)","-0.31 (p=0.0082)","NA (p=NA)","NA (p=NA)","-0.033 (p=0.78)","-0.29 (p=0.014)","0.024 (p=0.84)","-0.18 (p=0.13)","-0.25 (p=0.032)","-0.02 (p=0.86)","-0.15 (p=0.19)","0.071 (p=0.55)","0.5 (p=7e-06)","-0.36 (p=0.0014)","-0.11 (p=0.34)","0.23 (p=0.045)","-0.18 (p=0.13)","-0.13 (p=0.27)","-0.59 (p=4.4e-08)","-0.14 (p=0.22)","-0.43 (p=0.00015)","-0.15 (p=0.2)","-0.31 (p=0.0079)","-0.3 (p=0.01)","-0.12 (p=0.32)","-0.11 (p=0.36)","-0.05 (p=0.67)","-0.025 (p=0.83)","-0.028 (p=0.82)","-0.16 (p=0.18)","-0.13 (p=0.26)","-0.11 (p=0.34)","-0.087 (p=0.46)","-0.11 (p=0.35)","-0.13 (p=0.27)","-0.26 (p=0.025)","-0.4 (p=0.00046)","-0.41 (p=0.00034)","-0.34 (p=0.003)","-0.3 (p=0.0094)","0.13 (p=0.26)","-0.072 (p=0.54)","0.071 (p=0.55)","0.16 (p=0.17)","0.1 (p=0.4)","-0.2 (p=0.088)","0.065 (p=0.58)","0.14 (p=0.22)","0.16 (p=0.17)","-0.18 (p=0.13)","0.023 (p=0.85)","0.016 (p=0.89)","0.13 (p=0.26)","-0.11 (p=0.35)","0.16 (p=0.18)","-0.07 (p=0.55)","-0.12 (p=0.29)","-0.17 (p=0.14)","NA (p=NA)","0.31 (p=0.0066)","0.25 (p=0.032)","0.29 (p=0.013)","0.39 (p=0.00063)","0.31 (p=0.0064)","-0.21 (p=0.071)"
"MEpurple","-0.12 (p=0.3)","NA (p=NA)","-0.4 (p=0.00035)","0.36 (p=0.0016)","-0.24 (p=0.039)","0.33 (p=0.004)","0.77 (p=1.8e-15)","-0.14 (p=0.24)","NA (p=NA)","0.099 (p=0.4)","0.63 (p=2.3e-09)","-0.23 (p=0.051)","-0.27 (p=0.02)","NA (p=NA)","NA (p=NA)","-0.0026 (p=0.98)","-0.17 (p=0.15)","0.033 (p=0.78)","-0.27 (p=0.018)","-0.4 (p=0.00047)","-0.1 (p=0.39)","-0.19 (p=0.1)","0.63 (p=1.4e-09)","0.95 (p=2e-38)","-1.5e-08 (p=1)","-0.13 (p=0.27)","0.1 (p=0.39)","-0.18 (p=0.12)","-0.62 (p=5.5e-09)","-0.42 (p=0.00023)","-0.49 (p=1.1e-05)","-0.49 (p=9.7e-06)","-0.094 (p=0.43)","-0.21 (p=0.076)","-0.19 (p=0.099)","0.021 (p=0.86)","0.017 (p=0.88)","0.028 (p=0.81)","0.1 (p=0.39)","0.11 (p=0.37)","-0.018 (p=0.88)","0.0018 (p=0.99)","0.016 (p=0.89)","0.023 (p=0.85)","0.041 (p=0.73)","0.054 (p=0.65)","-0.043 (p=0.71)","-0.49 (p=1.2e-05)","-0.52 (p=1.6e-06)","-0.49 (p=1.2e-05)","-0.46 (p=4.2e-05)","-0.15 (p=0.2)","0.017 (p=0.89)","0.082 (p=0.49)","0.24 (p=0.036)","-0.18 (p=0.13)","0.015 (p=0.9)","0.097 (p=0.41)","0.23 (p=0.044)","-0.031 (p=0.79)","-0.18 (p=0.12)","0.077 (p=0.51)","-0.03 (p=0.8)","-0.0081 (p=0.95)","-0.16 (p=0.17)","0.056 (p=0.64)","-0.14 (p=0.24)","-0.18 (p=0.14)","-0.34 (p=0.0034)","NA (p=NA)","0.062 (p=0.6)","0.093 (p=0.43)","0.18 (p=0.13)","0.33 (p=0.0043)","0.4 (p=0.00035)","-0.35 (p=0.0022)"
"MEpink","0.098 (p=0.4)","NA (p=NA)","-0.58 (p=6.1e-08)","0.21 (p=0.069)","0.058 (p=0.63)","0.55 (p=3.8e-07)","0.98 (p=3.5e-54)","-0.16 (p=0.16)","NA (p=NA)","0.024 (p=0.84)","0.63 (p=1.3e-09)","-0.28 (p=0.014)","-0.33 (p=0.0039)","NA (p=NA)","NA (p=NA)","0.17 (p=0.15)","-0.3 (p=0.0099)","-0.0029 (p=0.98)","-0.28 (p=0.015)","-0.46 (p=4.1e-05)","-0.21 (p=0.071)","-0.098 (p=0.4)","0.42 (p=0.00018)","0.94 (p=2.6e-35)","-0.44 (p=8.3e-05)","-0.092 (p=0.44)","-0.2 (p=0.09)","-0.13 (p=0.29)","-0.5 (p=6.2e-06)","-0.5 (p=5.9e-06)","-0.4 (p=0.00042)","-0.63 (p=1.8e-09)","0.013 (p=0.91)","0.00077 (p=0.99)","-0.0043 (p=0.97)","0.048 (p=0.68)","0.067 (p=0.57)","0.061 (p=0.61)","0.026 (p=0.83)","0.0045 (p=0.97)","-0.079 (p=0.5)","0.042 (p=0.72)","0.058 (p=0.62)","0.058 (p=0.62)","0.035 (p=0.77)","0.021 (p=0.86)","-0.03 (p=0.8)","-0.69 (p=1.2e-11)","-0.73 (p=1.1e-13)","-0.7 (p=2.6e-12)","-0.67 (p=9.4e-11)","-0.039 (p=0.74)","-0.11 (p=0.34)","0.033 (p=0.78)","-0.033 (p=0.78)","-0.052 (p=0.66)","-0.066 (p=0.57)","0.024 (p=0.84)","-0.052 (p=0.66)","-0.1 (p=0.37)","-0.1 (p=0.39)","0.025 (p=0.83)","-0.073 (p=0.54)","-0.1 (p=0.38)","-0.12 (p=0.3)","-0.045 (p=0.7)","-0.13 (p=0.29)","-0.3 (p=0.0091)","-0.35 (p=0.002)","NA (p=NA)","-0.016 (p=0.89)","0.12 (p=0.31)","0.16 (p=0.18)","0.39 (p=0.00059)","0.58 (p=6.1e-08)","-0.53 (p=9.5e-07)"
"MEyellow","-0.078 (p=0.51)","NA (p=NA)","-0.66 (p=1.3e-10)","0.39 (p=0.00051)","-0.14 (p=0.23)","0.48 (p=1.5e-05)","0.88 (p=2.4e-25)","-0.13 (p=0.26)","NA (p=NA)","-0.0028 (p=0.98)","0.64 (p=7.1e-10)","-0.34 (p=0.0032)","-0.4 (p=0.00039)","NA (p=NA)","NA (p=NA)","0.062 (p=0.6)","-0.38 (p=0.00092)","0.049 (p=0.68)","-0.32 (p=0.0052)","-0.5 (p=5.5e-06)","-0.21 (p=0.079)","-0.15 (p=0.22)","0.3 (p=0.01)","0.87 (p=4.8e-24)","-0.36 (p=0.0017)","-0.13 (p=0.26)","-0.11 (p=0.37)","-0.16 (p=0.18)","-0.54 (p=6.2e-07)","-0.71 (p=1.1e-12)","-0.3 (p=0.01)","-0.74 (p=3.5e-14)","-0.08 (p=0.5)","-0.14 (p=0.23)","-0.14 (p=0.23)","-0.052 (p=0.66)","-0.026 (p=0.82)","0.0089 (p=0.94)","-0.012 (p=0.92)","0.027 (p=0.82)","-0.058 (p=0.62)","-0.051 (p=0.67)","-0.032 (p=0.79)","-0.016 (p=0.89)","-0.038 (p=0.75)","-0.013 (p=0.91)","-0.092 (p=0.44)","-0.81 (p=4.1e-18)","-0.83 (p=5.1e-20)","-0.78 (p=2.2e-16)","-0.74 (p=7.3e-14)","0.027 (p=0.82)","-0.052 (p=0.66)","0.016 (p=0.89)","0.052 (p=0.66)","0.017 (p=0.89)","-0.11 (p=0.35)","0.019 (p=0.87)","0.054 (p=0.65)","0.035 (p=0.77)","-0.13 (p=0.27)","-0.003 (p=0.98)","-0.04 (p=0.74)","-0.0017 (p=0.99)","-0.094 (p=0.42)","0.097 (p=0.41)","-0.077 (p=0.51)","-0.27 (p=0.019)","-0.29 (p=0.013)","NA (p=NA)","0.16 (p=0.18)","0.17 (p=0.14)","0.19 (p=0.11)","0.45 (p=5.2e-05)","0.66 (p=1.3e-10)","-0.57 (p=1.3e-07)"
