"Module","Habitat","Metadata_Parameter","Correlation","P_value","Q_value"
"MEblue","Bog","Year__",0.0721362375172787,0.541350938737799,0.770118548550494
"MEgreen","Bog","Year__",-0.0835272628517911,0.479234833790854,0.723177917561501
"MEmagenta","Bog","Year__",-0.154363849985462,0.189126481868511,0.390534125744041
"MEturquoise","Bog","Year__",-0.100670344291508,0.393422760762142,0.641609651143363
"MEbrown","Bog","Year__",0.199470952144987,0.0884053413706012,0.226375644624392
"MEblack","Bog","Year__",-0.174950186988285,0.135992700479688,0.31124649645702
"MEred","Bog","Year__",-0.214704485632593,0.066209787700123,0.177088507513
"MEpurple","Bog","Year__",-0.122196545654126,0.299655952487767,0.540487988205418
"MEpink","Bog","Year__",0.0983777554258275,0.404339984630829,0.650510028143683
"MEyellow","Bog","Year__",-0.0779969672309863,0.508907468516538,0.748910607265521
"MEgrey","Bog","Year__",0.118799586029049,0.313392122486283,0.557538149571268
"MEblue","Bog","Habitat__",NA,NA,NA
"MEgreen","Bog","Habitat__",NA,NA,NA
"MEmagenta","Bog","Habitat__",NA,NA,NA
"MEturquoise","Bog","Habitat__",NA,NA,NA
"MEbrown","Bog","Habitat__",NA,NA,NA
"MEblack","Bog","Habitat__",NA,NA,NA
"MEred","Bog","Habitat__",NA,NA,NA
"MEpurple","Bog","Habitat__",NA,NA,NA
"MEpink","Bog","Habitat__",NA,NA,NA
"MEyellow","Bog","Habitat__",NA,NA,NA
"MEgrey","Bog","Habitat__",NA,NA,NA
"MEblue","Bog","DepthAvg__",0.761843969194964,3.21808973216723e-15,1.00533123232904e-13
"MEgreen","Bog","DepthAvg__",0.474213525802045,1.97139403231959e-05,0.000143893340116037
"MEmagenta","Bog","DepthAvg__",-0.513223756030261,2.92890826583443e-06,2.54164150624077e-05
"MEturquoise","Bog","DepthAvg__",-0.575281636712429,8.26520243231175e-08,9.09172267554293e-07
"MEbrown","Bog","DepthAvg__",-0.397758441433479,0.000449151337790567,0.00237018374874617
"MEblack","Bog","DepthAvg__",-0.514297076250868,2.76982115009894e-06,2.45821627071281e-05
"MEred","Bog","DepthAvg__",-0.314173774336826,0.00641056255696077,0.0249087032685889
"MEpurple","Bog","DepthAvg__",-0.404522415463206,0.000350667610600922,0.00194235038212284
"MEpink","Bog","DepthAvg__",-0.579987974860835,6.11498204374763e-08,6.92145069009695e-07
"MEyellow","Bog","DepthAvg__",-0.662669060844636,1.26559745601958e-10,2.35340860274117e-09
"MEgrey","Bog","DepthAvg__",0.177411360887694,0.130485130855354,0.30420563342696
"MEblue","Bog","ALD.cm__",-0.464820530054272,3.01641186307986e-05,0.000212235825681565
"MEgreen","Bog","ALD.cm__",0.0215916393226349,0.855113910332212,0.93666755114931
"MEmagenta","Bog","ALD.cm__",0.336175274407706,0.00340714779964278,0.0143836888190325
"MEturquoise","Bog","ALD.cm__",0.222812370746361,0.0563737194204624,0.153943618417416
"MEbrown","Bog","ALD.cm__",0.174429157729956,0.137180863324952,0.312105150490625
"MEblack","Bog","ALD.cm__",0.466145726681926,2.84286861689363e-05,0.000201843671799448
"MEred","Bog","ALD.cm__",0.424580049825597,0.000163097866364069,0.00101094788595506
"MEpurple","Bog","ALD.cm__",0.361318139694864,0.00156236332201294,0.00717768090877709
"MEpink","Bog","ALD.cm__",0.212352864967543,0.0693081693212315,0.184742935972293
"MEyellow","Bog","ALD.cm__",0.394405438161637,0.000506806949894669,0.00258703416907017
"MEgrey","Bog","ALD.cm__",-0.105119376331092,0.372741927125063,0.620706705937472
"MEblue","Bog","T_air.deg_C",0.0775084260757175,0.511573266867471,0.748910607265521
"MEgreen","Bog","T_air.deg_C",-0.00719198564480966,0.951506315189545,0.981672961906255
"MEmagenta","Bog","T_air.deg_C",-0.1106231900042,0.348090434185237,0.595567123636282
"MEturquoise","Bog","T_air.deg_C",-0.0063444589504963,0.957215242926976,0.986260032620011
"MEbrown","Bog","T_air.deg_C",0.0957588633459701,0.417025633927155,0.663334053150933
"MEblack","Bog","T_air.deg_C",-0.275294533176111,0.0176002064614799,0.0582447510441347
"MEred","Bog","T_air.deg_C",-0.294862230747584,0.0107633019533491,0.0390983201189102
"MEpurple","Bog","T_air.deg_C",-0.240951614166896,0.0386369968997281,0.113441708942435
"MEpink","Bog","T_air.deg_C",0.0575703235533897,0.626108267825255,0.819079660253809
"MEyellow","Bog","T_air.deg_C",-0.141899403983104,0.227818656593734,0.448177256422434
"MEgrey","Bog","T_air.deg_C",-0.0417142396735232,0.724175419568563,0.879597204794787
"MEblue","Bog","T_soil.deg_C",-0.567895409604296,1.31382047568716e-07,1.40560793357764e-06
"MEgreen","Bog","T_soil.deg_C",-0.397523116406241,0.000452993333894182,0.00237441472329769
"MEmagenta","Bog","T_soil.deg_C",0.28553893036891,0.0136609777631531,0.0472089541284185
"MEturquoise","Bog","T_soil.deg_C",0.409806272247712,0.000287955770132868,0.00166587745536126
"MEbrown","Bog","T_soil.deg_C",0.431633943979266,0.000123170523501502,0.000775775635924786
"MEblack","Bog","T_soil.deg_C",0.270695612972709,0.0196638111408624,0.0631993271646647
"MEred","Bog","T_soil.deg_C",0.0551168247042204,0.640917980425939,0.832873448773141
"MEpurple","Bog","T_soil.deg_C",0.330804934152841,0.00399231869335371,0.0162260355506185
"MEpink","Bog","T_soil.deg_C",0.550074806925652,3.84114319025817e-07,3.74991603948954e-06
"MEyellow","Bog","T_soil.deg_C",0.480773692198879,1.45383232994745e-05,0.00011023718929019
"MEgrey","Bog","T_soil.deg_C",0.10291289754171,0.38291478263658,0.633594163642307
"MEblue","Bog","O2.percent",-0.954846529005991,1.09699088031962e-39,2.85583292509873e-37
"MEgreen","Bog","O2.percent",-0.405311306722656,0.000340572371450086,0.00191357569857926
"MEmagenta","Bog","O2.percent",0.967579920567589,9.04799790620498e-45,3.53324318237304e-42
"MEturquoise","Bog","O2.percent",0.0664634177687545,0.573687590325997,0.788811250633666
"MEbrown","Bog","O2.percent",0.87994748243974,5.6523121361703e-25,5.51806972293626e-23
"MEblack","Bog","O2.percent",0.825440839749148,1.48439920098458e-19,8.91781366129966e-18
"MEred","Bog","O2.percent",0.670668651961866,6.26885916422123e-11,1.25537923262994e-09
"MEpurple","Bog","O2.percent",0.766034517466024,1.84039703790644e-15,6.53340948456787e-14
"MEpink","Bog","O2.percent",0.982364229080844,3.53252662283685e-54,2.75890329243558e-51
"MEyellow","Bog","O2.percent",0.882937563027038,2.4061178359081e-25,2.68454004263461e-23
"MEgrey","Bog","O2.percent",-0.33266224052015,0.00378054946361441,0.0157053677185258
"MEblue","Bog","pH_porewater",0.133293291803682,0.257562179138153,0.48640844795549
"MEgreen","Bog","pH_porewater",0.0826132856118901,0.48407407549567,0.727042024927151
"MEmagenta","Bog","pH_porewater",-0.0283708271961416,0.810370262130459,0.924674256503609
"MEturquoise","Bog","pH_porewater",0.121449216045136,0.30264363872272,0.542120829913863
"MEbrown","Bog","pH_porewater",-0.277394668403303,0.0167214572682553,0.0560491765086153
"MEblack","Bog","pH_porewater",-0.168708333519723,0.150746844235453,0.336380815279681
"MEred","Bog","pH_porewater",-0.162748436193141,0.165919063470014,0.359952190472446
"MEpurple","Bog","pH_porewater",-0.138180155457699,0.240364587815407,0.465818221051695
"MEpink","Bog","pH_porewater",-0.164608167091225,0.161068714784161,0.353355804063004
"MEyellow","Bog","pH_porewater",-0.132219414428496,0.26145057604459,0.489671222759772
"MEgrey","Bog","pH_porewater",-0.290203925711318,0.0121362708420835,0.0430837614893964
"MEblue","Bog","pH_peat",NA,NA,NA
"MEgreen","Bog","pH_peat",NA,NA,NA
"MEmagenta","Bog","pH_peat",NA,NA,NA
"MEturquoise","Bog","pH_peat",NA,NA,NA
"MEbrown","Bog","pH_peat",NA,NA,NA
"MEblack","Bog","pH_peat",NA,NA,NA
"MEred","Bog","pH_peat",NA,NA,NA
"MEpurple","Bog","pH_peat",NA,NA,NA
"MEpink","Bog","pH_peat",NA,NA,NA
"MEyellow","Bog","pH_peat",NA,NA,NA
"MEgrey","Bog","pH_peat",NA,NA,NA
"MEblue","Bog","BulkDensity",0.340928498062978,0.00295432994124686,0.0128185093561878
"MEgreen","Bog","BulkDensity",0.270391253074442,0.019807393066248,0.0633729461507091
"MEmagenta","Bog","BulkDensity",-0.0663551217961628,0.57431352090812,0.788811250633666
"MEturquoise","Bog","BulkDensity",-0.452613785416204,5.14757540291782e-05,0.000340699694040578
"MEbrown","Bog","BulkDensity",0.185732316153799,0.113114505365365,0.27182285750877
"MEblack","Bog","BulkDensity",0.0508838430265812,0.666798208330606,0.845404871276304
"MEred","Bog","BulkDensity",0.0586826714186577,0.61944183157164,0.819079660253809
"MEpurple","Bog","BulkDensity",0.0988724946750081,0.401969163518534,0.648632059313997
"MEpink","Bog","BulkDensity",0.02435744388104,0.836795607130225,0.928320126660093
"MEyellow","Bog","BulkDensity",-0.0027751427697482,0.981278324994563,0.995102770054093
"MEgrey","Bog","BulkDensity",0.272464217483108,0.018846959825913,0.0612104194571371
"MEblue","Bog","percentWater_wt",-0.788962243361957,6.94746324899605e-17,2.85577305129785e-15
"MEgreen","Bog","percentWater_wt",-0.697106444015073,5.22912133508987e-12,1.27623242584537e-10
"MEmagenta","Bog","percentWater_wt",0.593628197470091,2.48445028370057e-08,3.03180573682835e-07
"MEturquoise","Bog","percentWater_wt",0.0579568509023675,0.623788332701383,0.819079660253809
"MEbrown","Bog","percentWater_wt",0.632580991472223,1.48441926833555e-09,2.31866289714014e-08
"MEblack","Bog","percentWater_wt",0.62780582156286,2.14157045252272e-09,3.21647408350047e-08
"MEred","Bog","percentWater_wt",0.627390219917789,2.21033441805203e-09,3.25711543490308e-08
"MEpurple","Bog","percentWater_wt",0.627048045100541,2.26852396202671e-09,3.28095780433862e-08
"MEpink","Bog","percentWater_wt",0.634725376477478,1.2565607439302e-09,2.08392916803363e-08
"MEyellow","Bog","percentWater_wt",0.641885212694791,7.13566784316017e-10,1.23843479677958e-08
"MEgrey","Bog","percentWater_wt",-0.198243798297351,0.0904223535490519,0.228543230167668
"MEblue","Bog","CH4.mM__",0.461386541433664,3.51303540616269e-05,0.000242803597540979
"MEgreen","Bog","CH4.mM__",0.470707567317643,2.31394730478716e-05,0.000165797508719153
"MEmagenta","Bog","CH4.mM__",-0.274476432835536,0.0179530899170978,0.058727805753071
"MEturquoise","Bog","CH4.mM__",-0.476358416329885,1.78578185806719e-05,0.000132828155347664
"MEbrown","Bog","CH4.mM__",-0.27630748540345,0.0171715357569307,0.0572427131766145
"MEblack","Bog","CH4.mM__",-0.291510432056942,0.0117366583328515,0.0419956475563856
"MEred","Bog","CH4.mM__",-0.246790256668535,0.0340285395527974,0.101824863566034
"MEpurple","Bog","CH4.mM__",-0.227268006033439,0.0514971913804345,0.142621654142267
"MEpink","Bog","CH4.mM__",-0.283277727975105,0.0144578094677307,0.0497425074638663
"MEyellow","Bog","CH4.mM__",-0.33867915020451,0.00316144405399076,0.0135664165173999
"MEgrey","Bog","CH4.mM__",0.186743010993494,0.111132313555505,0.268713117296748
"MEblue","Bog","CO2.mM__",0.613207474649621,6.32351910640192e-09,8.37062444423712e-08
"MEgreen","Bog","CO2.mM__",0.431739316046012,0.000122649234418629,0.000775775635924786
"MEmagenta","Bog","CO2.mM__",-0.335278218697033,0.00349923095242482,0.0146144351542448
"MEturquoise","Bog","CO2.mM__",-0.507383040187843,3.95597558039847e-06,3.39518343768265e-05
"MEbrown","Bog","CO2.mM__",-0.277908586865108,0.0165122558638585,0.0557559796030973
"MEblack","Bog","CO2.mM__",-0.350667713190594,0.00219057335848794,0.00967811590893037
"MEred","Bog","CO2.mM__",-0.305165076127755,0.00819756124562721,0.0312307089406578
"MEpurple","Bog","CO2.mM__",-0.269945196923871,0.0200194387868618,0.0635576491566629
"MEpink","Bog","CO2.mM__",-0.331753049539542,0.00388293297410664,0.015960898172512
"MEyellow","Bog","CO2.mM__",-0.401840429902604,0.000387071946935765,0.00212889570814671
"MEgrey","Bog","CO2.mM__",0.236575768634841,0.042421588795553,0.122708373516026
"MEblue","Bog","CH4.percent",NA,NA,NA
"MEgreen","Bog","CH4.percent",NA,NA,NA
"MEmagenta","Bog","CH4.percent",NA,NA,NA
"MEturquoise","Bog","CH4.percent",NA,NA,NA
"MEbrown","Bog","CH4.percent",NA,NA,NA
"MEblack","Bog","CH4.percent",NA,NA,NA
"MEred","Bog","CH4.percent",NA,NA,NA
"MEpurple","Bog","CH4.percent",NA,NA,NA
"MEpink","Bog","CH4.percent",NA,NA,NA
"MEyellow","Bog","CH4.percent",NA,NA,NA
"MEgrey","Bog","CH4.percent",NA,NA,NA
"MEblue","Bog","CO2.percent",NA,NA,NA
"MEgreen","Bog","CO2.percent",NA,NA,NA
"MEmagenta","Bog","CO2.percent",NA,NA,NA
"MEturquoise","Bog","CO2.percent",NA,NA,NA
"MEbrown","Bog","CO2.percent",NA,NA,NA
"MEblack","Bog","CO2.percent",NA,NA,NA
"MEred","Bog","CO2.percent",NA,NA,NA
"MEpurple","Bog","CO2.percent",NA,NA,NA
"MEpink","Bog","CO2.percent",NA,NA,NA
"MEyellow","Bog","CO2.percent",NA,NA,NA
"MEgrey","Bog","CO2.percent",NA,NA,NA
"MEblue","Bog","d13C_CH4__",-0.235761756513655,0.0431584119247817,0.123921763651671
"MEgreen","Bog","d13C_CH4__",-0.378946756482726,0.00087024468609866,0.00419543888792008
"MEmagenta","Bog","d13C_CH4__",0.0590074806537976,0.617500943188735,0.819079660253809
"MEturquoise","Bog","d13C_CH4__",0.476735702748544,1.75486845757953e-05,0.000131783871670155
"MEbrown","Bog","d13C_CH4__",0.19565920659879,0.0947889913863259,0.238039235603603
"MEblack","Bog","d13C_CH4__",-0.0173873983699007,0.883103038362618,0.947581014714836
"MEred","Bog","d13C_CH4__",-0.0325176466461245,0.783287177284161,0.910256760424622
"MEpurple","Bog","d13C_CH4__",-0.00261457385121134,0.982361377351736,0.995102770054093
"MEpink","Bog","d13C_CH4__",0.170549878614211,0.146274912008472,0.329223937402353
"MEyellow","Bog","d13C_CH4__",0.0623794570174567,0.597508062271806,0.810162841378959
"MEgrey","Bog","d13C_CH4__",0.230823439057733,0.0478587047392106,0.133491601433298
"MEblue","Bog","d13C_CO2__",0.543103555222132,5.74748348629934e-07,5.54170938617258e-06
"MEgreen","Bog","d13C_CO2__",0.344735645089859,0.00263125896916065,0.0114805209771758
"MEmagenta","Bog","d13C_CO2__",-0.384305704831516,0.000723660950632578,0.00353237001527527
"MEturquoise","Bog","d13C_CO2__",-0.618759921954627,4.21651831886789e-09,5.77736983690495e-08
"MEbrown","Bog","d13C_CO2__",-0.285732801600955,0.0135944613571674,0.0471878858664342
"MEblack","Bog","d13C_CO2__",-0.314337468509145,0.00638154870889014,0.0249087032685889
"MEred","Bog","d13C_CO2__",-0.285781580168525,0.0135777698020851,0.0471878858664342
"MEpurple","Bog","d13C_CO2__",-0.168084644173452,0.152284279114144,0.338843367487597
"MEpink","Bog","d13C_CO2__",-0.298147837640967,0.00987812660957153,0.0369129994357673
"MEyellow","Bog","d13C_CO2__",-0.37722279935933,0.000922836670804169,0.00442168981532549
"MEgrey","Bog","d13C_CO2__",0.0786254432521035,0.505488605370775,0.746288470311107
"MEblue","Bog","dD_CH4__",0.00523753162933753,0.96467468230963,0.988750594589884
"MEgreen","Bog","dD_CH4__",0.656839130075811,2.08397780266283e-10,3.69906059972653e-09
"MEmagenta","Bog","dD_CH4__",0.0436845402710441,0.711704815383764,0.874659041346163
"MEturquoise","Bog","dD_CH4__",-0.369028116864606,0.00121444342954296,0.00567952286510809
"MEbrown","Bog","dD_CH4__",-0.187567831156405,0.109534642930651,0.266500174856195
"MEblack","Bog","dD_CH4__",0.0234818044741565,0.84258620538265,0.931309226064905
"MEred","Bog","dD_CH4__",0.024380945650106,0.836640307849219,0.928320126660093
"MEpurple","Bog","dD_CH4__",0.0327998821318596,0.78145279987744,0.910256760424622
"MEpink","Bog","dD_CH4__",-0.00291273943640941,0.980350249426812,0.995102770054093
"MEyellow","Bog","dD_CH4__",0.0485943652423195,0.680961932653058,0.85572444699961
"MEgrey","Bog","dD_CH4__",-0.168978602375319,0.150084222518099,0.336380815279681
"MEblue","Bog","dD_H2O",0.236137855470136,0.0428166714400813,0.123394171198168
"MEgreen","Bog","dD_H2O",0.0464373777549488,0.694407638443611,0.864065296436146
"MEmagenta","Bog","dD_H2O",-0.421863881960117,0.00018142353272302,0.0010983858841603
"MEturquoise","Bog","dD_H2O",0.00989197381161888,0.93333685913308,0.970620621814827
"MEbrown","Bog","dD_H2O",-0.134484349536764,0.25329563966537,0.486053795033548
"MEblack","Bog","dD_H2O",-0.277784414111098,0.0165625957335705,0.0557559796030973
"MEred","Bog","dD_H2O",-0.17961283263737,0.125703765111903,0.296388786814271
"MEpurple","Bog","dD_H2O",-0.274433531792921,0.0179717612995954,0.058727805753071
"MEpink","Bog","dD_H2O",-0.28159117664685,0.0150779691991231,0.0516486576513823
"MEyellow","Bog","dD_H2O",-0.321498889268361,0.00522023395711943,0.020907706259027
"MEgrey","Bog","dD_H2O",0.000221749190464901,0.998503901508272,0.999784034715334
"MEblue","Bog","d18O_H2O",0.40152822874773,0.000391527027131069,0.00213833991740815
"MEgreen","Bog","d18O_H2O",0.3993697995208,0.000423633328251658,0.00228177675423824
"MEmagenta","Bog","d18O_H2O",-0.600691392750321,1.53267072027198e-08,1.90002513100383e-07
"MEturquoise","Bog","d18O_H2O",-0.24433755602239,0.0359051181175096,0.10662318345922
"MEbrown","Bog","d18O_H2O",-0.295759566846546,0.0105149516028882,0.0383746598217554
"MEblack","Bog","d18O_H2O",-0.387427936641224,0.000648987941823713,0.00318779611675673
"MEred","Bog","d18O_H2O",-0.24955878229763,0.0320096380819485,0.0961520282384685
"MEpurple","Bog","d18O_H2O",-0.396437568123991,0.000471107989121036,0.00243665787750682
"MEpink","Bog","d18O_H2O",-0.45759622972413,4.1488279504309e-05,0.000279330571490219
"MEyellow","Bog","d18O_H2O",-0.500740649650415,5.53120590117106e-06,4.69551283566804e-05
"MEgrey","Bog","d18O_H2O",-0.143908027194148,0.221236426764792,0.437868616711918
"MEblue","Bog","DOC.mM__",0.204151371155087,0.081036424945399,0.210964826274522
"MEgreen","Bog","DOC.mM__",0.0768940188397683,0.514935974521876,0.748910607265521
