"","Year__","Habitat__","DepthAvg__","ALD.cm__","T_air.deg_C","T_soil.deg_C","O2.percent","pH_porewater","pH_peat","BulkDensity","percentWater_wt","CH4.mM__","CO2.mM__","CH4.percent","CO2.percent","d13C_CH4__","d13C_CO2__","dD_CH4__","dD_H2O","d18O_H2O","DOC.mM__","TN.mM__","Acetate.uM__","Propionate.uM__","Formate.uM__","Sulfate.uM__","Nitrate.uM__","Ammonia.uM__","C.percent__","N.percent__","d13C_peat__","d15N_peat__","samplingdate_min_AirTemperature","samplingdate_max_AirTemperature","samplingdate_mean_AirTemperature","median_AirTemperature_7d","median_AirTemperature_14d","median_AirTemperature_21d","median_AirTemperature_28d","median_AirTemperature_growing","median_AirTemperature_all_growing","mean_AirTemperature_7d","mean_AirTemperature_14d","mean_AirTemperature_21d","mean_AirTemperature_28d","mean_AirTemperature_growing","mean_AirTemperature_all_growing","pct_time_below_WTD_21d","pct_time_below_WTD_28d","pct_time_below_WTD_growing","pct_time_below_WTD_all_growing","d13CH4_AVE_1wk_before_coring","d13CH4_SE_1wk_before_coring","CH4_Flux_AVE_1wk_before_coring","CH4_Flux_SE_1wk_before_coring","d13CH4_AVE_2wk_before_coring","d13CH4_SE_2wk_before_coring","CH4_Flux_AVE_2wk_before_coring","CH4_Flux_SE_2wk_before_coring","d13CH4_AVE_3wk_before_coring","d13CH4_SE_3wk_before_coring","CH4_Flux_AVE_3wk_before_coring","CH4_Flux_SE_3wk_before_coring","d13CH4_AVE_4wk_before_coring","d13CH4_SE_4wk_before_coring","CH4_Flux_AVE_4wk_before_coring","CH4_Flux_SE_4wk_before_coring","alphaC","CH4_CO2_porewater_percent","CH4_CO2_porewater_ratio","WTD","ALD","Min_ALD","Min_PF_dist_from_sample","DepthAvg__neg","Samp_dist_WT"
"MEgreenyellow","-0.17 (p=0.17)","NA (p=NA)","0.53 (p=5e-06)","NA (p=NA)","-0.14 (p=0.26)","-0.29 (p=0.019)","0.047 (p=0.71)","0.11 (p=0.38)","NA (p=NA)","0.92 (p=5e-27)","-0.41 (p=0.00067)","-0.21 (p=0.095)","-0.19 (p=0.13)","NA (p=NA)","NA (p=NA)","-0.28 (p=0.025)","-0.091 (p=0.47)","-0.18 (p=0.15)","-0.3 (p=0.015)","-0.33 (p=0.0065)","-0.31 (p=0.012)","-0.11 (p=0.37)","0.75 (p=2.6e-13)","-0.18 (p=0.15)","0.68 (p=3.1e-10)","-0.33 (p=0.007)","-0.26 (p=0.037)","-0.16 (p=0.2)","-0.61 (p=7.3e-08)","-0.25 (p=0.04)","-0.29 (p=0.019)","-0.13 (p=0.29)","0.017 (p=0.89)","0.02 (p=0.87)","0.007 (p=0.96)","-0.19 (p=0.13)","-0.15 (p=0.24)","-0.08 (p=0.52)","-0.099 (p=0.43)","0.038 (p=0.76)","0.065 (p=0.6)","-0.18 (p=0.14)","-0.17 (p=0.17)","-0.11 (p=0.4)","-0.075 (p=0.55)","0.004 (p=0.97)","-0.033 (p=0.79)","0.091 (p=0.47)","0.091 (p=0.47)","0.091 (p=0.47)","0.12 (p=0.36)","0.048 (p=0.7)","-0.0067 (p=0.96)","0.25 (p=0.039)","0.21 (p=0.085)","0.057 (p=0.65)","-0.12 (p=0.35)","0.24 (p=0.048)","0.3 (p=0.016)","0.029 (p=0.82)","-0.067 (p=0.59)","0.18 (p=0.14)","0.23 (p=0.068)","0.089 (p=0.48)","-0.052 (p=0.68)","0.19 (p=0.12)","0.1 (p=0.4)","0.2 (p=0.11)","-0.058 (p=0.64)","-0.038 (p=0.76)","0.012 (p=0.92)","NA (p=NA)","0.35 (p=0.0036)","0.27 (p=0.026)","-0.53 (p=5e-06)","0.46 (p=9e-05)"
"MEpurple","-0.13 (p=0.29)","NA (p=NA)","0.49 (p=3.1e-05)","NA (p=NA)","-0.079 (p=0.53)","-0.46 (p=0.00012)","-0.83 (p=3.6e-18)","0.15 (p=0.24)","NA (p=NA)","0.93 (p=1.1e-28)","0.038 (p=0.76)","-0.23 (p=0.06)","-0.29 (p=0.018)","NA (p=NA)","NA (p=NA)","-0.16 (p=0.21)","0.13 (p=0.29)","-0.17 (p=0.17)","-0.22 (p=0.077)","-0.31 (p=0.011)","-0.49 (p=3.2e-05)","-0.17 (p=0.17)","0.8 (p=4e-16)","-0.18 (p=0.16)","0.81 (p=8.3e-17)","-0.42 (p=0.00053)","-0.22 (p=0.082)","-0.15 (p=0.23)","-0.74 (p=8.3e-13)","-0.36 (p=0.0034)","-0.34 (p=0.0056)","-0.24 (p=0.053)","0.16 (p=0.21)","0.31 (p=0.012)","0.29 (p=0.02)","-0.32 (p=0.0085)","-0.27 (p=0.031)","-0.21 (p=0.091)","-0.19 (p=0.12)","0.14 (p=0.26)","0.34 (p=0.0055)","-0.28 (p=0.022)","-0.29 (p=0.017)","-0.21 (p=0.09)","-0.031 (p=0.81)","0.18 (p=0.15)","0.23 (p=0.059)","0.11 (p=0.4)","0.11 (p=0.4)","0.11 (p=0.4)","0.13 (p=0.29)","-0.18 (p=0.15)","-0.28 (p=0.023)","0.36 (p=0.0026)","0.091 (p=0.47)","-0.15 (p=0.24)","-0.39 (p=0.0011)","0.46 (p=0.00012)","0.37 (p=0.0023)","-0.15 (p=0.22)","-0.43 (p=0.00032)","0.5 (p=2.1e-05)","0.51 (p=1.3e-05)","-0.053 (p=0.67)","-0.43 (p=0.00032)","0.53 (p=5.4e-06)","0.51 (p=1.4e-05)","0.24 (p=0.053)","0.11 (p=0.37)","-0.16 (p=0.19)","-0.26 (p=0.038)","NA (p=NA)","0.43 (p=0.00033)","0.31 (p=0.01)","-0.49 (p=3.1e-05)","0.29 (p=0.019)"
"MEturquoise","-0.19 (p=0.13)","NA (p=NA)","0.57 (p=6.3e-07)","NA (p=NA)","-0.21 (p=0.09)","-0.51 (p=1.5e-05)","-0.98 (p=6.8e-49)","0.16 (p=0.2)","NA (p=NA)","0.9 (p=1.3e-24)","-0.19 (p=0.14)","-0.28 (p=0.023)","-0.25 (p=0.04)","NA (p=NA)","NA (p=NA)","-0.23 (p=0.062)","0.067 (p=0.59)","-0.19 (p=0.12)","-0.4 (p=0.00096)","-0.43 (p=0.00033)","-0.51 (p=1.1e-05)","-0.21 (p=0.083)","0.56 (p=1.3e-06)","-0.21 (p=0.094)","0.089 (p=0.48)","-0.47 (p=7.4e-05)","-0.24 (p=0.057)","-0.25 (p=0.039)","-0.67 (p=1.1e-09)","-0.36 (p=0.0032)","-0.27 (p=0.031)","-0.24 (p=0.051)","0.14 (p=0.26)","0.24 (p=0.055)","0.22 (p=0.076)","-0.3 (p=0.016)","-0.24 (p=0.054)","-0.17 (p=0.18)","-0.17 (p=0.17)","0.13 (p=0.29)","0.3 (p=0.015)","-0.26 (p=0.032)","-0.27 (p=0.029)","-0.18 (p=0.16)","-0.035 (p=0.78)","0.15 (p=0.24)","0.18 (p=0.15)","0.13 (p=0.29)","0.13 (p=0.29)","0.13 (p=0.29)","0.17 (p=0.18)","-0.13 (p=0.29)","-0.23 (p=0.066)","0.39 (p=0.0013)","0.17 (p=0.16)","-0.1 (p=0.42)","-0.36 (p=0.0032)","0.45 (p=0.00016)","0.42 (p=5e-04)","-0.12 (p=0.33)","-0.36 (p=0.0031)","0.45 (p=0.00013)","0.49 (p=3.2e-05)","-0.023 (p=0.85)","-0.36 (p=0.0031)","0.49 (p=3.2e-05)","0.43 (p=0.00028)","0.26 (p=0.033)","-0.076 (p=0.54)","-0.054 (p=0.67)","-0.24 (p=0.057)","NA (p=NA)","0.4 (p=0.00078)","0.28 (p=0.025)","-0.57 (p=6.3e-07)","0.36 (p=0.0031)"
"MEblack","0.21 (p=0.088)","NA (p=NA)","-0.06 (p=0.63)","NA (p=NA)","0.29 (p=0.02)","0.045 (p=0.72)","-0.55 (p=1.7e-06)","0.23 (p=0.067)","NA (p=NA)","-0.59 (p=1.7e-07)","0.53 (p=5e-06)","0.052 (p=0.68)","-0.12 (p=0.34)","NA (p=NA)","NA (p=NA)","0.16 (p=0.21)","-0.23 (p=0.068)","-0.015 (p=0.91)","0.67 (p=7.2e-10)","0.4 (p=8e-04)","-0.13 (p=0.29)","0.28 (p=0.021)","-0.52 (p=7.1e-06)","-0.23 (p=0.059)","-0.57 (p=7.6e-07)","0.34 (p=0.0056)","0.18 (p=0.14)","0.3 (p=0.014)","0.12 (p=0.34)","-0.18 (p=0.15)","0.32 (p=0.0085)","-0.3 (p=0.013)","-0.18 (p=0.15)","0.071 (p=0.57)","-0.0025 (p=0.98)","-0.32 (p=0.0088)","-0.34 (p=0.0053)","-0.36 (p=0.0032)","-0.24 (p=0.053)","-0.24 (p=0.057)","-0.26 (p=0.037)","-0.32 (p=0.0085)","-0.31 (p=0.01)","-0.36 (p=0.0034)","-0.26 (p=0.033)","-0.25 (p=0.043)","-0.27 (p=0.029)","-0.04 (p=0.75)","-0.04 (p=0.75)","-0.04 (p=0.75)","-0.031 (p=0.8)","0.3 (p=0.015)","0.3 (p=0.015)","-0.16 (p=0.19)","-0.34 (p=0.0059)","0.3 (p=0.013)","0.27 (p=0.031)","-0.11 (p=0.4)","-0.31 (p=0.01)","0.37 (p=0.0023)","0.12 (p=0.36)","-0.055 (p=0.66)","-0.21 (p=0.09)","0.4 (p=0.00076)","0.18 (p=0.15)","-0.1 (p=0.42)","-0.0042 (p=0.97)","-0.32 (p=0.0089)","0.19 (p=0.13)","-0.24 (p=0.057)","0.19 (p=0.13)","NA (p=NA)","-0.038 (p=0.76)","-0.076 (p=0.54)","0.06 (p=0.63)","0.072 (p=0.57)"
"MEblue","0.11 (p=0.4)","NA (p=NA)","-0.66 (p=1.8e-09)","NA (p=NA)","0.058 (p=0.64)","0.44 (p=0.00019)","0.82 (p=4.5e-17)","0.1 (p=0.41)","NA (p=NA)","-0.84 (p=8e-19)","-0.5 (p=2.1e-05)","0.12 (p=0.34)","0.039 (p=0.76)","NA (p=NA)","NA (p=NA)","0.21 (p=0.083)","-0.19 (p=0.12)","0.32 (p=0.0091)","0.33 (p=0.0072)","0.31 (p=0.012)","0.37 (p=0.002)","0.086 (p=0.49)","-0.5 (p=2e-05)","0.56 (p=1.3e-06)","-0.65 (p=3.4e-09)","0.64 (p=5.2e-09)","-0.26 (p=0.032)","0.43 (p=0.00033)","0.22 (p=0.08)","0.53 (p=6e-06)","-0.52 (p=9.1e-06)","0.58 (p=2.6e-07)","-0.23 (p=0.067)","-0.19 (p=0.12)","-0.21 (p=0.088)","0.1 (p=0.41)","0.029 (p=0.81)","-0.03 (p=0.81)","0.024 (p=0.85)","-0.16 (p=0.2)","-0.24 (p=0.055)","0.055 (p=0.66)","0.052 (p=0.68)","-0.025 (p=0.84)","-0.1 (p=0.41)","-0.19 (p=0.13)","-0.19 (p=0.12)","-0.22 (p=0.076)","-0.22 (p=0.076)","-0.22 (p=0.076)","-0.31 (p=0.01)","0.23 (p=0.06)","0.27 (p=0.03)","-0.36 (p=0.0026)","-0.23 (p=0.068)","0.2 (p=0.11)","0.38 (p=0.0018)","-0.39 (p=0.0013)","-0.38 (p=0.0017)","0.26 (p=0.038)","0.34 (p=0.0059)","-0.38 (p=0.0018)","-0.38 (p=0.0016)","0.2 (p=0.11)","0.36 (p=0.003)","-0.43 (p=0.00027)","-0.34 (p=0.0055)","-0.31 (p=0.012)","-0.03 (p=0.81)","-0.03 (p=0.81)","0.18 (p=0.16)","NA (p=NA)","-0.12 (p=0.34)","0.022 (p=0.86)","0.66 (p=1.8e-09)","-0.5 (p=1.6e-05)"
"MEmagenta","0.22 (p=0.077)","NA (p=NA)","-0.32 (p=0.0091)","NA (p=NA)","0.26 (p=0.037)","0.3 (p=0.013)","0.87 (p=7.1e-21)","0.31 (p=0.011)","NA (p=NA)","-0.74 (p=8.8e-13)","0.027 (p=0.83)","-0.1 (p=0.42)","-0.25 (p=0.042)","NA (p=NA)","NA (p=NA)","0.037 (p=0.77)","-0.38 (p=0.0014)","0.21 (p=0.084)","0.62 (p=2.5e-08)","0.59 (p=1.9e-07)","-0.052 (p=0.68)","0.22 (p=0.071)","-0.58 (p=2.8e-07)","0.51 (p=1.5e-05)","-0.64 (p=1e-08)","0.79 (p=3.1e-15)","-0.042 (p=0.74)","0.68 (p=5e-10)","-0.17 (p=0.18)","-0.038 (p=0.76)","-0.33 (p=0.0069)","0.013 (p=0.92)","-0.16 (p=0.19)","0.0089 (p=0.94)","-0.047 (p=0.71)","-0.27 (p=0.03)","-0.25 (p=0.044)","-0.25 (p=0.043)","-0.15 (p=0.24)","-0.17 (p=0.17)","-0.3 (p=0.014)","-0.25 (p=0.043)","-0.23 (p=0.067)","-0.26 (p=0.032)","-0.19 (p=0.12)","-0.2 (p=0.11)","-0.29 (p=0.018)","-0.12 (p=0.32)","-0.12 (p=0.32)","-0.12 (p=0.32)","-0.13 (p=0.31)","0.29 (p=0.017)","0.31 (p=0.012)","-0.098 (p=0.43)","-0.27 (p=0.031)","0.28 (p=0.023)","0.26 (p=0.039)","-0.075 (p=0.55)","-0.3 (p=0.015)","0.34 (p=0.0054)","0.15 (p=0.24)","-0.061 (p=0.63)","-0.26 (p=0.035)","0.37 (p=0.0024)","0.23 (p=0.065)","-0.11 (p=0.37)","-0.092 (p=0.46)","-0.28 (p=0.021)","-0.0054 (p=0.97)","-0.12 (p=0.34)","0.25 (p=0.042)","NA (p=NA)","-0.012 (p=0.92)","0.039 (p=0.75)","0.32 (p=0.0091)","-0.15 (p=0.23)"
"MEbrown","0.016 (p=0.9)","NA (p=NA)","-0.27 (p=0.031)","NA (p=NA)","-0.21 (p=0.087)","0.35 (p=0.0034)","-0.11 (p=0.38)","-0.36 (p=0.0027)","NA (p=NA)","-0.49 (p=2.5e-05)","-0.18 (p=0.14)","0.23 (p=0.068)","0.48 (p=5e-05)","NA (p=NA)","NA (p=NA)","0.053 (p=0.67)","0.14 (p=0.26)","-0.02 (p=0.88)","-0.55 (p=1.5e-06)","-0.097 (p=0.44)","0.47 (p=7.1e-05)","0.06 (p=0.63)","-0.24 (p=0.053)","0.55 (p=1.6e-06)","-0.86 (p=2.7e-20)","0.11 (p=0.38)","-0.35 (p=0.0037)","-0.1 (p=0.4)","0.3 (p=0.013)","0.027 (p=0.83)","0.073 (p=0.56)","0.22 (p=0.079)","0.11 (p=0.36)","-0.28 (p=0.021)","-0.17 (p=0.17)","0.62 (p=3.6e-08)","0.66 (p=1.8e-09)","0.64 (p=9.8e-09)","0.41 (p=0.00053)","0.18 (p=0.14)","-0.025 (p=0.84)","0.61 (p=6.7e-08)","0.63 (p=1.7e-08)","0.6 (p=1.1e-07)","0.33 (p=0.0067)","0.2 (p=0.11)","0.12 (p=0.33)","-0.1 (p=0.42)","-0.1 (p=0.42)","-0.1 (p=0.42)","-0.075 (p=0.55)","-0.29 (p=0.017)","-0.21 (p=0.093)","-0.0083 (p=0.95)","0.41 (p=0.00073)","-0.32 (p=0.009)","-0.099 (p=0.43)","-0.16 (p=0.2)","0.17 (p=0.18)","-0.4 (p=0.00095)","0.15 (p=0.23)","-0.28 (p=0.025)","-0.11 (p=0.39)","-0.47 (p=6e-05)","0.09 (p=0.47)","-0.25 (p=0.045)","-0.37 (p=0.0023)","0.038 (p=0.76)","-0.18 (p=0.15)","0.29 (p=0.018)","0.08 (p=0.52)","NA (p=NA)","-0.084 (p=0.5)","-0.042 (p=0.74)","0.27 (p=0.031)","-0.19 (p=0.13)"
"MEred","-0.072 (p=0.56)","NA (p=NA)","0.21 (p=0.085)","NA (p=NA)","-0.24 (p=0.048)","0.078 (p=0.53)","-0.83 (p=2.9e-18)","-0.26 (p=0.032)","NA (p=NA)","-0.13 (p=0.31)","0.23 (p=0.058)","0.089 (p=0.48)","0.34 (p=0.0056)","NA (p=NA)","NA (p=NA)","-0.12 (p=0.34)","0.11 (p=0.4)","-0.14 (p=0.26)","-0.47 (p=6.8e-05)","-0.3 (p=0.015)","0.23 (p=0.059)","0.012 (p=0.92)","-0.24 (p=0.048)","0.39 (p=0.0011)","-0.72 (p=6.8e-12)","-0.17 (p=0.17)","-0.016 (p=0.9)","-0.31 (p=0.012)","0.1 (p=0.42)","-0.13 (p=0.28)","0.29 (p=0.02)","-0.11 (p=0.38)","0.08 (p=0.52)","-0.28 (p=0.025)","-0.19 (p=0.13)","0.48 (p=3.9e-05)","0.5 (p=1.6e-05)","0.5 (p=1.7e-05)","0.31 (p=0.012)","0.1 (p=0.43)","-0.05 (p=0.69)","0.46 (p=1e-04)","0.48 (p=5e-05)","0.47 (p=6.3e-05)","0.23 (p=0.069)","0.087 (p=0.49)","0.032 (p=0.8)","0.06 (p=0.63)","0.06 (p=0.63)","0.06 (p=0.63)","0.095 (p=0.45)","-0.15 (p=0.22)","-0.085 (p=0.5)","0.0046 (p=0.97)","0.4 (p=0.00089)","-0.17 (p=0.18)","-0.025 (p=0.84)","-0.14 (p=0.27)","0.19 (p=0.13)","-0.25 (p=0.045)","0.2 (p=0.1)","-0.27 (p=0.026)","-0.1 (p=0.4)","-0.31 (p=0.012)","0.16 (p=0.2)","-0.25 (p=0.04)","-0.37 (p=0.0022)","0.17 (p=0.16)","-0.23 (p=0.063)","0.29 (p=0.019)","0.04 (p=0.75)","NA (p=NA)","0.091 (p=0.47)","0.022 (p=0.86)","-0.21 (p=0.085)","0.24 (p=0.054)"
"MEgreen","-0.073 (p=0.56)","NA (p=NA)","-0.16 (p=0.2)","NA (p=NA)","-0.12 (p=0.34)","-0.026 (p=0.83)","-0.15 (p=0.24)","-0.41 (p=0.00053)","NA (p=NA)","-0.54 (p=2.3e-06)","-0.27 (p=0.031)","0.12 (p=0.35)","0.32 (p=0.0092)","NA (p=NA)","NA (p=NA)","0.061 (p=0.63)","0.24 (p=0.052)","0.53 (p=4.3e-06)","0.065 (p=0.6)","0.12 (p=0.33)","0.33 (p=0.0064)","-0.11 (p=0.37)","-0.28 (p=0.021)","0.64 (p=6.8e-09)","-0.81 (p=8.6e-17)","0.052 (p=0.68)","0.51 (p=1.1e-05)","-0.16 (p=0.21)","0.48 (p=4.5e-05)","0.16 (p=0.19)","0.37 (p=0.0025)","-0.17 (p=0.17)","0.096 (p=0.44)","-0.096 (p=0.44)","-0.038 (p=0.76)","0.32 (p=0.0085)","0.31 (p=0.011)","0.3 (p=0.016)","0.28 (p=0.025)","0.17 (p=0.17)","0.12 (p=0.34)","0.33 (p=0.0064)","0.32 (p=0.0084)","0.32 (p=0.0099)","0.26 (p=0.036)","0.18 (p=0.15)","0.18 (p=0.15)","0.049 (p=0.7)","0.049 (p=0.7)","0.049 (p=0.7)","0.076 (p=0.54)","-0.18 (p=0.15)","-0.14 (p=0.25)","-0.044 (p=0.72)","0.042 (p=0.74)","-0.21 (p=0.095)","-0.064 (p=0.61)","-0.082 (p=0.51)","-0.046 (p=0.71)","-0.23 (p=0.069)","-0.01 (p=0.94)","-0.082 (p=0.51)","-0.071 (p=0.57)","-0.27 (p=0.029)","-0.033 (p=0.79)","-0.075 (p=0.55)","-0.1 (p=0.42)","0.087 (p=0.49)","-0.18 (p=0.15)","0.27 (p=0.03)","-0.075 (p=0.55)","NA (p=NA)","-0.17 (p=0.17)","-0.19 (p=0.13)","0.16 (p=0.2)","-0.18 (p=0.15)"
"MEpink","0.069 (p=0.58)","NA (p=NA)","-0.059 (p=0.64)","NA (p=NA)","0.065 (p=0.6)","-0.064 (p=0.61)","-0.8 (p=1.1e-15)","-0.18 (p=0.16)","NA (p=NA)","-0.82 (p=4.7e-17)","0.68 (p=2.5e-10)","0.28 (p=0.025)","0.24 (p=0.049)","NA (p=NA)","NA (p=NA)","0.19 (p=0.13)","0.079 (p=0.53)","-0.28 (p=0.025)","0.19 (p=0.13)","0.026 (p=0.84)","0.23 (p=0.063)","0.21 (p=0.098)","-0.47 (p=7.1e-05)","-0.0065 (p=0.96)","-0.52 (p=9.1e-06)","0.096 (p=0.44)","0.57 (p=6.2e-07)","-0.3 (p=0.014)","0.53 (p=5.7e-06)","-0.13 (p=0.29)","0.87 (p=1.4e-21)","-0.33 (p=0.006)","-0.098 (p=0.43)","-0.11 (p=0.4)","-0.11 (p=0.36)","0.072 (p=0.57)","0.027 (p=0.83)","-0.0037 (p=0.98)","0.045 (p=0.72)","-0.1 (p=0.41)","-0.16 (p=0.19)","0.055 (p=0.66)","0.054 (p=0.67)","0.012 (p=0.92)","-0.025 (p=0.84)","-0.12 (p=0.32)","-0.13 (p=0.3)","-0.038 (p=0.76)","-0.038 (p=0.76)","-0.038 (p=0.76)","-0.015 (p=0.91)","0.15 (p=0.23)","0.19 (p=0.12)","-0.22 (p=0.072)","-0.17 (p=0.18)","0.13 (p=0.29)","0.24 (p=0.049)","-0.24 (p=0.054)","-0.28 (p=0.023)","0.17 (p=0.18)","0.21 (p=0.087)","-0.24 (p=0.054)","-0.3 (p=0.016)","0.13 (p=0.29)","0.25 (p=0.045)","-0.29 (p=0.018)","-0.24 (p=0.055)","-0.16 (p=0.2)","0.14 (p=0.26)","0.034 (p=0.78)","0.099 (p=0.43)","NA (p=NA)","-0.063 (p=0.61)","-0.12 (p=0.34)","0.059 (p=0.64)","0.014 (p=0.91)"
