"Module","Habitat","Metadata_Parameter","Correlation","P_value","Q_value"
"MEgreenyellow","Fen","Year__",-0.172712569504773,0.165514717127944,0.293317220226736
"MEpurple","Fen","Year__",-0.131699544473969,0.291842155197693,0.440121023996522
"MEturquoise","Fen","Year__",-0.189209351976481,0.128120670699528,0.246273142763395
"MEblack","Fen","Year__",0.211586147770354,0.0881088894432726,0.184567249706606
"MEblue","Fen","Year__",0.106211818772751,0.395999884024008,0.548245093255707
"MEmagenta","Fen","Year__",0.219471091265539,0.0766304212519748,0.167676442595364
"MEbrown","Fen","Year__",0.0157036757005834,0.900406882976606,0.930309694588375
"MEred","Fen","Year__",-0.0721480670112247,0.564827653885589,0.686621171148907
"MEgreen","Fen","Year__",-0.0730103425801173,0.560173171034723,0.681949947346619
"MEpink","Fen","Year__",0.0685968891662245,0.584185507627914,0.704039923109681
"MEyellow","Fen","Year__",0.027918880817264,0.823906188610874,0.879391611732063
"MEgrey","Fen","Year__",-0.111374876906633,0.373304782841886,0.526917185079888
"MEgreenyellow","Fen","Habitat__",NA,NA,NA
"MEpurple","Fen","Habitat__",NA,NA,NA
"MEturquoise","Fen","Habitat__",NA,NA,NA
"MEblack","Fen","Habitat__",NA,NA,NA
"MEblue","Fen","Habitat__",NA,NA,NA
"MEmagenta","Fen","Habitat__",NA,NA,NA
"MEbrown","Fen","Habitat__",NA,NA,NA
"MEred","Fen","Habitat__",NA,NA,NA
"MEgreen","Fen","Habitat__",NA,NA,NA
"MEpink","Fen","Habitat__",NA,NA,NA
"MEyellow","Fen","Habitat__",NA,NA,NA
"MEgrey","Fen","Habitat__",NA,NA,NA
"MEgreenyellow","Fen","DepthAvg__",0.528707167628057,5.0353321593434e-06,6.71377621245787e-05
"MEpurple","Fen","DepthAvg__",0.488805837460165,3.12351505931223e-05,0.000298405329533603
"MEturquoise","Fen","DepthAvg__",0.568704371894015,6.30293273591699e-07,1.05889269963405e-05
"MEblack","Fen","DepthAvg__",-0.0595989285650877,0.634533405368202,0.744424665515768
"MEblue","Fen","DepthAvg__",-0.658743127508705,1.82712098359581e-09,4.99730296591475e-08
"MEmagenta","Fen","DepthAvg__",-0.318922027619247,0.00905504915267731,0.0383449901843714
"MEbrown","Fen","DepthAvg__",-0.265299936951265,0.0313291901732414,0.0907466198121475
"MEred","Fen","DepthAvg__",0.213536411706385,0.0851510840676583,0.181080786371729
"MEgreen","Fen","DepthAvg__",-0.159443277816596,0.200977123929707,0.332982819123935
"MEpink","Fen","DepthAvg__",-0.0592631712959424,0.636446437925083,0.744589147433245
"MEyellow","Fen","DepthAvg__",-0.501113981818706,1.82247958340914e-05,0.00019136035625796
"MEgrey","Fen","DepthAvg__",0.267413373925585,0.0299563693055481,0.090287321782032
"MEgreenyellow","Fen","ALD.cm__",NA,NA,NA
"MEpurple","Fen","ALD.cm__",NA,NA,NA
"MEturquoise","Fen","ALD.cm__",NA,NA,NA
"MEblack","Fen","ALD.cm__",NA,NA,NA
"MEblue","Fen","ALD.cm__",NA,NA,NA
"MEmagenta","Fen","ALD.cm__",NA,NA,NA
"MEbrown","Fen","ALD.cm__",NA,NA,NA
