"","MEyellow","MEbrown","MEturquoise","MEblue","MEblack","MEred","MEgreen","MEpink","MEgrey"
"711_P-1-D",-0.158898745650983,-0.12875001418225,-0.0925793143361976,-0.13412278073198,-0.0374945652780365,-0.086874248313957,0.422570602762848,0.104420354868828,-0.0288392197353633
"711_P-1-M",0.0159493865138517,-0.0740480935143842,-0.0648151705052797,0.255118849722945,-0.017535092653049,-0.0454823741896978,-0.0489039798291725,-0.0615729426290709,0.0310890677134756
"711_P-1-S",0.0473978926086686,0.139061999515944,0.261061835282257,-0.104392039378671,-0.109785133292157,-0.0858323003775089,-0.0847822627802537,-0.0712639029607397,-0.0212440517365287
"711_P-2-D",-0.158898745650982,-0.124470575677678,-0.0925793143361977,-0.131442286372709,0.0715723315721423,0.101634316713623,0.237863835219687,0.278913977919713,-0.0873244925455814
"711_P-2-M",0.0397268079601479,-0.0649658345138641,-0.0734448473420696,0.234026557047499,0.0300629363318661,-0.0426704819907364,-0.0618994246775567,-0.0712639029607397,0.0407168547678151
"711_P-2-S",0.0755642185570913,0.243767150550936,0.064824179746609,-0.0943690388130243,-0.106416912017242,-0.081933892411819,-0.0831566186967624,-0.0712639029607397,0.0674640753318388
"711_P-3-D",-0.146425908964125,-0.121252285500737,-0.0906649353368628,-0.0350023746367054,0.369020267060198,0.185032788065988,0.0691816211880977,0.0733071673849133,-0.107255112088951
"711_P-3-M",0.162641582462311,-0.0376706582347373,-0.0418136862605253,0.182673512546757,-0.0587214600791157,-0.0657849630297833,-0.0519685868388884,-0.0712639029607396,-0.0119184493855202
"711_P-3-S",-0.00595988758458079,0.127143510859863,0.336845213610892,-0.121920115174362,-0.111353546285292,-0.0857423308148293,-0.0842153089450561,-0.0712639029607397,-0.0288392197353633
"712_P-1-D",-0.1537788705139,-0.12449058590614,-0.0925793143361977,-0.0919735351885031,0.176818608967628,0.270088943407608,0.0801165345190573,0.225420724609968,-0.0712285602903328
"712_P-1-M",0.153058163821422,-0.0217233264927641,-0.0523130671728383,0.174690821941758,-0.0642385584665787,-0.0666332624978001,-0.0612612895261699,-0.0652801301712596,0.0364470691735455
"712_P-1-S",0.0209843287151733,0.166312974376655,0.317336501698224,-0.119247261990573,-0.109194174119292,-0.0897521297771877,-0.0828591206375037,-0.0712639029607397,-0.0288392197353633
"712_P-2-D",-0.147847309389708,-0.120270004158446,-0.0925793143361976,-0.0274127189609724,0.337476436642773,0.187752620039156,0.011407619148243,-0.0109508621166792,-0.0939848306483898
"712_P-2-M",0.181476457884443,0.00519330628261039,-0.0337221360595934,0.0817256743839945,-0.0940621624088275,-0.0781583512348263,-0.0752556181467,-0.0712639029607397,0.0278041870815283
"712_P-2-S",0.00324253495479935,0.230578565765405,0.220825936065116,-0.118039836673537,-0.108934326277992,-0.0897521297771877,-0.084555077997468,-0.0712639029607397,0.0366072151824491
"712_P-3-D",-0.158898745650982,-0.123329558392743,-0.0925793143361976,-0.139979213249097,-0.0488287123866215,0.0153158870276086,0.189676479268307,0.381336017649096,-0.0288392197353633
"712_P-3-M",0.110829436553258,-0.0380587527545444,-0.0626132970553682,0.192205861567995,-0.0613911085687711,-0.0594808215562497,-0.0662526861958256,-0.0712639029607397,0.0556716578561066
"712_P-3-S",0.0358334504129365,0.216594628045445,0.111048292138024,-0.108316038223758,-0.108096305612717,-0.0897521297771876,-0.0840565574521884,-0.0712639029607397,-0.0234576950125515
"713_P-1-X1",-0.150428404811974,-0.122280936218532,-0.0925793143361976,-0.106397853768429,0.128055123745694,0.422837476961827,-0.0346129116191116,0.0392655518511897,-0.0605956558348814
