"Module","Habitat","Metadata_Parameter","Correlation","P_value","Q_value"
"MEyellow","Palsa","Year__",0.150569844689226,0.254992236598069,0.367685434794969
"MEbrown","Palsa","Year__",0.0720932603307276,0.5873932215049,0.695835047013498
"MEturquoise","Palsa","Year__",-0.00366192225449303,0.978040192723517,0.980824123018839
"MEblue","Palsa","Year__",0.161071449188622,0.222951198585705,0.332698494013553
"MEblack","Palsa","Year__",0.0239360138545652,0.857193443519756,0.909144561308832
"MEred","Palsa","Year__",-0.0934338183139964,0.481516691846914,0.607816152003482
"MEgreen","Palsa","Year__",-0.115141899109619,0.385179900377773,0.507857060429599
"MEpink","Palsa","Year__",-0.207934203715948,0.114032028844367,0.210059000502781
"MEgrey","Palsa","Year__",0.0484175408366305,0.715739560387849,0.796415406789948
"MEyellow","Palsa","Habitat__",NA,NA,NA
"MEbrown","Palsa","Habitat__",NA,NA,NA
"MEturquoise","Palsa","Habitat__",NA,NA,NA
"MEblue","Palsa","Habitat__",NA,NA,NA
"MEblack","Palsa","Habitat__",NA,NA,NA
"MEred","Palsa","Habitat__",NA,NA,NA
"MEgreen","Palsa","Habitat__",NA,NA,NA
"MEpink","Palsa","Habitat__",NA,NA,NA
"MEgrey","Palsa","Habitat__",NA,NA,NA
"MEyellow","Palsa","DepthAvg__",-0.625795318203419,1.1584264208557e-07,1.06189088578439e-06
"MEbrown","Palsa","DepthAvg__",-0.784967691637235,1.86463175496998e-13,4.2228425039026e-12
"MEturquoise","Palsa","DepthAvg__",-0.678788864167374,3.4518006971708e-09,4.42981089470253e-08
"MEblue","Palsa","DepthAvg__",-0.0670128245276305,0.614058010457755,0.710058693417907
"MEblack","Palsa","DepthAvg__",0.45615699539809,0.000282366445536306,0.00119462726957668
"MEred","Palsa","DepthAvg__",0.542556338545967,9.03575477381585e-06,5.6109122385792e-05
"MEgreen","Palsa","DepthAvg__",0.460093972836837,0.000246061503321432,0.00107651907703126
"MEpink","Palsa","DepthAvg__",0.75672689523711,4.12644505347278e-12,8.36148076624747e-11
"MEgrey","Palsa","DepthAvg__",-0.284098737579545,0.0292083574015253,0.0665397491099836
"MEyellow","Palsa","ALD.cm__",-0.0802436160051907,0.545743491371729,0.656800934664867
"MEbrown","Palsa","ALD.cm__",0.0666468052902886,0.615998970393717,0.710058693417907
"MEturquoise","Palsa","ALD.cm__",0.182710484567296,0.166025326848808,0.270846401850809
"MEblue","Palsa","ALD.cm__",-0.115845759141628,0.382261935699708,0.505741736235008
"MEblack","Palsa","ALD.cm__",0.0349229391264996,0.79286753632447,0.852052346069313
"MEred","Palsa","ALD.cm__",0.00835891352201703,0.949899215786387,0.96076156045439
"MEgreen","Palsa","ALD.cm__",-0.0137701505057355,0.91755637412323,0.944543326303325
"MEpink","Palsa","ALD.cm__",-0.0566159201536686,0.670171672937927,0.758870864944417
"MEgrey","Palsa","ALD.cm__",-0.0420100074479697,0.752063009021042,0.822976503270889
"MEyellow","Palsa","T_air.deg_C",-0.404245681998875,0.00149657675226895,0.00496295181986064
"MEbrown","Palsa","T_air.deg_C",-0.333182946704385,0.00991999277376773,0.0247999819344193
"MEturquoise","Palsa","T_air.deg_C",-0.234776532114863,0.0734736526455294,0.146566612790305
"MEblue","Palsa","T_air.deg_C",-0.164917949777848,0.211949524032914,0.321738163601048
"MEblack","Palsa","T_air.deg_C",0.120171255929632,0.364621252485792,0.492558534059754
"MEred","Palsa","T_air.deg_C",0.225093250425555,0.0865188714124142,0.167385756250148
"MEgreen","Palsa","T_air.deg_C",0.313161475228961,0.0157326008512264,0.0373892057266801
"MEpink","Palsa","T_air.deg_C",0.401625288149527,0.00161695178804262,0.00518772031997007
"MEgrey","Palsa","T_air.deg_C",-0.287580348118329,0.0272047037379083,0.0627174307730221
"MEyellow","Palsa","T_soil.deg_C",0.58444136992776,1.17390769972968e-06,8.21735389810778e-06
"MEbrown","Palsa","T_soil.deg_C",0.752672824497936,6.21937551709941e-12,1.19722978704164e-10
"MEturquoise","Palsa","T_soil.deg_C",0.647513739040084,2.98094975586338e-08,3.18796015557612e-07
"MEblue","Palsa","T_soil.deg_C",0.0208394270359041,0.875510650457954,0.920413590460372
"MEblack","Palsa","T_soil.deg_C",-0.423426302720691,0.000833266830746109,0.00299820308259114
"MEred","Palsa","T_soil.deg_C",-0.525126366793898,1.95401244026062e-05,0.000113984059015203
"MEgreen","Palsa","T_soil.deg_C",-0.439835372742633,0.000490967719603093,0.00187151061432862
"MEpink","Palsa","T_soil.deg_C",-0.592470246036181,7.67885831956167e-07,5.79678520202204e-06
"MEgrey","Palsa","T_soil.deg_C",0.226123182029158,0.0850503704797149,0.166808428668954
"MEyellow","Palsa","O2.percent",0.341240782584176,0.00817044850057075,0.0209708178181316
"MEbrown","Palsa","O2.percent",0.602340461633255,4.48469419276979e-07,3.83690503159194e-06
"MEturquoise","Palsa","O2.percent",0.504560455048021,4.60426427996572e-05,0.000253234535398115
"MEblue","Palsa","O2.percent",-0.534923052728014,1.27334448774327e-05,7.78154964731997e-05
"MEblack","Palsa","O2.percent",-0.595964007616061,6.3608356138639e-07,5.10192023195334e-06
"MEred","Palsa","O2.percent",-0.694992817029524,1.01549457204843e-09,1.50371311630249e-08
"MEgreen","Palsa","O2.percent",-0.0693693641622648,0.601624947729105,0.70402919415108
"MEpink","Palsa","O2.percent",-0.0494714648014498,0.709822086979095,0.792120299962179
"MEgrey","Palsa","O2.percent",-0.146822636512556,0.267144343863668,0.379522407333993
"MEyellow","Palsa","pH_porewater",-0.271370732796898,0.0376147793841442,0.0827525146451172
"MEbrown","Palsa","pH_porewater",-0.358599233992711,0.00528826071915807,0.0142844485689235
"MEturquoise","Palsa","pH_porewater",NA,NA,NA
"MEblue","Palsa","pH_porewater",-0.26452501838019,0.0429082551790842,0.0922887052734493
"MEblack","Palsa","pH_porewater",0.0585118551313521,0.659792735555817,0.756012509491041
"MEred","Palsa","pH_porewater",0.241962475483389,0.0648453213601007,0.132794940019355
"MEgreen","Palsa","pH_porewater",-0.416282021859375,0.00104054045978875,0.00360908177494295
"MEpink","Palsa","pH_porewater",0.187549415237678,0.154901928202275,0.266188221880379
"MEgrey","Palsa","pH_porewater",0.472004363124886,0.000160606850565016,0.000754068749604038
"MEyellow","Palsa","pH_peat",-0.609919505212533,2.93070464887143e-07,2.5643665677625e-06
"MEbrown","Palsa","pH_peat",-0.507797627908492,4.03783085224752e-05,0.000228612482075779
"MEturquoise","Palsa","pH_peat",-0.296756728009815,0.0224693351116283,0.0524284485937995
"MEblue","Palsa","pH_peat",-0.275355596060071,0.034790817848461,0.0774246524373266
"MEblack","Palsa","pH_peat",-0.0616988993072763,0.642489463373893,0.738383413131191
"MEred","Palsa","pH_peat",-0.0769558087736834,0.562372240219862,0.670319852893643
"MEgreen","Palsa","pH_peat",0.853049953191175,9.71695412865429e-18,3.11752278294325e-16
"MEpink","Palsa","pH_peat",0.530335029985708,1.55870840504673e-05,9.23234978373834e-05
"MEgrey","Palsa","pH_peat",-0.267836129188956,0.0402760750207886,0.0871139824887842
"MEyellow","Palsa","BulkDensity",NA,NA,NA
"MEbrown","Palsa","BulkDensity",NA,NA,NA
"MEturquoise","Palsa","BulkDensity",NA,NA,NA
"MEblue","Palsa","BulkDensity",NA,NA,NA
