"Habitat___from","DepthLumping_from","Year___from","min_BetaDiversity","max_BetaDiversity"
"Palsa","0-9",2012,0.34617070409374,0.633541972440705
"Palsa","0-9",2013,0.681146003225921,0.78894401248561
"Palsa","0-9",2015,0.510263666922532,0.706647337473589
"Palsa","0-9",2016,0.494284343046413,0.83439848987285
"Palsa","0-9",2017,0.330976571945451,0.67843585453631
"Palsa","10-19",2012,0.427230182163955,0.627113665078217
"Palsa","10-19",2015,0.677395803981667,0.900541649073155
"Palsa","10-19",2016,0.686919430368769,0.831895602311615
"Palsa","10-19",2017,0.571222210087422,0.766433164441502
"Palsa","20-29",2011,0.520804073509406,0.756215677768951
"Palsa","20-29",2014,0.957701155365176,0.988410943225192
"Palsa","20-29",2016,0.490277485704707,0.896761879995701
"Palsa","20-29",2017,0.463389496511854,0.978036784983227
"Palsa","30-39",2012,0.43508887661576,0.987271883189138
"Palsa","30-39",2013,0.601723031754677,0.992544626923028
"Palsa","30-39",2014,0.819395873844747,0.996933786975355
"Palsa","30-39",2015,0.818144683791168,0.997813433097384
"Palsa","30-39",2016,0.570407789625833,0.992372269215449
"Bog","0-9",2011,0.295172340679983,0.659811355319001
"Bog","0-9",2013,0.326162146436611,0.936557615720359
"Bog","0-9",2014,0.369704296365008,0.887523892896347
"Bog","0-9",2015,0.393829665202131,0.727096351833644
"Bog","0-9",2016,0.455509123021435,0.809270435909377
"Bog","0-9",2017,0.476368207456768,0.786640579966799
"Bog","10-19",2012,0.382437614231602,0.686186323288374
"Bog","10-19",2013,0.279965972409951,0.68393623949459
"Bog","10-19",2014,0.379699213050734,0.65111312492563
"Bog","10-19",2015,0.421628932528918,0.750781792889071
"Bog","10-19",2016,0.397213247461777,0.732752140115742
"Bog","10-19",2017,0.392877846583865,0.572757058873367
"Bog","20-29",2011,0.356531721971489,0.610606850101779
"Bog","20-29",2014,0.36351657290542,0.805318842416978
"Bog","20-29",2015,0.352438585792258,0.576965424034653
"Bog","20-29",2016,0.374589368973871,0.695552009095455
"Bog","20-29",2017,0.306993044271165,0.746353610224614
"Bog","30-39",2013,0.322483061209766,0.723292587787377
"Bog","30-39",2014,0.19537412967128,0.665711006772654
"Bog","30-39",2015,0.235113610054065,0.645491415858911
"Bog","30-39",2016,0.343741013028983,0.643831761258809
"Bog","30-39",2017,0.46104813683063,0.575228793170024
"Fen","0-9",2012,0.241726495588489,0.719693771642421
"Fen","0-9",2013,0.182124351121656,0.648697043516595
"Fen","0-9",2014,0.406637708837271,0.744041957676394
"Fen","0-9",2015,0.242254315944201,0.730158921034975
"Fen","0-9",2016,0.348554014679404,0.75130530367777
"Fen","0-9",2017,0.318047220931169,0.683976186308102
"Fen","10-19",2015,0.457328753109196,0.839489278968691
"Fen","10-19",2016,0.242290806609738,0.833781363352788
"Fen","10-19",2017,0.278850868476752,0.833159277369954
"Fen","20-29",2012,0.189187496080951,0.64477488783668
"Fen","20-29",2013,0.635648823264046,0.84343839783921
"Fen","20-29",2014,0.282651454494364,0.645067325309701
"Fen","20-29",2015,0.271207266267849,0.418463000976214
"Fen","20-29",2016,0.233162267234806,0.286920056244145
"Fen","20-29",2017,0.312919231804128,0.438989048447368
"Fen","30-39",2014,0.789349843448974,0.889952160653768
"Fen","30-39",2015,0.786388666515558,0.893307755801184
"Fen","30-39",2016,0.775906508612492,0.897123907700031
"Fen","30-39",2017,0.824323503719032,0.902107351888593
