"Habitat___from","DepthLumping_from","Year___from","min_BetaDiversity","max_BetaDiversity"
"Palsa","0-9",2011,0.594156026383767,0.65996114545977
"Palsa","0-9",2012,0.594156026383767,0.65996114545977
"Palsa","0-9",2013,0.594156026383767,0.65996114545977
"Palsa","0-9",2014,0.594156026383767,0.65996114545977
"Palsa","0-9",2015,0.594156026383767,0.65996114545977
"Palsa","0-9",2016,0.594156026383767,0.65996114545977
"Palsa","0-9",2017,0.594156026383767,0.65996114545977
"Palsa","10-19",2011,0.512602550151572,0.512602550151572
"Palsa","10-19",2012,0.512602550151572,0.512602550151572
"Palsa","10-19",2013,0.512602550151572,0.512602550151572
"Palsa","10-19",2014,0.512602550151572,0.512602550151572
"Palsa","10-19",2015,0.512602550151572,0.512602550151572
"Palsa","10-19",2016,0.512602550151572,0.512602550151572
"Palsa","10-19",2017,0.512602550151572,0.512602550151572
"Palsa","20-29",2015,0.513275823618117,0.83979213828164
"Palsa","20-29",2016,0.513275823618117,0.83979213828164
"Palsa","20-29",2017,0.513275823618117,0.83979213828164
"Palsa","30-39",2011,0.827437889778347,0.982677561320615
"Palsa","30-39",2012,0.827437889778347,0.982677561320615
"Palsa","30-39",2013,0.827437889778347,0.982677561320615
"Palsa","30-39",2014,0.827437889778347,0.982677561320615
"Palsa","30-39",2015,0.827437889778347,0.982677561320615
"Palsa","30-39",2016,0.827437889778347,0.982677561320615
"Palsa","30-39",2017,0.827437889778347,0.982677561320615
"Bog","0-9",2012,0.556717319064052,0.646497588820452
"Bog","0-9",2013,0.556717319064052,0.646497588820452
"Bog","0-9",2014,0.556717319064052,0.646497588820452
"Bog","0-9",2015,0.556717319064052,0.646497588820452
"Bog","0-9",2016,0.556717319064052,0.646497588820452
"Bog","0-9",2017,0.556717319064052,0.646497588820452
"Bog","10-19",2011,0.403548053128414,0.662760490754785
"Bog","10-19",2012,0.403548053128414,0.662760490754785
"Bog","10-19",2013,0.403548053128414,0.662760490754785
"Bog","10-19",2014,0.403548053128414,0.662760490754785
"Bog","10-19",2015,0.403548053128414,0.662760490754785
"Bog","10-19",2016,0.403548053128414,0.662760490754785
"Bog","10-19",2017,0.403548053128414,0.662760490754785
"Bog","20-29",2013,0.541579807485956,0.73437151613154
"Bog","20-29",2014,0.541579807485956,0.73437151613154
"Bog","20-29",2015,0.541579807485956,0.73437151613154
"Bog","20-29",2016,0.541579807485956,0.73437151613154
"Bog","20-29",2017,0.541579807485956,0.73437151613154
"Bog","30-39",2012,0.323501721307825,0.667620947319026
"Bog","30-39",2013,0.323501721307825,0.667620947319026
"Bog","30-39",2014,0.323501721307825,0.667620947319026
"Bog","30-39",2015,0.323501721307825,0.667620947319026
"Bog","30-39",2016,0.323501721307825,0.667620947319026
"Bog","30-39",2017,0.323501721307825,0.667620947319026
"Fen","0-9",2011,0.297115129551031,0.619084312570683
"Fen","0-9",2012,0.297115129551031,0.619084312570683
"Fen","0-9",2013,0.297115129551031,0.619084312570683
"Fen","0-9",2014,0.297115129551031,0.619084312570683
"Fen","0-9",2015,0.297115129551031,0.619084312570683
"Fen","0-9",2016,0.297115129551031,0.619084312570683
"Fen","0-9",2017,0.297115129551031,0.619084312570683
"Fen","10-19",2013,0.509638399843556,0.841638944880508
"Fen","10-19",2014,0.509638399843556,0.841638944880508
"Fen","10-19",2015,0.509638399843556,0.841638944880508
"Fen","10-19",2016,0.509638399843556,0.841638944880508
"Fen","10-19",2017,0.509638399843556,0.841638944880508
"Fen","20-29",2011,0.297130912603661,0.362166959162434
"Fen","20-29",2012,0.297130912603661,0.362166959162434
"Fen","20-29",2013,0.297130912603661,0.362166959162434
"Fen","20-29",2014,0.297130912603661,0.362166959162434
"Fen","20-29",2015,0.297130912603661,0.362166959162434
"Fen","20-29",2016,0.297130912603661,0.362166959162434
"Fen","20-29",2017,0.297130912603661,0.362166959162434
"Fen","30-39",2013,0.486193482847006,0.59106075648845
"Fen","30-39",2014,0.486193482847006,0.59106075648845
"Fen","30-39",2015,0.486193482847006,0.59106075648845
"Fen","30-39",2016,0.486193482847006,0.59106075648845
"Fen","30-39",2017,0.486193482847006,0.59106075648845
