"SampleID_from","SampleID_to","BetaDiversity","Year___from","Habitat___from","DepthLumping_from","Year___to","Habitat___to","DepthLumping_to","ReferenceYear"
"X712_E.1.M","X711_E.1.S",0.6077949987865,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.2.S","X711_E.1.S",0.501742652326912,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.2.M","X711_E.1.S",0.4732562485756,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.3.S","X711_E.1.S",0.563216287835078,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.3.M","X711_E.1.S",0.399408555209463,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.1.S","X711_E.1.S",0.582771179701328,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.1.M","X711_E.1.S",0.587735788865894,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.2.S","X711_E.1.S",0.275442955208383,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.2.M","X711_E.1.S",0.379965077390361,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.3.S","X711_E.1.S",0.415501926359033,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.3.M","X711_E.1.S",0.560817934888469,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E1_1.5","X711_E.1.S",0.60079603026994,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E1_5.9","X711_E.1.S",0.628583420829927,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E2_1.5","X711_E.1.S",0.565133043361692,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E2_5.9","X711_E.1.S",0.744041957676394,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E1_1.5","X711_E.1.S",0.528637021528174,2015,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E2_1.5","X711_E.1.S",0.396252740151529,2015,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E3_1.5","X711_E.1.S",0.654384511579945,2015,"Fen","0-9",2011,"Fen","0-9",2011
"X716_E1_1.5","X711_E.1.S",0.450420213125117,2016,"Fen","0-9",2011,"Fen","0-9",2011
"X716_E3_1.5","X711_E.1.S",0.615821798370954,2016,"Fen","0-9",2011,"Fen","0-9",2011
"X717_E2_1.5","X711_E.1.S",0.387055963112885,2017,"Fen","0-9",2011,"Fen","0-9",2011
"X717_E3_1.5","X711_E.1.S",0.470749933299273,2017,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.1.M","X711_E.1.M",0.462415756747203,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.2.S","X711_E.1.M",0.365310848116829,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.2.M","X711_E.1.M",0.400909444760423,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.3.S","X711_E.1.M",0.523973366052261,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X712_E.3.M","X711_E.1.M",0.502574320149337,2012,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.1.S","X711_E.1.M",0.458833302428651,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.1.M","X711_E.1.M",0.431701932106022,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.2.S","X711_E.1.M",0.394029923651638,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.2.M","X711_E.1.M",0.347707457942501,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.3.S","X711_E.1.M",0.182124351121656,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X713_E.3.M","X711_E.1.M",0.484076935380406,2013,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E1_1.5","X711_E.1.M",0.564465022599029,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E1_5.9","X711_E.1.M",0.547991580970447,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E2_1.5","X711_E.1.M",0.47101315992564,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X714_E2_5.9","X711_E.1.M",0.572162004740951,2014,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E1_1.5","X711_E.1.M",0.310264972397564,2015,"Fen","0-9",2011,"Fen","0-9",2011
"X715_E2_1.5","X711_E.1.M",0.38013159266304,2015,"Fen","0-9",2011,"Fen","0-9",2011
