seqname,tax_id
UniRef90_A0A2S2KQ53,amoB_Archaea
UniRef90_A0A7D7V8D0,amoB_Archaea
UniRef90_A0A0C5BXS1,amoB_Archaea
UniRef90_A0A7D7VC12,amoB_Archaea
UniRef90_A0A7D7Z9E0,amoB_Archaea
UniRef90_A0A2E4JRH6,amoB_Archaea
UniRef90_A0A7J2YBN2,amoB_Archaea
UniRef90_A0A2I7UGI0,amoB_Archaea
UniRef90_B0LKZ4,amoB_Archaea
Nitrososphaera_viennensis_028430,amoB_Archaea
UniRef90_A0A842PWN4,amoB_Archaea
UniRef90_A0A533WJ87,amoB_Archaea
UniRef90_I3RKW6,amoB_Archaea
UniRef90_B0LLW7,amoB_Archaea
UniRef90_K0IDG6,amoB_Archaea
UniRef90_A0A484I8C2,amoB_Archaea
UniRef90_A0A842Q5T9,amoB_Archaea
UniRef90_A0A6A7LBW2,amoB_Archaea
UniRef90_A0A6G1YSZ0,amoB_Archaea
UniRef90_A0A533V6R5,amoB_Archaea
UniRef90_A0A533V842,amoB_Archaea
UniRef90_A0A7J4RRG9,amoB_Archaea
UniRef90_A0A533UAA8,amoB_Archaea
UniRef90_A0A128A5E1,amoB_Archaea
UniRef90_UPI0014097EBA,amoB_Archaea
UniRef90_A0A835X3L1,amoB_Archaea
UniRef90_A0A382AAF2,amoB_Archaea
UniRef90_A0A075HMF9,amoB_Archaea
UniRef90_A0A075HSS5,amoB_Archaea
UniRef90_A0A075G7N5,amoB_Archaea
UniRef90_A0A381V7B1,amoB_Archaea
UniRef90_A0A075GSZ1,amoB_Archaea
UniRef90_A4GIN8,amoB_Archaea
UniRef90_A4GIN9,amoB_Archaea
UniRef90_A0A3G1B644,amoB_Archaea
UniRef90_A0A075H4S4,amoB_Archaea
Candidatus_Nitrosopelagicus_brevis_0298,amoB_Archaea
UniRef90_A0A075FQG5,amoB_Archaea
UniRef90_A0A835X8P3,amoB_Archaea
UniRef90_A0A835XA53,amoB_Archaea
UniRef90_A0A0T5ZFL0,amoB_Archaea
UniRef90_A0A3M9ZP17,amoB_Archaea
Cenarchaeum_symbiosum_0394,amoB_Archaea
UniRef90_A0A836BF90,amoB_Archaea
UniRef90_A0A0F9HRX5,amoB_Archaea
UniRef90_A0A5J4DQ11,amoB_Archaea
UniRef90_A0A835XGK4,amoB_Archaea
UniRef90_A0A370LKZ8,amoB_Archaea
UniRef90_A0A6G2KTV0,amoB_Archaea
UniRef90_A0A846PP55,amoB_Archaea
Nitrosopumilus_maritimus_1503,amoB_Archaea
Nitrosopumilus_piranensis_2150,amoB_Archaea
UniRef90_F3KNB2,amoB_Archaea
UniRef90_A0A388QI73,amoB_Archaea
