Protein Name	EC#	Reference	Organism	GenBank	Uniprot	PDB/3D	Taxonomy	Nrow_before_sepGenbank	FamilyName
bimodular/bifunctional pectin and pectate lyase (PL1B+PL9; Cthe_2179	4.2.2.104.2.2.2	pubmedpubmed	Acetivibrio thermocellus ATCC 27405	ABN53381.1			Bacteria	87	PL1
bifunctional pectin and pectate lyase (PL1A; Cthe_2950)	4.2.2.104.2.2.2	pubmedpubmed	Acetivibrio thermocellus ATCC 27405	ABN54148.1			Bacteria	87	PL1
poly α-D-N-acetylgalactosaminuric acid lyase (VexL)	4.2.2.-	pubmed	Achromobacter denitrificans CWG1240	ANB43583.1	A0A160EBC2	6FI2[A]	Bacteria	87	PL1
pectate lyase (PelA; BacPelA)	4.2.2.2	pubmed	Alkalihalobacillus clausii S10	ALK03050.1			Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.24.2.2.9	doidoi	Bacillus licheniformis 14A	CAD56882.1	Q8GCB2		Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.24.2.2.9	doidoi	Bacillus licheniformis 14A	AAE59746.1	Q8GCB2		Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.24.2.2.9	doidoi	Bacillus licheniformis 14A	AAN26179.1	Q8GCB2		Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.24.2.2.9	doidoi	Bacillus licheniformis 14A	AAS29293.1	Q8GCB2		Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.24.2.2.9	doidoi	Bacillus licheniformis 14A	ACP63662.1	Q8GCB2		Bacteria	87	PL1
pectate lyase (Pel)	4.2.2.2	pubmed	Bacillus licheniformis RN1	BAG12908.1	B1B6T1Q8GCB2		Bacteria	87	PL1
pectate lyase (Pel-22)	4.2.2.2	pubmed	Bacillus pumilus BS22	ADK23889.1	D8X181		Bacteria	87	PL1
pectate lyase (PelB)	4.2.2.2	pubmed	Bacillus pumilus DKS1	ACD11362.1	B2ZFM0		Bacteria	87	PL1
pectate lyase (Pel-103)	4.2.2.2	pubmed	Bacillus sp. (in: Bacteria) KSM-P103	BAA76885.1	Q9WX56		Bacteria	87	PL1
pectate lyase (Pel-103)	4.2.2.2	pubmed	Bacillus sp. (in: Bacteria) KSM-P103	CAW61508.1	Q9WX56		Bacteria	87	PL1
pectate lyase (Pel-103)	4.2.2.2	pubmed	Bacillus sp. (in: Bacteria) KSM-P103	CAW70674.1	Q9WX56		Bacteria	87	PL1
pectate lyase (Pel-103)	4.2.2.2	pubmed	Bacillus sp. (in: Bacteria) KSM-P103	CBC41578.1	Q9WX56		Bacteria	87	PL1
pectate lyase (Pel-103)	4.2.2.2	pubmed	Bacillus sp. (in: Bacteria) KSM-P103	CBC59865.1	Q9WX56		Bacteria	87	PL1
pectate lyase (partial)	4.2.2.2	pubmed	Bacillus sp. (in: Bacteria) KSM-P7	BAA76884.1	Q9XE02		Bacteria	87	PL1
pectate lyase (PelA;Bsp165PelA)	4.2.2.2	pubmed	Bacillus sp. N16-5	ACY38198.1	D0VP31	3VMV[A]3VMW[A]	Bacteria	87	PL1
pectate lyase (Pel-4B)	4.2.2.2	pubmed	Bacillus sp. P-4-N	BAA96478.1	Q9NDN1		Bacteria	87	PL1
pectate lyase (Pel-4A)	4.2.2.2	pubmed	Bacillus sp. P-4-N	BAA96477.1	Q9NDN2		Bacteria	87	PL1
pectate lyase (Pl47)	4.2.2.2	pubmed	Bacillus sp. TS-47	BAB40336.1	Q9AJM4	1VBL[A]	Bacteria	87	PL1
pectate lyase (Pl47)	4.2.2.2	pubmed	Bacillus sp. TS-47	CAW61498.1	Q9AJM4	1VBL[A]	Bacteria	87	PL1
pectate lyase (Pl47)	4.2.2.2	pubmed	Bacillus sp. TS-47	CAW70664.1	Q9AJM4	1VBL[A]	Bacteria	87	PL1
pectate lyase (Pl47)	4.2.2.2	pubmed	Bacillus sp. TS-47	CBC41559.1	Q9AJM4	1VBL[A]	Bacteria	87	PL1
pectate lyase (Pl47)	4.2.2.2	pubmed	Bacillus sp. TS-47	CBC59844.1	Q9AJM4	1VBL[A]	Bacteria	87	PL1
polygalacturonate lyase (PelA)	4.2.2.2	doi	Bacillus subtilis 7-3-3	AGN03891.1	R9S2J2		Bacteria	87	PL1
pectate lyase (Pel-66)	4.2.2.2	pubmed	Bacillus subtilis BS66	ADK23888.1	D8X180		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	BAA12119.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW40861.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW46019.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW49223.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW50930.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW61472.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW62391.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW70638.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW71279.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW73759.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW79736.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW89178.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW91125.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW91820.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW95951.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW96172.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAW97018.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAX02095.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAX06665.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAX07019.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CAX07522.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CBC11521.1	P94449		Bacteria	87	PL1
pectin lyase (Ppr)	4.2.2.10	pubmed	Bacillus subtilis IFO 3134	CBC98374.1	P94449		Bacteria	87	PL1
pectate lyase (BsPel-PB1)	4.2.2.2	pubmed	Bacillus subtilis PB1	AOE45992.1	A0A286K338		Bacteria	87	PL1
pectate lyase (Pel)	4.2.2.2	pubmed	Bacillus subtilis RCK	AFH66771.1	I0BWH3		Bacteria	87	PL1
pectate lyase (Pel)	4.2.2.2	pubmed	Bacillus subtilis SO113	CAA52866.1	P39116		Bacteria	87	PL1
pectate lyase (Pel;Pel168;BSU07560)	4.2.2.2	pubmed	Bacillus subtilis subsp. subtilis str. 168	CAB12585.1	A0A6M4JL16P39116	1BN8[A]2BSP[A]2NZM[A]2O04[A]2O0V[A]2O0W[A]2O17[A]2O1D[A]3KRG[A]5AMV[A]5X2I[A]	Bacteria	87	PL1
pectate lyase (Pel;Pel168;BSU07560)	4.2.2.2	pubmed	Bacillus subtilis subsp. subtilis str. 168	AAR45489.1	A0A6M4JL16P39116	1BN8[A]2BSP[A]2NZM[A]2O04[A]2O0V[A]2O0W[A]2O17[A]2O1D[A]3KRG[A]5AMV[A]5X2I[A]	Bacteria	87	PL1
pectate lyase (Pel;Pel168;BSU07560)	4.2.2.2	pubmed	Bacillus subtilis subsp. subtilis str. 168	AIY92046.1	A0A6M4JL16P39116	1BN8[A]2BSP[A]2NZM[A]2O04[A]2O0V[A]2O0W[A]2O17[A]2O1D[A]3KRG[A]5AMV[A]5X2I[A]	Bacteria	87	PL1
pectate lyase (Pel;Pel168;BSU07560)	4.2.2.2	pubmed	Bacillus subtilis subsp. subtilis str. 168	AQR80710.1	A0A6M4JL16P39116	1BN8[A]2BSP[A]2NZM[A]2O04[A]2O0V[A]2O0W[A]2O17[A]2O1D[A]3KRG[A]5AMV[A]5X2I[A]	Bacteria	87	PL1
pectate lyase (Pel;Pel168;BSU07560)	4.2.2.2	pubmed	Bacillus subtilis subsp. subtilis str. 168	AQR84923.1	A0A6M4JL16P39116	1BN8[A]2BSP[A]2NZM[A]2O04[A]2O0V[A]2O0W[A]2O17[A]2O1D[A]3KRG[A]5AMV[A]5X2I[A]	Bacteria	87	PL1
pectate lyase (Pel;Pel168;BSU07560)	4.2.2.2	pubmed	Bacillus subtilis subsp. subtilis str. 168	CAD67509.1	A0A6M4JL16P39116	1BN8[A]2BSP[A]2NZM[A]2O04[A]2O0V[A]2O0W[A]2O17[A]2O1D[A]3KRG[A]5AMV[A]5X2I[A]	Bacteria	87	PL1
pectate lyase (Pel;Pel168;BSU07560)	4.2.2.2	pubmed	Bacillus subtilis subsp. subtilis str. 168	CAD67510.1	A0A6M4JL16P39116	1BN8[A]2BSP[A]2NZM[A]2O04[A]2O0V[A]2O0W[A]2O17[A]2O1D[A]3KRG[A]5AMV[A]5X2I[A]	Bacteria	87	PL1
pectate lyase (Pel;Pel168;BSU07560)	4.2.2.2	pubmed	Bacillus subtilis subsp. subtilis str. 168	CAD67511.1	A0A6M4JL16P39116	1BN8[A]2BSP[A]2NZM[A]2O04[A]2O0V[A]2O0W[A]2O17[A]2O1D[A]3KRG[A]5AMV[A]5X2I[A]	Bacteria	87	PL1
pectate lyase (Pel;Pel168;BSU07560)	4.2.2.2	pubmed	Bacillus subtilis subsp. subtilis str. 168	CAF05441.1	A0A6M4JL16P39116	1BN8[A]2BSP[A]2NZM[A]2O04[A]2O0V[A]2O0W[A]2O17[A]2O1D[A]3KRG[A]5AMV[A]5X2I[A]	Bacteria	87	PL1
pectate lyase (Pel;Pel168;BSU07560)	4.2.2.2	pubmed	Bacillus subtilis subsp. subtilis str. 168	CAW61552.1	A0A6M4JL16P39116	1BN8[A]2BSP[A]2NZM[A]2O04[A]2O0V[A]2O0W[A]2O17[A]2O1D[A]3KRG[A]5AMV[A]5X2I[A]	Bacteria	87	PL1
pectate lyase (Pel;Pel168;BSU07560)	4.2.2.2	pubmed	Bacillus subtilis subsp. subtilis str. 168	CAW70718.1	A0A6M4JL16P39116	1BN8[A]2BSP[A]2NZM[A]2O04[A]2O0V[A]2O0W[A]2O17[A]2O1D[A]3KRG[A]5AMV[A]5X2I[A]	Bacteria	87	PL1
pectate lyase (Pel;Pel168;BSU07560)	4.2.2.2	pubmed	Bacillus subtilis subsp. subtilis str. 168	CBC41660.1	A0A6M4JL16P39116	1BN8[A]2BSP[A]2NZM[A]2O04[A]2O0V[A]2O0W[A]2O17[A]2O1D[A]3KRG[A]5AMV[A]5X2I[A]	Bacteria	87	PL1
pectate lyase (Pel;Pel168;BSU07560)	4.2.2.2	pubmed	Bacillus subtilis subsp. subtilis str. 168	CBC59954.1	A0A6M4JL16P39116	1BN8[A]2BSP[A]2NZM[A]2O04[A]2O0V[A]2O0W[A]2O17[A]2O1D[A]3KRG[A]5AMV[A]5X2I[A]	Bacteria	87	PL1
pectate lyase (Pel;Pel168;BSU07560)	4.2.2.2	pubmed	Bacillus subtilis subsp. subtilis str. 168	NP_388637.1	A0A6M4JL16P39116	1BN8[A]2BSP[A]2NZM[A]2O04[A]2O0V[A]2O0W[A]2O17[A]2O1D[A]3KRG[A]5AMV[A]5X2I[A]	Bacteria	87	PL1
pectate lyase (BT4119;BT_4119)	4.2.2.2	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO79224.1	Q8A0A2		Bacteria	87	PL1
pectate lyase (BT4119;BT_4119)	4.2.2.2	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_813030.1	Q8A0A2		Bacteria	87	PL1
pectate lyase (BT4115;BT_4115)	4.2.2.2	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO79220.1	Q8A0A6		Bacteria	87	PL1
pectate lyase (BT4115;BT_4115)	4.2.2.2	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_813026.1	Q8A0A6		Bacteria	87	PL1
pectate lyase (BT4116;BT_4116)	4.2.2.2	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO79221.1	Q8A0A5		Bacteria	87	PL1
pectate lyase (BT4116;BT_4116)	4.2.2.2	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_813027.1	Q8A0A5		Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	AAA24843.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW40921.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW46079.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW49283.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW50990.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW61547.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW62451.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW70713.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW71339.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW73819.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW79796.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW89319.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW91254.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW91911.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW96011.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW96232.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW97078.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAX02155.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAX06725.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAX07079.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAX07582.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CBC11581.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelA)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CBC98482.1	P0C1A2P29155	1JRG[A,B]1JTA[A]1OOC[A,B]1PE9[A,B]	Bacteria	87	PL1
pectate lyase (PelB;PlB)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	AAA24847.1	P04959		Bacteria	87	PL1
pectate lyase (PelC)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	AAA24849.1	P11073	1AIR[A]1O88[A]1O8D[A]1O8E[A]1O8F[A]1O8G[A]1O8H[A]1O8I[A]1O8J[A]1O8K[A]1O8L[A]1O8M[A]1PLU[A]2EWE[A]2PEC[A]	Bacteria	87	PL1
pectate lyase (PelC)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	AAR45490.1	P11073	1AIR[A]1O88[A]1O8D[A]1O8E[A]1O8F[A]1O8G[A]1O8H[A]1O8I[A]1O8J[A]1O8K[A]1O8L[A]1O8M[A]1PLU[A]2EWE[A]2PEC[A]	Bacteria	87	PL1
pectate lyase (PelC)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	AAW11900.1	P11073	1AIR[A]1O88[A]1O8D[A]1O8E[A]1O8F[A]1O8G[A]1O8H[A]1O8I[A]1O8J[A]1O8K[A]1O8L[A]1O8M[A]1PLU[A]2EWE[A]2PEC[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	AAA24844.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW40923.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW46081.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW49285.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW50992.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW61550.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW62453.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW70716.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW71341.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW73821.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW79798.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW89324.1	P04960	1PCL[A]	Bacteria	87	PL1
pectate lyase (PelE)	4.2.2.2	pubmed	Dickeya chrysanthemi EC16	CAW91258.1	P04960	1PCL[A]	Bacteria	87	PL1
