genome	taxonomy	completeness	contamination	subpathway	habitat
20100900_E1D_10	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003162255	94.66	1.88	"CAZy-Alpha_mannan,CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,propionate_fermentation-succinate_pathway,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Fen
20100900_E1D_13	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Fen-549;s__Fen-549 sp003162235	86.64	0.86	"CAZy-Amorphous_Cellulose,CAZy-Xylans,fructose_degradation-all,galactose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Fen
20100900_E1D_4	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__Fen-1342;g__Fen-1342;s__Fen-1342 sp003162245	82.95	4.55	"CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Starch,CAZy-Xyloglucan,chemotaxis-all,flagella_assembly-all"	Fen
20100900_E1D_8	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1254;s__Fen-1254 sp003162695	94.38	1.91	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Starch,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,nitrogen_redox-nitric_oxide_oxidation,sucrose_degradation-all,xylose_degradation-isomerase_pathway"	Fen
20100900_E2D_7	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__FEN-1257;s__FEN-1257 sp003135995	90.97	1.09	"CAZy-Chitin,CAZy-Xyloglucan,acetogenesis-simple,lactose_degradation-all,propionate_fermentation-succinate_pathway,sulfur_redox-dissimilatory_sulfur_oxidation"	Fen
20100900_E3D_12	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Fen-549;s__Fen-549 sp003162055	94.83	0.86	"CAZy-Amorphous_Cellulose,CAZy-Xylans,fructose_degradation-all,lactate_fermentation-all,sucrose_degradation-all"	Fen
20110600_S1D_11	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__UBA11358;s__UBA11358 sp003134375	97.64	4.05	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,acetogenesis-simple,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,nitrogen_redox-nitrogen_fixation,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Fen
20110700_E1D_5	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__;g__;s__	87.61	3.57	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Beta_galactan__pectic_galactan_,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Starch,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,acetogenesis-simple,fructose_degradation-all,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,xylose_degradation-isomerase_pathway"	Fen
20110800_E1D_1	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__Fen-1039;s__Fen-1039 sp003157175	76.18	0	"CAZy-Chitin,CAZy-Xyloglucan,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,mannose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,sucrose_degradation-all,xylose_degradation-isomerase_pathway"	Fen
20110800_E1D_22	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__UBA7541;s__UBA7541 sp003154775	94.66	1.71	"CAZy-Amorphous_Cellulose,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Polyphenolics,CAZy-Starch,CAZy-Xyloglucan,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,galacturonic_acid_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,sucrose_degradation-all"	Fen
20110800_E1D_3	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1137;s__Fen-1137 sp003157775	86.45	1.29	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Beta_mannan,CAZy-Fucose_Cleavage,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,Calvin_Benson-all,acetogenesis-simple,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,nitrogen_redox-nitric_oxide_oxidation,nitrogen_redox-nitrogen_fixation,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,xylose_degradation-isomerase_pathway"	Fen
20110800_E1D_6	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__Fen-1039;s__Fen-1039 sp003165675	91.2	0.08	"CAZy-Amorphous_Cellulose,acetogenesis-simple,galactose_degradation-all,glycerol_degradation-glycerol,lactate_fermentation-all,lactose_degradation-all,mannose_degradation-all,xylose_degradation-isomerase_pathway"	Fen
20110800_E3D_13	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Fen-1364;g__Fen-1364;s__Fen-1364 sp003170115	91.6	1.2	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,Calvin_Benson-all,acetogenesis-simple,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,mannose_degradation-all,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,xylose_degradation-isomerase_pathway"	Fen
20110800_E3D_9	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Fen-455;s__Fen-455 sp003170375	90.93	2.14	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Starch,CAZy-Xyloglucan,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Fen
20110800_S1D_5	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Fen-455;s__Fen-455 sp003166375	90.9	2.14	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Starch,fructose_degradation-all,galactose_degradation-all,glycerol_degradation-glycerol,glycerol_degradation-glycerone,lactate_fermentation-all,propionate_fermentation-succinate_pathway,reductive_glycine-acetyl_pathway,reductive_glycine-serine_pathway,sucrose_degradation-all,sulfur_redox-assimilatory_sulfate_reduction,xylose_degradation-isomerase_pathway"	Fen
20111000_E3D_3	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__Fen-1064;s__	73.59	0.99	"CAZy-Fucose_Cleavage,fructose_degradation-all,lactose_degradation-all,xylose_degradation-isomerase_pathway"	Fen
20120600_E1D_31	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1137;s__Fen-1137 sp003158735	83.73	1.94	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Beta_galactan__pectic_galactan_,CAZy-Beta_mannan,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Rhamnose_cleavage,CAZy-Starch,CAZy-Xylans,CAZy-Xyloglucan,acetogenesis-simple,chemotaxis-all,flagella_assembly-all,fructose_degradation-all,galactose_degradation-all,lactose_degradation-all,mannose_degradation-all,nitrogen_redox-nitrogen_fixation,sulfur_redox-assimilatory_sulfate_reduction"	Fen
20120600_E1D_37	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Fen-1467;s__	86.85	2.32	"CAZy-Amorphous_Cellulose,CAZy-Arabinan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Fucose_Cleavage,CAZy-Pectin,CAZy-Sulf_Polysachharides,CAZy-Xylans,CAZy-Xyloglucan,acetogenesis-simple,chemotaxis-all,flagella_assembly-all,glycerol_degradation-glycerol,lactose_degradation-all,sucrose_degradation-all,xylose_degradation-isomerase_pathway"	Fen
20120600_E1D_51	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__Fen-1039;s__	90.96	0.92	"CAZy-Alpha_mannan,CAZy-Arabinose_cleavage,CAZy-Chitin,CAZy-Polyphenolics,chemotaxis-all,fructose_degradation-all,galactose_degradation-all,mannose_degradation-all,nitrogen_redox-nitric_oxide_oxidation,phosphorous_redox-assimilatory_phosphonate_oxidation,propionate_fermentation-succinate_pathway,xylose_degradation-isomerase_pathway"	Fen
20120600_E1D_52	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__Fen-1039;s__	74.75	0.99	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Xylans,chemotaxis-all,flagella_assembly-all,galactose_degradation-all,glycerol_degradation-glycerol,lactose_degradation-all,mannose_degradation-all,phosphorous_redox-assimilatory_phosphonate_oxidation,xylose_degradation-isomerase_pathway"	Fen
20120600_E1D_53	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA6906;g__Fen-1260;s__Fen-1260 sp003162635	97.27	2.46	"CAZy-Amorphous_Cellulose,CAZy-Chitin,CAZy-Mixed_Linkage_glucans,CAZy-Pectin,CAZy-Starch,CAZy-Xyloglucan,acetogenesis-simple,galactose_degradation-all,lactate_fermentation-all,lactose_degradation-all,sucrose_degradation-all,xylose_degradation-isomerase_pathway"	Fen
