Protein Name	EC#	Reference	Organism	GenBank	Uniprot	PDB/3D	Taxonomy	Nrow_before_sepGenbank	FamilyName
dextranase 1 (Dex1)	3.2.1.11	pubmed	Arthrobacter globiformis T-3044	BAA13596.1	P70744		Bacteria	13	GH49
dextranase (Dex)	3.2.1.11	pubmed	Arthrobacter sp. CB-8	BAA00708.1	P39652		Bacteria	13	GH49
dextranase	3.2.1.11	pubmed	Arthrobacter sp. KQ11 / Arthrobacter oxydans KQ11	AHZ97853.1	A0A059VLI3		Bacteria	13	GH49
dextran 1,6-α-isomaltotriosidase (DexT)	3.2.1.95	pubmed	Brevibacterium fuscum var. dextranlyticum	BAA76382.1	Q9WXI3		Bacteria	13	GH49
sulfated arabinan endo-1,4-β-L-arabinanase (BACPLE_00984)	3.2.1.-	pubmed	Phocaeicola plebeius DSM 17135	EDY96541.1	B5CW94		Bacteria	13	GH49
sulfated arabinan endo-1,4-β-L-arabinanase (BACPLE_01008)	3.2.1.-	pubmed	Phocaeicola plebeius DSM 17135	EDY96565.1	B5CWB8		Bacteria	13	GH49
dextranase (Dex2;AoD2;AODex)	3.2.1.11	doi	Pseudarthrobacter oxydans	AAX09503.1	A9UKG4		Bacteria	13	GH49
dextranase (Dex2;AoD2;AODex)	3.2.1.11	doi	Pseudarthrobacter oxydans	ABF74611.1	A9UKG4		Bacteria	13	GH49
Clocl_2445	3.2.1.55		Acetivibrio clariflavus DSM 19732	AEV69020.1			Bacteria	101	GH51
α-L-arabinofuranosidase (AmAraf51; EFD62_11990)	3.2.1.55	pubmed	Acetivibrio mesophilus N2K1	RXE58498.1			Bacteria	101	GH51
α-L-arabinofuranosidase 51A (Araf51;CtAraf51A;Cthe_2548) (Araf51A)	3.2.1.55	pubmed	Acetivibrio thermocellus ATCC 27405	ABN53749.1	A3DIH0	2C7F[A,B,C,D,E,F]2C8N[A,B,C,D,E,F]5O7Z[A,B,C,D,E,F]5O80[A,B,C,D,E,F]5O81[A,B,C,D,E,F]5O82[A,B,C,D,E,F]	Bacteria	101	GH51
α-L-arabinofuranosidase 51A (Araf51;CtAraf51A;Cthe_2548) (Araf51A)	3.2.1.55	pubmed	Acetivibrio thermocellus ATCC 27405	ZP_00503782.1	A3DIH0	2C7F[A,B,C,D,E,F]2C8N[A,B,C,D,E,F]5O7Z[A,B,C,D,E,F]5O80[A,B,C,D,E,F]5O81[A,B,C,D,E,F]5O82[A,B,C,D,E,F]	Bacteria	101	GH51
Clo1313_0133	3.2.1.55	pubmed	Acetivibrio thermocellus DSM 1313	ADU73229.1			Bacteria	101	GH51
cellulase / xylanase (CelB;Aaci_0048)	3.2.1.43.2.1.8	pubmedpubmed	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	ACV57112.1	C8WQ08Q84E48		Bacteria	101	GH51
cellulase / xylanase (CelB;Aaci_0048)	3.2.1.43.2.1.8	pubmedpubmed	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	CAD86595.1	C8WQ08Q84E48		Bacteria	101	GH51
α-L-arabinofuranosidase (Ac-Abf51A) (Abf51A)	3.2.1.55	pubmed	Alicyclobacillus sp. A4	ALK02878.1	A0A0P0ISK8		Bacteria	101	GH51
β-1,4-glucanase (CelA4) (acidic)	3.2.1.4	pubmed	Alicyclobacillus sp. A4	ADI82825.1	D7PI32		Bacteria	101	GH51
endoglucanase (CelVA)	3.2.1.4	pubmed	Alicyclobacillus vulcanalis DSM 16176	CEH24710.1	A0A0F7TAS1		Bacteria	101	GH51
α-L-arabinofuranosidase (Abf; AbfAC26Sari)	3.2.1.55	pubmed	Anoxybacillus kestanbolensis AC26SARI	ACB54691.1	B2D088		Bacteria	101	GH51
α-L-arabinofuranosidase (AraB)	3.2.1.55	doi	Bacillus pumilus ARA	ABC55452.1	Q2MJP5		Bacteria	101	GH51
α-L-arabinofuranosidase I (ArfA)	3.2.1.55	pubmed	Bacillus pumilus PS213	CAJ77816.1	Q2HPJ2		Bacteria	101	GH51
α-L-arabinofuranosidase 1 (AbfA;BSU28720)	3.2.1.55	pubmed	Bacillus subtilis subsp. subtilis str. 168	CAA99595.1	A0A6M4JKK3P94531		Bacteria	101	GH51
α-L-arabinofuranosidase 1 (AbfA;BSU28720)	3.2.1.55	pubmed	Bacillus subtilis subsp. subtilis str. 168	AIY94201.1	A0A6M4JKK3P94531		Bacteria	101	GH51
