seqname,tax_id
UniRef90_A0A1G1I455,rdsrB
PMBV01_ENA|PMBV01000138|PMBV01000138.1_5,rdsrB
UniRef90_UPI00102C1330,Alphaproteobacteria_2
Magnetococcus_marinus_2157,Alphaproteobacteria_2
UniRef90_A0A1S7LHP9,Alphaproteobacteria_2
UniRef90_A0A1Y2K643,Alphaproteobacteria_2
UniRef90_UPI000A19E1F4,Alphaproteobacteria_2
UniRef90_A0A2M8DKS2,Chlorobi
UniRef90_A0A7C2PGD4,Chlorobi
UniRef90_A0A381Q807,Chlorobi
UniRef90_A0A520PL92,Chlorobi
UniRef90_L7RSG4,Chlorobi
UniRef90_A0A1B1PZA9,Chlorobi
UniRef90_A0A8I2BHK5,Chlorobi
Chlorobaculum_tepidum_0853,Chlorobi
UniRef90_B8PTA0,Chlorobi
UniRef90_A0A101JUE4,Chlorobi
UniRef90_A0A7Y0THN9,Chlorobi
UniRef90_A0A533TLE3,Chlorobi
Chlorobium_phaeobacteroides_0129,Chlorobi
UniRef90_B4SE96,Chlorobi
UniRef90_A0A2E7ZM49,Chlorobi
UniRef90_A0A2D5XIH4,Chlorobi
UniRef90_B3ELT2,Chlorobi
UniRef90_A0A0F9E9I0,Chlorobi
UniRef90_A0A7C1N8Q9,Chlorobi
UniRef90_A0A4U0ZII1,Chlorobi
UniRef90_UPI0013CFD27A,Chlorobi
UniRef90_A0A1E7GTQ4,Chlorobi
UniRef90_A0A7W0EHN2,Chlorobi
UniRef90_A0A6L4AN12,Chlorobi
UniRef90_K1XZE9,Chlorobi
UniRef90_A0A1J5BM30,Gammaproteobacteria_2
UniRef90_UPI001C22D2E3,Gammaproteobacteria_2
UniRef90_A0A7C4IAT1,Gammaproteobacteria_2
UniRef90_A0A7V2H0B6,Gammaproteobacteria_2
UniRef90_A0A1D2SM51,Gammaproteobacteria_2
UniRef90_A0A1J5RLV0,Gammaproteobacteria_2
UniRef90_A0A3N5GWM4,Gammaproteobacteria_2
UniRef90_A0A0A1H426,Gammaproteobacteria_2
UniRef90_A0A5C7JLE2,Gammaproteobacteria_2
UniRef90_A0A2H4T9C4,Gammaproteobacteria_2
UniRef90_A0A2H4T9C5,Gammaproteobacteria_2
UniRef90_A0A2U1RRR4,Gammaproteobacteria_2
UniRef90_A0A7Y8KZL0,Gammaproteobacteria_2
UniRef90_A0A7V7WV42,Gammaproteobacteria_2
UniRef90_A0A847VFM3,Gammaproteobacteria_2
20120700_P3D_19_c_000000088913_15,Gammaproteobacteria_2
UniRef90_A0A1F4DFB5,Gammaproteobacteria_2
20120700_P3D_131_c_000000020010_25,Gammaproteobacteria_2
20120700_P3D_139_c_000000083625_22,Gammaproteobacteria_2
20120700_E3M_1_c_000000000616_2,Gammaproteobacteria_2
3300037076_9_Ga0395910_002074_8,Gammaproteobacteria_2
UniRef90_A0A7Y0C5V9,Gammaproteobacteria_2
UniRef90_A0A2N2TI92,Gammaproteobacteria_2
UniRef90_A0A7V8BYC5,Gammaproteobacteria_2
UniRef90_A0A1G3HSY0,Gammaproteobacteria_2
UniRef90_W0SE78,Gammaproteobacteria_2
UniRef90_A0A7Y8JDU3,Gammaproteobacteria_2
UniRef90_A0A838LZC9,Gammaproteobacteria_2
20120600_E2D_49_c_000000001241_7,Gammaproteobacteria_2
20120600_E3D_37_c_000000000011_35,Gammaproteobacteria_2
20120500_P17_6_c_000000000976_5,Gammaproteobacteria_2
20111000_P3M_27_c_000000010139_16,Gammaproteobacteria_2
UniRef90_A0A521XWD2,Gammaproteobacteria_2
UniRef90_A0A6N9SLP4,Gammaproteobacteria_2
UniRef90_A0A849I7B4,Gammaproteobacteria_2
UniRef90_A0A258ZHT9,Gammaproteobacteria_2
UniRef90_A0A3N5GI97,Gammaproteobacteria_2
UniRef90_A0A2H4T8Z9,Gammaproteobacteria_2
UniRef90_A0A5C9BF17,Gammaproteobacteria_2
UniRef90_A0A1G0EJ72,Gammaproteobacteria_2
UniRef90_A0A2Z6GCU4,Gammaproteobacteria_2
20120700_P3D_64_c_000000080916_49,Gammaproteobacteria_2
UniRef90_A0A139BVE1,Gammaproteobacteria_2
UniRef90_A0A1J5TJI3,Gammaproteobacteria_2
20120800_E1X_14_c_000000001349_1,Gammaproteobacteria_2
3300037361_7_Ga0310743_0001192_13,Gammaproteobacteria_2
UniRef90_A0A3D0LX89,Betaproteobacteria
UniRef90_K6UH91,Betaproteobacteria
UniRef90_A0A658BR81,Betaproteobacteria
UniRef90_A0A6F8VGK7,Betaproteobacteria
UniRef90_E6QSS8,Betaproteobacteria
UniRef90_A0A521VEM2,Betaproteobacteria
UniRef90_A0A1F4CV03,Betaproteobacteria
Thiobacillus_denitrificans_2484,Betaproteobacteria
UniRef90_A0A5C7RRV9,Betaproteobacteria
UniRef90_B8PT61,Betaproteobacteria
UniRef90_A0A4R1BEU0,Betaproteobacteria
UniRef90_A0A1Q4GRJ2,Betaproteobacteria
UniRef90_A0A2M7MZ55,Betaproteobacteria
UniRef90_A0A2Z3R6L5,rdsrB
UniRef90_A0A2D6TA16,Alphaproteobacteria
UniRef90_A0A2D6FZY6,Alphaproteobacteria
UniRef90_A0A2E9Y2S2,Alphaproteobacteria
UniRef90_A0A7C1TVD5,Alphaproteobacteria
UniRef90_A0A832A8K2,Alphaproteobacteria
UniRef90_A0A2N6BJL5,Alphaproteobacteria
UniRef90_A0A7V5UPS8,Alphaproteobacteria
UniRef90_W6KAS1,Alphaproteobacteria
UniRef90_A0A2G2R3D4,Alphaproteobacteria
UniRef90_A0A1E5Q9V3,Alphaproteobacteria
UniRef90_A0A4R3J3C1,Alphaproteobacteria
UniRef90_A0A2D6JTM1,Alphaproteobacteria
UniRef90_A0A2E5MYF6,Alphaproteobacteria
UniRef90_A0A7V2AK47,Alphaproteobacteria
UniRef90_A0A3A4K5R6,Alphaproteobacteria
UniRef90_A0A0F2RAK1,Alphaproteobacteria
Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.56_97.76_1.08_scaffold_15491_c1_4,Alphaproteobacteria
UniRef90_A0A1H6HY20,Alphaproteobacteria
UniRef90_UPI00041CD55A,Alphaproteobacteria
UniRef90_A0A1G7W0U9,Alphaproteobacteria
UniRef90_A0A522V749,Alphaproteobacteria
UniRef90_A0A484HDB2,Alphaproteobacteria
UniRef90_B8PTB2,Alphaproteobacteria
UniRef90_A0A0U5MPP8,Alphaproteobacteria
UniRef90_A0A522WZ21,Alphaproteobacteria
UniRef90_A0A6J4G4N7,Alphaproteobacteria
UniRef90_A4TYV0,Alphaproteobacteria
UniRef90_A0A178M4S7,Alphaproteobacteria
UniRef90_A0A6J4FMA8,Alphaproteobacteria
UniRef90_A0A661G6H0,Alphaproteobacteria
UniRef90_A0A7Y2XRJ6,Alphaproteobacteria
UniRef90_A0A3M1MEI4,Alphaproteobacteria
UniRef90_A0A7C4A315,Alphaproteobacteria
UniRef90_A0A7C6FJR2,Alphaproteobacteria
UniRef90_UPI0010F5D295,Alphaproteobacteria
Profundibacter_amoris_04760,Alphaproteobacteria
UniRef90_A0A2A4N8C8,Alphaproteobacteria
UniRef90_A0A2A4ZHE8,Alphaproteobacteria
UniRef90_A0A4Q3ZGB0,Alphaproteobacteria
UniRef90_J7F6W1,Alphaproteobacteria
UniRef90_A0A2A5F4H1,Alphaproteobacteria
UniRef90_A0A355WGU8,Alphaproteobacteria
UniRef90_A0A2G2BBN6,Alphaproteobacteria
UniRef90_A0A3B0TJY8,Alphaproteobacteria
UniRef90_A0A2N6B376,Alphaproteobacteria
UniRef90_A0A7C3G4M3,Alphaproteobacteria
UniRef90_A0A3B0SA30,Alphaproteobacteria
UniRef90_A0A2H6IU26,Alphaproteobacteria
UniRef90_A0A2S6UUC7,Alphaproteobacteria
UniRef90_A0A363TNX0,Alphaproteobacteria
UniRef90_A0A6N6SY58,Alphaproteobacteria
UniRef90_A0A847JGC6,Alphaproteobacteria
UniRef90_A0A6N8DKJ2,Alphaproteobacteria
20120600_E1D_34_c_000000007185_11,Alphaproteobacteria
20120700_S1D_31_c_000000062853_37,Alphaproteobacteria
PMBZ01_ENA|PMBZ01000247|PMBZ01000247.1_22,Alphaproteobacteria
UniRef90_E3HZD2,Alphaproteobacteria
UniRef90_A0A5M6I2J0,Alphaproteobacteria
UniRef90_A0A8F7ZGA0,Alphaproteobacteria
UniRef90_A0A3N1Y020,Gammaproteobacteria
UniRef90_A0A6M8WMQ6,Gammaproteobacteria
UniRef90_A0A369CD95,Gammaproteobacteria
UniRef90_A0A1G5QDM3,Gammaproteobacteria
UniRef90_A0A6N0HWL2,Gammaproteobacteria
UniRef90_A0A076L1P5,Gammaproteobacteria
UniRef90_J7F544,Gammaproteobacteria
UniRef90_G2FHM6,Gammaproteobacteria
UniRef90_A0A370DRR3,Gammaproteobacteria
UniRef90_A0A657Q793,Gammaproteobacteria
UniRef90_A0A1V3NCP6,Gammaproteobacteria
UniRef90_L0DV13,Gammaproteobacteria
UniRef90_A0A076L1D4,Gammaproteobacteria
UniRef90_A0A3B1B3W2,Gammaproteobacteria
UniRef90_A0A2E0WSJ5,Gammaproteobacteria
UniRef90_A0A426QH22,Gammaproteobacteria
UniRef90_T1CCZ2,Gammaproteobacteria
UniRef90_A0A257SRM6,Gammaproteobacteria
UniRef90_A0A7C0VV82,Gammaproteobacteria
UniRef90_A0A1B4VAC2,Gammaproteobacteria
UniRef90_A0A176S3T9,Gammaproteobacteria
UniRef90_A0A1B4XCP6,Gammaproteobacteria
UniRef90_A0A522M043,Gammaproteobacteria
UniRef90_A0A1F6TNZ0,Gammaproteobacteria
UniRef90_A0A1F6TR84,Gammaproteobacteria
UniRef90_A0A1F6T2K8,Gammaproteobacteria
UniRef90_A0A7V2WZN2,Gammaproteobacteria
UniRef90_Q0A837,Gammaproteobacteria
UniRef90_A0A0X8XAB5,Gammaproteobacteria
UniRef90_A1WYF4,Gammaproteobacteria
