representative	genome
20110600_P1M_11	20110600_P1M_11
20130700_C1D_19	20130700_C1D_19
3300037342_8	3300037342_8
PMCN01	PMCN01
PLYR01	PLYR01
20130700_C1D_6	20130700_C1D_6
20130700_C1D_5	20130700_C1D_5
20111000_E3D_9	20111000_E3D_9
PMBA01	PMBA01
3300037231_14	3300037231_14
20120600_E2D_8	20120600_E2D_8
20120800_E1X_14	20120800_E1X_14
20120800_E1X_12	20120800_E1X_12
20110600_P1D_5	20110600_P1D_5
20130700_C1X_17	20130700_C1X_17
20120700_P3D_58	20120700_P3D_58
20110800_E2D_12	20110800_E2D_12
20111000_P3M_40	20111000_P3M_40
3300038461_16	3300038461_16
20140700_S31_3	20140700_S31_3
20160700_P15_2	20160700_P15_2
20120700_P3D_27	20120700_P3D_27
20120700_S1D_45	20120700_S1D_45
3300037231_17	3300037231_17
20120700_P3D_85	20120700_P3D_85
3300037104_21	3300037104_21
20170700_S31_5	20170700_S31_5
20111000_E3D_3	20111000_E3D_3
20110800_E2D_26	20110800_E2D_26
20120700_P3D_67	20120700_P3D_67
20120700_P3D_130	20120700_P3D_130
20120800_E2D_13	20120800_E2D_13
20120700_P3D_84	20120700_P3D_84
20150700_P31_13	20150700_P31_13
PLZB01	PLZB01
20111000_S3S_11	20111000_S3S_11
20110800_P1M_19	20110800_P1M_19
20120500_P19_4	20120500_P19_4
20110800_S1S_3	20110800_S1S_3
3300037156_13	3300037156_13
20120600_E2D_57	20120600_E2D_57
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.218_92.57_6.03	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.218_92.57_6.03
3300037156_12	3300037156_12
Fen.Labelled.R1.T3.F1.trimmomatic.metaspades_bin.70_79.05_1.45	Fen.Labelled.R1.T3.F1.trimmomatic.metaspades_bin.70_79.05_1.45
20150700_S25_3	20150700_S25_3
PLXW01	PLXW01
20170700_S35_14	20170700_S35_14
20150700_P14_4	20150700_P14_4
20120700_P3D_83	20120700_P3D_83
20130700_C1D_10	20130700_C1D_10
20110700_P2S_5	20110700_P2S_5
20120700_P3D_23	20120700_P3D_23
20110600_P1D_12	20110600_P1D_12
20110600_P1D_1	20110600_P1D_1
20120600_E3D_18	20120600_E3D_18
20170700_S24_18	20170700_S24_18
20150700_P15_16	20150700_P15_16
20120700_P3D_46	20120700_P3D_46
20130700_C2Y_6	20130700_C2Y_6
PMBP01	PMBP01
20120700_P3D_115	20120700_P3D_115
20120800_E2D_22	20120800_E2D_22
20120500_P13_10	20120500_P13_10
20170700_S34_10	20170700_S34_10
20120700_P3D_82	20120700_P3D_82
3300031525_28	3300031525_28
3300037147_7	3300037147_7
20120700_P3D_88	20120700_P3D_88
20120700_P3D_121	20120700_P3D_121
PLSW01	PLSW01
20160700_S13_19	20160700_S13_19
20130700_S2S_12	20130700_S2S_12
20110800_P1D_20	20110800_P1D_20
Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.128_96.67_1.72	Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.128_96.67_1.72
20120700_P3D_41	20120700_P3D_41
20111000_P3M_8	20111000_P3M_8
3300037110_7	3300037110_7
20110800_S3S_8	20110800_S3S_8
20150700_P24_8	20150700_P24_8
20130700_E2X_2	20130700_E2X_2
Fen.Unlabelled.R1.T3.F1.trimmomatic.metaspades_bin.81_70.78_1.12	Fen.Unlabelled.R1.T3.F1.trimmomatic.metaspades_bin.81_70.78_1.12
3300037239_6	3300037239_6
20120700_S1D_64	20120700_S1D_64
20150700_E15_20	20150700_E15_20
20140700_E15_2	20140700_E15_2
PMBG01	PMBG01
20130700_E3Z_10	20130700_E3Z_10
20110600_P1M_8	20110600_P1M_8
20110600_P3S_11	20110600_P3S_11
3300037226_12	3300037226_12
Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.77_87.82_4.39	Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.77_87.82_4.39
20120700_P3D_110	20120700_P3D_110
20150700_E15_13	20150700_E15_13
Fen.Unlabelled.R1.T2.F1.JGI.BFC.metaspades_bin.79_78.95_1.72	Fen.Unlabelled.R1.T2.F1.JGI.BFC.metaspades_bin.79_78.95_1.72
PMIU01	PMIU01
20110800_E1D_4	20110800_E1D_4
3300037196_14	3300037196_14
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.279_93.16_1.71	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.279_93.16_1.71
3300037231_15	3300037231_15
PLZJ01	PLZJ01
20110600_P3S_9	20110600_P3S_9
20110800_P2D_10	20110800_P2D_10
20120500_P19_7	20120500_P19_7
Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.132_81.32_1.30	Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.132_81.32_1.30
20120700_P3D_97	20120700_P3D_97
20110600_P3S_5	20110600_P3S_5
Bog.None.R1.T0.trimmomatic.megahit_bin.390_88.96_3.68	Bog.None.R1.T0.trimmomatic.megahit_bin.390_88.96_3.68
20170700_P34_5	20170700_P34_5
20120700_S1D_73	20120700_S1D_73
3300037134_11	3300037134_11
Bog.None.R1.T0.trimmomatic.megahit_bin.338_87.35_4.23	Bog.None.R1.T0.trimmomatic.megahit_bin.338_87.35_4.23
20170700_P24_2	20170700_P24_2
3300037140_10	3300037140_10
20120700_P3D_124	20120700_P3D_124
20130700_E1Y_1	20130700_E1Y_1
PLYC01	PLYC01
20110800_E3M_2	20110800_E3M_2
20111000_S3S_7	20111000_S3S_7
20120600_E3D_25	20120600_E3D_25
