seqname,tax_id
UniRef90_D9YK25,amoA_Archaea
UniRef90_K4FAP7,amoA_Archaea
UniRef90_A0A2I7UGI1,amoA_Archaea
UniRef90_A0A3M1LL66,amoA_Archaea
UniRef90_K0A1G7,amoA_Archaea
UniRef90_A0A2E4JRD4,amoA_Archaea
UniRef90_A0A7J2YBH4,amoA_Archaea
UniRef90_A0A068FTH4,amoA_Archaea
UniRef90_I7D791,amoA_Archaea
UniRef90_A0A146L2R5,amoA_Archaea
UniRef90_I7CXU0,amoA_Archaea
UniRef90_A0A1Z1N0G6,amoA_Archaea
UniRef90_I7C0F6,amoA_Archaea
UniRef90_D9IV76,amoA_Archaea
UniRef90_D9IV68,amoA_Archaea
UniRef90_K4HTS4,amoA_Archaea
UniRef90_M4PGI8,amoA_Archaea
UniRef90_A0A1Q2TS27,amoA_Archaea
UniRef90_A0A1Q2TS34,amoA_Archaea
UniRef90_I7CA93,amoA_Archaea
UniRef90_D6Q1G6,amoA_Archaea
UniRef90_I7DAQ3,amoA_Archaea
UniRef90_I7CXF7,amoA_Archaea
UniRef90_H8ZZ73,amoA_Archaea
UniRef90_H8ZZ74,amoA_Archaea
UniRef90_E2FKT8,amoA_Archaea
UniRef90_A0A8F4N0L8,amoA_Archaea
UniRef90_A0A059TY23,amoA_Archaea
UniRef90_D1MB45,amoA_Archaea
UniRef90_T1WQS7,amoA_Archaea
UniRef90_A0A2S1M481,amoA_Archaea
UniRef90_D6Q1G4,amoA_Archaea
UniRef90_A0A0X8HHV7,amoA_Archaea
UniRef90_A0A1P8LI13,amoA_Archaea
UniRef90_A0A345K419,amoA_Archaea
UniRef90_A0A2S1M444,amoA_Archaea
UniRef90_G0Z5G1,amoA_Archaea
UniRef90_G8GSY6,amoA_Archaea
UniRef90_A0A0K0NU65,amoA_Archaea
UniRef90_V5UM02,amoA_Archaea
UniRef90_D0UHS8,amoA_Archaea
UniRef90_A0A0H5AT42,amoA_Archaea
UniRef90_B5AKM0,amoA_Archaea
UniRef90_H9U0D4,amoA_Archaea
UniRef90_B5AMV3,amoA_Archaea
UniRef90_V5W8I3,amoA_Archaea
UniRef90_A0A291L0P4,amoA_Archaea
UniRef90_A0A1Q2TS28,amoA_Archaea
UniRef90_A0A2S1M456,amoA_Archaea
UniRef90_A0A068J4N6,amoA_Archaea
UniRef90_F2XXK7,amoA_Archaea
UniRef90_I7ICJ7,amoA_Archaea
UniRef90_A9Q2E3,amoA_Archaea
UniRef90_E5FG12,amoA_Archaea
UniRef90_S5RJI5,amoA_Archaea
UniRef90_A0A1Q2TS25,amoA_Archaea
UniRef90_A0A7T1WX74,amoA_Archaea
UniRef90_A0A0S1TJZ7,amoA_Archaea
UniRef90_E1CQ81,amoA_Archaea
UniRef90_A0A068FPH8,amoA_Archaea
UniRef90_A9Q2F6,amoA_Archaea
UniRef90_A0A1P8LI17,amoA_Archaea
UniRef90_B0Z0H0,amoA_Archaea
UniRef90_K7T4R7,amoA_Archaea
UniRef90_A0A1D9IT18,amoA_Archaea
UniRef90_W8PTZ6,amoA_Archaea
UniRef90_A0A1Q2TS46,amoA_Archaea
UniRef90_F8UAH9,amoA_Archaea
UniRef90_A0A0S1U2M3,amoA_Archaea
UniRef90_D1MB36,amoA_Archaea
UniRef90_A0A0S1U142,amoA_Archaea
UniRef90_C9EAF8,amoA_Archaea
UniRef90_G8B335,amoA_Archaea
UniRef90_M4PKL8,amoA_Archaea
UniRef90_B5AKI6,amoA_Archaea
UniRef90_A0A1Q2TS26,amoA_Archaea
UniRef90_B5AKI3,amoA_Archaea
UniRef90_A0A146KVN3,amoA_Archaea
UniRef90_B5T8S9,amoA_Archaea
UniRef90_A0A0S1U1C3,amoA_Archaea
UniRef90_A0A8F4RT23,amoA_Archaea
UniRef90_C9EB12,amoA_Archaea
UniRef90_A0A650A8X9,amoA_Archaea
UniRef90_C9EAZ2,amoA_Archaea
UniRef90_A0A0S1U0X0,amoA_Archaea
UniRef90_A0A0S1U0X2,amoA_Archaea
UniRef90_A0A0S1U2D4,amoA_Archaea
UniRef90_A0A0S1U2F7,amoA_Archaea
UniRef90_U4PSF6,amoA_Archaea
UniRef90_A0A0S1U1C1,amoA_Archaea
UniRef90_A0A0S1U2L3,amoA_Archaea
UniRef90_A9Q2C7,amoA_Archaea
UniRef90_A0A2S1M435,amoA_Archaea
UniRef90_A9Q6G3,amoA_Archaea
UniRef90_V5Y096,amoA_Archaea
UniRef90_A9Q2F8,amoA_Archaea
