user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
20100900_E1D_11	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.65	0.94	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.65	0.94	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 90.48, 0.84; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 88.08, 0.83; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 87.39, 0.66; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.03, 0.59; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.0, 0.35	72.57	11	N/A	N/A
20100900_E1D_17	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	N/A	N/A	N/A	N/A	N/A	GCA_003157895.1	95.0	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp003157895	86.1	0.84	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002502245.1, s__Methanoregula sp002502245, 95.0, 83.84, 0.69; GCA_002497485.1, s__Methanoregula sp002497485, 95.0, 82.6, 0.53; GCA_002067035.1, s__Methanoregula sp002067035, 95.0, 81.13, 0.63; GCA_013331015.1, s__Methanoregula sp11803u, 95.0, 79.97, 0.29; GCA_002839605.1, s__Methanoregula sp002839605, 95.0, 79.92, 0.48; GCF_000327485.1, s__Methanoregula formicica, 95.0, 79.48, 0.47; GCA_002839675.1, s__Methanoregula sp002839675, 95.0, 79.36, 0.39; GCA_012798365.1, s__Methanoregula sp012798365, 95.0, 79.2, 0.38; GCA_903832665.1, s__Methanoregula sp903832665, 95.0, 78.98, 0.38; GCA_002835825.1, s__Methanoregula sp002835825, 95.0, 78.92, 0.32; GCA_002508495.1, s__Methanoregula sp002508495, 95.0, 78.81, 0.32; GCA_003141335.1, s__Methanoregula sp003141335, 95.0, 78.69, 0.34; GCA_003170075.1, s__Methanoregula sp003170075, 95.0, 78.27, 0.31; GCA_002495055.1, s__Methanoregula sp002495055, 95.0, 78.26, 0.25; GCA_002502735.1, s__Methanoregula sp002502735, 95.0, 78.24, 0.31; GCA_015660885.1, s__Methanoregula sp015660885, 95.0, 77.99, 0.3; GCF_000017625.1, s__Methanoregula boonei, 95.0, 77.91, 0.28; GCA_003136075.1, s__Methanoregula sp003136075, 95.0, 77.88, 0.27; GCA_003154335.1, s__Methanoregula sp003154335, 95.0, 77.72, 0.22; GCA_002495065.1, s__Methanoregula sp002495065, 95.0, 77.64, 0.21	60.47	11	0.9750991092918788	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
20100900_E1S_1	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.68	0.96	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.68	0.96	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 91.65, 0.92; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 89.18, 0.91; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 88.5, 0.64; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.36, 0.63; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.12, 0.35	85.64	11	N/A	N/A
20100900_E2D_3	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.82	0.93	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.82	0.93	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 91.51, 0.84; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 89.08, 0.85; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 88.78, 0.56; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.49, 0.59; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.2, 0.35	97.85	11	N/A	N/A
20100900_E3D_15	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Fen-7;s__Fen-7 sp003162615	GCA_003162615.1	95.0	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Fen-7;s__Fen-7 sp003162615	99.53	0.81	GCA_003162615.1	95.0	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Fen-7;s__Fen-7 sp003162615	99.53	0.81	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	95.78	11	N/A	N/A
20100900_E3D_21	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp003162115	GCA_003162115.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp003162115	99.59	0.88	GCA_003162115.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__Methanobacterium_B sp003162115	99.59	0.88	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_B;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003162655.1, s__Methanobacterium_B sp003162655, 95.0, 93.44, 0.84; GCA_003151535.1, s__Methanobacterium_B sp003151535, 95.0, 81.43, 0.67; GCA_003158115.1, s__Methanobacterium_B sp003158115, 95.0, 81.13, 0.67; GCA_003164415.1, s__Methanobacterium_B sp003164415, 95.0, 80.04, 0.54; GCF_000744455.1, s__Methanobacterium_B sp000744455, 95.0, 79.86, 0.57; GCA_009712615.1, s__Methanobacterium_B sp009712615, 95.0, 78.24, 0.25; GCF_000191585.1, s__Methanobacterium_B lacus, 95.0, 78.09, 0.3	60.42	11	N/A	N/A
20100900_E3D_5	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp003161815	GCA_003161815.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp003161815	99.37	0.69	GCA_003161815.1	95.0	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp003161815	99.37	0.69	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003166335.1, s__Methanobacterium_A sp003166335, 95.0, 84.79, 0.81; GCA_015661405.1, s__Methanobacterium_A sp015661405, 95.0, 83.57, 0.79; GCA_002494495.1, s__Methanobacterium_A sp002494495, 95.0, 77.25, 0.1; GCA_002067565.1, s__Methanobacterium_A sp002067565, 95.0, 77.23, 0.15; GCA_018263005.1, s__Methanobacterium_A sp018263005, 95.0, 77.15, 0.17; GCA_017883605.1, s__Methanobacterium_A sp017883605, 95.0, 77.05, 0.18; GCA_002067325.1, s__Methanobacterium_A sp002067325, 95.0, 77.03, 0.12; GCA_002495625.1, s__Methanobacterium_A sp002495625, 95.0, 76.8, 0.13; GCA_011620845.1, s__Methanobacterium_A sp011620845, 95.0, 76.72, 0.12; GCA_002502855.1, s__Methanobacterium_A sp002502855, 95.0, 76.72, 0.11	96.96	11	N/A	N/A
20100900_E3D_6	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.85	0.91	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.85	0.91	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 91.45, 0.83; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 88.95, 0.84; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 88.57, 0.56; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.58, 0.58; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.31, 0.33	94.72	11	N/A	N/A
20110600_E1D_2	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.62	0.95	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.62	0.95	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 91.69, 0.9; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 89.46, 0.92; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 88.57, 0.64; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.19, 0.62; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 78.59, 0.36	83.66	11	N/A	N/A
20110600_E2D_6	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.73	0.94	GCA_003162175.1	95.0	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003162175	99.73	0.94	d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015661395.1, s__Bog-38 sp015661395, 95.0, 91.34, 0.85; GCA_003139855.1, s__Bog-38 sp003139855, 96.4034, 88.98, 0.87; GCA_003158275.1, s__Bog-38 sp003158275, 96.4034, 88.32, 0.58; GCA_015660915.1, s__Bog-38 sp015660915, 95.0, 80.53, 0.62; GCA_003170935.1, s__Bog-38 sp003170935, 95.0, 79.29, 0.33	94.72	11	N/A	N/A
