Protein Name	EC#	Reference	Organism	GenBank	Uniprot	PDB/3D	Taxonomy	Nrow_before_sepGenbank	FamilyName
endo-β-1,4-galactanase (IaGal;Igag_0688)	3.2.1.89	pubmed	Ignisphaera aggregans DSM 17230	ADM27518.1		7OSK[A,B]	Archaea	24	GH53
endo-β-1,4-galactanase (BlGal;YvfO;BL00263;BLi04276)	3.2.1.89	pubmed	Bacillus licheniformis DSM 13 = ATCC 14580	AAU25711.1	Q62NF0Q65CX5	1R8L[A,B]1UR0[A,B]1UR4[A,B]2CCR[A,B]2GFT[A,B]2J74[A,B]	Bacteria	24	GH53
endo-β-1,4-galactanase (BlGal;YvfO;BL00263;BLi04276)	3.2.1.89	pubmed	Bacillus licheniformis DSM 13 = ATCC 14580	AAO31370.1	Q62NF0Q65CX5	1R8L[A,B]1UR0[A,B]1UR4[A,B]2CCR[A,B]2GFT[A,B]2J74[A,B]	Bacteria	24	GH53
endo-β-1,4-galactanase (BlGal;YvfO;BL00263;BLi04276)	3.2.1.89	pubmed	Bacillus licheniformis DSM 13 = ATCC 14580	AAU43089.1	Q62NF0Q65CX5	1R8L[A,B]1UR0[A,B]1UR4[A,B]2CCR[A,B]2GFT[A,B]2J74[A,B]	Bacteria	24	GH53
endo-β-1,4-galactanase (BlGal;YvfO;BL00263;BLi04276)	3.2.1.89	pubmed	Bacillus licheniformis DSM 13 = ATCC 14580	ACS08442.1	Q62NF0Q65CX5	1R8L[A,B]1UR0[A,B]1UR4[A,B]2CCR[A,B]2GFT[A,B]2J74[A,B]	Bacteria	24	GH53
galactanase (GalA;YvfO;BSU34120)	3.2.1.89	pubmed	Bacillus subtilis subsp. subtilis str. 168	CAB08009.1	A0A6M3ZGT1O07013		Bacteria	24	GH53
galactanase (GalA;YvfO;BSU34120)	3.2.1.89	pubmed	Bacillus subtilis subsp. subtilis str. 168	AAO31373.1	A0A6M3ZGT1O07013		Bacteria	24	GH53
galactanase (GalA;YvfO;BSU34120)	3.2.1.89	pubmed	Bacillus subtilis subsp. subtilis str. 168	AIY94731.1	A0A6M3ZGT1O07013		Bacteria	24	GH53
galactanase (GalA;YvfO;BSU34120)	3.2.1.89	pubmed	Bacillus subtilis subsp. subtilis str. 168	AQR83447.1	A0A6M3ZGT1O07013		Bacteria	24	GH53
galactanase (GalA;YvfO;BSU34120)	3.2.1.89	pubmed	Bacillus subtilis subsp. subtilis str. 168	AQR87662.1	A0A6M3ZGT1O07013		Bacteria	24	GH53
galactanase (GalA;YvfO;BSU34120)	3.2.1.89	pubmed	Bacillus subtilis subsp. subtilis str. 168	CAB15417.2	A0A6M3ZGT1O07013		Bacteria	24	GH53
galactanase (GalA;YvfO;BSU34120)	3.2.1.89	pubmed	Bacillus subtilis subsp. subtilis str. 168	NP_391292.1	A0A6M3ZGT1O07013		Bacteria	24	GH53
