seqname,tax_id
BCM91630.1,Abditibacteriota_bacterium_IAD-21
BCM92290.1,Abditibacteriota_bacterium_IAD-21
BCM93835.1,Abditibacteriota_bacterium_IAD-21
QKH47281.1,Abiotrophia_defectiva_FDAARGOS_785
QKH47844.1,Abiotrophia_defectiva_FDAARGOS_785
BBK21230.1,Absiella_argi_JCM_30884
BBK23836.1,Absiella_argi_JCM_30884
UOB19018.1,Abyssalbus_ytuae
BDM78275.1,Acaryochloris_marina_MBIC10699
BDM79406.1,Acaryochloris_marina_MBIC10699
ABW32667.1,Acaryochloris_marina_MBIC11017
QUY46000.1,Acaryochloris_marina_S15
QUY43650.1,Acaryochloris_marina_S15
QUY44596.1,Acaryochloris_marina_S15
UJB69368.1,Acaryochloris_sp._Moss_Beach
UJB72663.1,Acaryochloris_sp._Moss_Beach
UJB73127.1,Acaryochloris_sp._Moss_Beach
AEV69149.1,Acetivibrio_clariflavus_DSM_19732
AEV68079.1,Acetivibrio_clariflavus_DSM_19732
AEV70590.1,Acetivibrio_clariflavus_DSM_19732
AEV69860.1,Acetivibrio_clariflavus_DSM_19732
AUG57418.1,Acetivibrio_saccincola_GGR1
AUG57340.1,Acetivibrio_saccincola_GGR1
AUG57338.1,Acetivibrio_saccincola_GGR1
AUG59104.1,Acetivibrio_saccincola_GGR1
AUG58479.1,Acetivibrio_saccincola_GGR1
ALX08688.1,Acetivibrio_thermocellus_AD2
ALX08146.1,Acetivibrio_thermocellus_AD2
ALX07533.1,Acetivibrio_thermocellus_AD2
ABN54169.1,Acetivibrio_thermocellus_ATCC_27405
ADU73606.1,Acetivibrio_thermocellus_DSM_1313
AAC04579.1,Acetivibrio_thermocellus_F1_/_YS
BAA33543.1,Acetivibrio_thermocellus_F1_/_YS
CBH22575.1,Acetoanaerobium_sticklandii_DSM_519
BCI66424.1,Acetobacter_aceti_JCM20276
BCK77395.1,Acetobacter_aceti_NBRC_14818
AQS85193.1,Acetobacter_aceti_TMW2.1153
AOW46162.1,Acetobacter_ascendens_LMG_1590
ARW11664.1,Acetobacter_ascendens_SRCM101447
CEF57145.1,Acetobacter_ghanensis_LMG_23848T
ANA13795.1,Acetobacter_oryzifermentans_SLV-7
QEE85318.1,Acetobacter_oryzoeni_B6
CCT58251.1,Acetobacter_pasteurianus_386B
AKR49282.1,Acetobacter_pasteurianus_Ab3
ASL40202.1,Acetobacter_pasteurianus_dm
BAH99440.1,Acetobacter_pasteurianus_IFO_3283-01
AOW49814.1,Acetobacter_pasteurianus_subsp._paradoxus_LMG_1591
AQT03797.1,Acetobacter_persici_TMW2.1084
ATI11151.1,Acetobacter_pomorum_BDGP5
CEF41719.1,Acetobacter_senegalensis_108B
CEF42780.1,Acetobacter_senegalensis_108B
ATJ91603.1,Acetobacter_tropicalis_BDGP1
QKE90137.1,Acetobacteraceae_bacterium_PAMC_26569
AFA47523.1,Acetobacterium_woodii_DSM_1030
ADL13091.1,Acetohalobium_arabaticum_DSM_5501
ADL13092.1,Acetohalobium_arabaticum_DSM_5501
ADL12783.1,Acetohalobium_arabaticum_DSM_5501
QVQ29035.1,Achromobacter_deleyi_As-55
QVQ28199.1,Achromobacter_deleyi_As-55
QVQ24155.1,Achromobacter_deleyi_As-55
QQB34415.1,Achromobacter_deleyi_FDAARGOS_1050
QQB34940.1,Achromobacter_deleyi_FDAARGOS_1050
QKH52407.1,Achromobacter_denitrificans_FDAARGOS_786
QKH48509.1,Achromobacter_denitrificans_FDAARGOS_786
QKH53022.1,Achromobacter_denitrificans_FDAARGOS_786
QKQ50230.1,Achromobacter_denitrificans_FDAARGOS_787
QKQ48936.1,Achromobacter_denitrificans_FDAARGOS_787
QCS62961.1,Achromobacter_denitrificans_PheN1
ASC63215.1,Achromobacter_denitrificans_PR1
ALX83577.1,Achromobacter_denitrificans_USDA-ARS-USMARC-56712
ALX82979.1,Achromobacter_denitrificans_USDA-ARS-USMARC-56712
AXA69322.1,Achromobacter_insolitus_AB2
AXA72459.1,Achromobacter_insolitus_AB2
AXA72659.1,Achromobacter_insolitus_AB2
APX76598.1,Achromobacter_insolitus_DSM_23807
AVG43264.1,Achromobacter_insolitus_FDAARGOS_88
UAN02653.1,Achromobacter_mucicolens_IA
QKH33634.1,Achromobacter_pestifer_FDAARGOS_790
QKH34222.1,Achromobacter_pestifer_FDAARGOS_790
QKH34448.1,Achromobacter_pestifer_FDAARGOS_790
AOU91780.1,Achromobacter_ruhlandii_SCCH3:ACH_33-1365
UDG76985.1,Achromobacter_sp._77
AUT47554.1,Achromobacter_sp._AONIH1
AUT47652.1,Achromobacter_sp._AONIH1
AUT45499.1,Achromobacter_sp._AONIH1
AYD63600.1,Achromobacter_sp._B7
SIT26483.1,Achromobacter_sp._MFA1_R4
AUA59481.1,Achromobacter_spanius_DSM_23806
AVJ27389.1,Achromobacter_spanius_MYb73
AVJ26883.1,Achromobacter_spanius_MYb73
AZS78313.1,Achromobacter_spanius_UQ283
ADP15654.1,Achromobacter_xylosoxidans_A8
ADP14762.1,Achromobacter_xylosoxidans_A8
ADP14980.1,Achromobacter_xylosoxidans_A8
QEQ22711.1,Achromobacter_xylosoxidans_AX1
QEQ22173.1,Achromobacter_xylosoxidans_AX1
AMG35978.1,Achromobacter_xylosoxidans_FDAARGOS_147
AMG36610.1,Achromobacter_xylosoxidans_FDAARGOS_147
AUZ19949.1,Achromobacter_xylosoxidans_FDAARGOS_150
AMH06341.1,Achromobacter_xylosoxidans_FDAARGOS_150
AMG47683.1,Achromobacter_xylosoxidans_FDAARGOS_162
QKQ56262.1,Achromobacter_xylosoxidans_FDAARGOS_789
QNP83871.1,Achromobacter_xylosoxidans_GD03
QNP84445.1,Achromobacter_xylosoxidans_GD03
QNP84660.1,Achromobacter_xylosoxidans_GD03
QKI77707.1,Achromobacter_xylosoxidans_GN008
QKI72437.1,Achromobacter_xylosoxidans_GN050
QKI71905.1,Achromobacter_xylosoxidans_GN050
CCH07895.1,Achromobacter_xylosoxidans_NH44784-1996
UQT40745.1,Acidaminococcus_intestini_14_LG
CAA7601159.1,Acididesulfobacillus_acetoxydans
CAA7602531.1,Acididesulfobacillus_acetoxydans
CAA7601237.1,Acididesulfobacillus_acetoxydans
CAA7599457.1,Acididesulfobacillus_acetoxydans
AWP23231.1,Acidiferrobacter_sp._SPIII_3
APZ43745.1,Acidihalobacter_ferrooxydans_V8
APZ43753.1,Acidihalobacter_ferrooxydans_V8
AOV18565.1,Acidihalobacter_prosperus_V6
ABQ30375.1,Acidiphilium_cryptum_JF-5
AFV87937.1,Acidipropionibacterium_acidipropionici_ATCC_4875
AFV88463.1,Acidipropionibacterium_acidipropionici_ATCC_4875
AFV89453.1,Acidipropionibacterium_acidipropionici_ATCC_4875
AMS04584.1,Acidipropionibacterium_acidipropionici_ATCC_55737
AMS06208.1,Acidipropionibacterium_acidipropionici_ATCC_55737
ALN16722.1,Acidipropionibacterium_acidipropionici_CGMCC_1.2230
AOZ48464.1,Acidipropionibacterium_acidipropionici_F3E8
QCV95112.1,Acidipropionibacterium_acidipropionici_FAM_19036
AZP37900.1,Acidipropionibacterium_acidipropionici_WGS7
QCV87416.1,Acidipropionibacterium_jensenii_FAM_19038
QCV88797.1,Acidipropionibacterium_jensenii_FAM_19038
AZZ41402.1,Acidipropionibacterium_jensenii_JS279
AZZ42220.1,Acidipropionibacterium_jensenii_JS279
AZZ39356.1,Acidipropionibacterium_jensenii_JS280
AZZ40208.1,Acidipropionibacterium_jensenii_JS280
VEI02938.1,Acidipropionibacterium_jensenii_NCTC13652
VEI02009.1,Acidipropionibacterium_jensenii_NCTC13652
AXE39815.1,Acidipropionibacterium_virtanenii_JS278
AXC12840.1,Acidisarcina_polymorpha_SBC82
AXC10962.1,Acidisarcina_polymorpha_SBC82
BBF65807.1,Acidithiobacillus_ferridurans_JCM_18981
UEP58150.1,Acidithiobacillus_ferriphilus_GT2
SMH66922.1,Acidithiobacillus_ferrivorans
AEM48911.1,Acidithiobacillus_ferrivorans_SS3
QQD72508.1,Acidithiobacillus_ferrivorans_XJFY6S-08
ACK78404.1,Acidithiobacillus_ferrooxidans_ATCC_23270
ACH83178.1,Acidithiobacillus_ferrooxidans_ATCC_53993
QZT53509.1,Acidithiobacillus_ferrooxidans_BYM
QFX94799.1,Acidithiobacillus_thiooxidans_ATCC_19377
AMY12001.1,Acidobacteria_bacterium_DSM_100886
ACO32543.1,Acidobacterium_capsulatum_ATCC_51196
ACO33811.1,Acidobacterium_capsulatum_ATCC_51196
ABK53689.1,Acidothermus_cellulolyticus_11B
QKV52178.1,Acidovorax_antarcticus_16-35-5
QKV51940.1,Acidovorax_antarcticus_16-35-5
QKV52289.1,Acidovorax_antarcticus_16-35-5
AVS61178.1,Acidovorax_avenae_subsp._avenae_AA78_5
AVS77160.1,Acidovorax_avenae_subsp._avenae_COLB1
AVT19472.1,Acidovorax_avenae_subsp._avenae_SH7
ART51071.1,Acidovorax_carolinensis_NA3
AVS73422.1,Acidovorax_cattleyae_CAT98_1
ABM31706.1,Acidovorax_citrulli_AAC00-1
UOB04813.1,Acidovorax_ebreus_LS1
ACM32514.1,Acidovorax_ebreus_TPSY
QNP59222.1,Acidovorax_monticola_KACC_19171
UCU98324.1,Acidovorax_radicis_79
AYM96987.1,Acidovorax_sp._1608163
ABM41350.1,Acidovorax_sp._JS42
AFU44790.1,Acidovorax_sp._KKS102
ART47477.1,Acidovorax_sp._NA2
ART55820.1,Acidovorax_sp._P3
AOG21805.1,Acidovorax_sp._RAC01
UJB66723.1,Acidovorax_sp._YS12
AAQ28027.1,Acinetobacter_baumannii
AXX47047.1,Acinetobacter_baumannii_10042
AXX44293.1,Acinetobacter_baumannii_10324
AXX46300.1,Acinetobacter_baumannii_10324
AXX45314.1,Acinetobacter_baumannii_10324
ATD21818.1,Acinetobacter_baumannii_11510
ATD19593.1,Acinetobacter_baumannii_11510
QAS46422.1,Acinetobacter_baumannii_11A1213CRGN008
QDE16477.1,Acinetobacter_baumannii_11W359501
QDE15170.1,Acinetobacter_baumannii_11W359501
ARG22280.1,Acinetobacter_baumannii_15A34
ARF93251.1,Acinetobacter_baumannii_15A5
ADX05234.1,Acinetobacter_baumannii_1656-2
ANC37053.1,Acinetobacter_baumannii_3207
QFV02017.1,Acinetobacter_baumannii_5457
AJB66538.1,Acinetobacter_baumannii_6200
AJB67766.1,Acinetobacter_baumannii_6200
AJB65438.1,Acinetobacter_baumannii_6200
ASO70838.1,Acinetobacter_baumannii_7804
ASO69695.1,Acinetobacter_baumannii_7804
AJF83472.1,Acinetobacter_baumannii_A1
QNT89690.1,Acinetobacter_baumannii_A118
QNT88675.1,Acinetobacter_baumannii_A118
ATI37932.1,Acinetobacter_baumannii_A1296
QLB34991.1,Acinetobacter_baumannii_A1429
QLB37543.1,Acinetobacter_baumannii_A1429
QJF36334.1,Acinetobacter_baumannii_Ab-B004d-c
QJF35011.1,Acinetobacter_baumannii_Ab-B004d-c
QJF33861.1,Acinetobacter_baumannii_Ab-B004d-c
QJF27181.1,Acinetobacter_baumannii_Ab-C102
QJF28328.1,Acinetobacter_baumannii_Ab-C102
QJF29360.1,Acinetobacter_baumannii_Ab-C102
QJF38786.1,Acinetobacter_baumannii_Ab-C63
QJF37736.1,Acinetobacter_baumannii_Ab-C63
AIL79646.1,Acinetobacter_baumannii_AB030
AIL73907.1,Acinetobacter_baumannii_AB031
AKQ28980.1,Acinetobacter_baumannii_Ab04-mff
APX49941.1,Acinetobacter_baumannii_AB042
APX48831.1,Acinetobacter_baumannii_AB042
QBM40232.1,Acinetobacter_baumannii_AB047
QBM39286.1,Acinetobacter_baumannii_AB047
QBM43807.1,Acinetobacter_baumannii_AB048
QBM33494.1,Acinetobacter_baumannii_AB053
ARN30388.1,Acinetobacter_baumannii_ab736
QHB90819.1,Acinetobacter_baumannii_AbCAN2
AUT37846.1,Acinetobacter_baumannii_ABNIH28
ATR85956.1,Acinetobacter_baumannii_AbPK1
QAT03529.1,Acinetobacter_baumannii_ABUH763
QBY89850.1,Acinetobacter_baumannii_ACN21
AVI36308.1,Acinetobacter_baumannii_AR_0052
AVI38006.1,Acinetobacter_baumannii_AR_0052
AVF09069.1,Acinetobacter_baumannii_AR_0078
AVF06718.1,Acinetobacter_baumannii_AR_0078
ABO11370.1,Acinetobacter_baumannii_ATCC_17978
QEE55674.1,Acinetobacter_baumannii_ATCC_BAA-1790
CAM87683.1,Acinetobacter_baumannii_AYE
KMV27388.1,Acinetobacter_baumannii_B8300
KMV25163.1,Acinetobacter_baumannii_B8300
KMV26213.1,Acinetobacter_baumannii_B8300
