MAG,Habitat,Group,N_fixation,other_N,total_other_C_pathways,average_abundance,genome_perc_complete,avg_degree,persistent,years_present,CV
PLGY01,Bog,collaborator,no,no,,,,,,,
20110700_S2D_21,Bog,collaborator,no,no,,,,,,,
20120700_S1D_59,Bog,independent,yes,no,,,,,,,
PLTK01,Bog,independent,yes,no,,,,,,,
PMGM01,Bog,independent,yes,no,,,,,,,
PMEE01,Bog,collaborator,no,no,,,,,,,
20120800_E2X_5,Fen,collaborator,no,no,,,,,,,
20140700_E14_1,Fen,independent,yes,no,,,,,,,
20110800_E3D_10,Fen,collaborator,no,rGlycine_acetyl,,,,,,,
PMEE01,Fen,collaborator,no,no,,,,,,,
PMGM01,Fen,independent,yes,no,,,,,,,
PLGY01,Fen,collaborator,no,no,,,,,,,
PMKW01,Fen,collaborator,no,chitin,,,,,,,
3300037365_14,Fen,collaborator,no,no,,,,,,,
PMNG01,Fen,independent,yes,no,,,,,,,
20110800_E1S_5,Fen,collaborator,no,no,,,,,,,
20110700_S2D_21,Fen,collaborator,no,no,,,,,,,
3300037062_11,Fen,independent,yes,no,,,,,,,
20120600_E2D_39,Fen,collaborator,no,no,,,,,,,
PMMV01,Fen,collaborator,no,no,,,,,,,
3300037104_19,Fen,independent,yes,no,,,,,,,
20110800_E3D_36,Fen,collaborator,no,no,,,,,,,
