seqname,tax_id
3300036876_9_Ga0334794_000122_58,cNor_Bacteroidota
PLYJ01_ENA|PLYJ01000109|PLYJ01000109.1_8,cNor_Bacteroidota
20140700_S11_7_c_000000001496_3,cNor_Bacteroidota
PLUL01_ENA|PLUL01000049|PLUL01000049.1_3,cNor_Bacteroidota
3300037156_10_Ga0395916_000087_30,cNor_Bacteroidota
PLXK01_ENA|PLXK01000055|PLXK01000055.1_15,cNor_Bacteroidota
UniRef90_A0A139CWI8,cNor_Firmicutes
UniRef90_A0A1T4LBU8,cNor_Firmicutes
UniRef90_A0A2T0AQ66,cNor_Firmicutes
UniRef90_UPI000D64267B,cNor_Firmicutes
UniRef90_A0A7X8Q3K8,cNor_Firmicutes
UniRef90_A0A7C6LF79,cNor_Firmicutes
UniRef90_A0A7V7BFU4,cNor_Firmicutes
UniRef90_A0A3C0UFK4,cNor_Firmicutes
UniRef90_A0A4R1Q3D5,cNor_Firmicutes
UniRef90_A0A1U7MF66,cNor_Firmicutes
UniRef90_F7NFS5,cNor_Firmicutes
UniRef90_A0A644SUG0,cNor_Firmicutes
UniRef90_A0A847QJ40,cNor_Firmicutes
UniRef90_A0A498RI12,cNor_Firmicutes
UniRef90_A0A1H8R7M4,cNor_Firmicutes
UniRef90_I8TWH9,cNor_Firmicutes
UniRef90_A0A402BV88,cNor_Firmicutes
UniRef90_A0A4R1PWV1,cNor_Firmicutes
UniRef90_A0A523C564,cNor_Firmicutes
UniRef90_C0GHY8,cNor_Firmicutes
UniRef90_UPI001A903C30,cNor_Firmicutes
UniRef90_A0A4Z0R469,cNor_Firmicutes
UniRef90_W0E8H3,cNor_Firmicutes
UniRef90_A0A7X9BYX8,cNor_Firmicutes
UniRef90_L0F5E9,cNor_Firmicutes
CDX01088.1_Desulfitobacterium_hafniense_cNor,cNor_Firmicutes
UniRef90_I4A898,cNor_Firmicutes
UniRef90_A0A0J1I1K1,cNor_Firmicutes
UniRef90_A0A0F2SEP0,cNor_Firmicutes
UniRef90_A0A1M5RLH4,cNor_Firmicutes
UniRef90_A0A358Q2B7,cNor_Firmicutes
UniRef90_H5Y069,cNor_Firmicutes
UniRef90_A0A1Q8QWY2,cNor_Firmicutes
UniRef90_A0A4Z0QRK3,cNor_Firmicutes
UniRef90_A0A0F2JHT1,cNor_Firmicutes
UniRef90_J7J4K2,cNor_Firmicutes
UniRef90_A0A0J1FQ42,cNor_Firmicutes
UniRef90_I4D2H0,cNor_Firmicutes
UniRef90_A0A101WSI8,cNor_Firmicutes
UniRef90_G2FZK2,cNor_Firmicutes
UniRef90_A0A315XV43,Root
UniRef90_A0A284VJY6,Root
UniRef90_A0A0P7ZKE4,Root
UniRef90_A0A5E4KXI2,Root
UniRef90_A0A7J4LM35,Root
UniRef90_A0A1E3X9S5,cNor_Verrucomicrobiota
UniRef90_A0A109CRQ2,cNor_Verrucomicrobiota
UniRef90_A0A3M1SCT5,cNor_Verrucomicrobiota
UniRef90_A0A522UXQ6,cNor_Verrucomicrobiota
UniRef90_UPI00058AECFE,cNor_Verrucomicrobiota
UniRef90_A0A3A4WCB0,cNor_Verrucomicrobiota
UniRef90_A0A419FWI7,cNor_Verrucomicrobiota
UniRef90_A0A7C1EU44,cNor_Verrucomicrobiota
UniRef90_A0A1G1FFG2,cNor_Verrucomicrobiota
UniRef90_A0A1G1HQD2,cNor_Verrucomicrobiota
UniRef90_A0A3N9UQV4,cNor_Verrucomicrobiota
UniRef90_A0A522UTB4,cNor_Verrucomicrobiota
UniRef90_A0A7C3Q5A0,cNor_Verrucomicrobiota
UniRef90_UPI00190973E2,cNor_Verrucomicrobiota
UniRef90_A0A7Y8M7P2,cNor_Verrucomicrobiota
UniRef90_A0A1Z5HDL3,cNor_Verrucomicrobiota
UniRef90_A0A6N9BW85,cNor_Verrucomicrobiota
UniRef90_F6DJJ9,cNor_Verrucomicrobiota
UniRef90_E4U5B3,cNor_Verrucomicrobiota
UniRef90_A0A7V5BPX7,cNor_Verrucomicrobiota
UniRef90_UPI00157BB916,cNor_Verrucomicrobiota
B3DWW2_Methylacidiphilum_infernorum,cNor_Verrucomicrobiota
UniRef90_A0A4Y8PDK4,cNor_Verrucomicrobiota
UniRef90_A0A4Y8PFP6,cNor_Verrucomicrobiota
UniRef90_A0A516TJC1,cNor_Verrucomicrobiota
UniRef90_A0A285P712,cNor_Verrucomicrobiota
UniRef90_A0A2H5WHQ0,cNor_Verrucomicrobiota
UniRef90_A0A432PXE6,cNor_Verrucomicrobiota
UniRef90_A8US43,cNor_Verrucomicrobiota
UniRef90_A0A7R8L821,cNor_Verrucomicrobiota
UniRef90_A0A5E6MP08,cNor_Verrucomicrobiota
UniRef90_UPI000372FEBF,cNor_Verrucomicrobiota
UniRef90_A0A522N2N9,cNor_Verrucomicrobiota
UniRef90_A0A522QQZ1,cNor_Verrucomicrobiota
UniRef90_A0A522N6M0,cNor_Verrucomicrobiota
UniRef90_A0A522TXU9,cNor_Verrucomicrobiota
UniRef90_A0A7C3RRA4,cNor_Verrucomicrobiota
UniRef90_A0A1J5R4U9,cNor_Verrucomicrobiota
UniRef90_A0A238DSL2,cNor_Verrucomicrobiota
UniRef90_A0A1D2S6H2,cNor_Verrucomicrobiota
UniRef90_A0A522SIF2,cNor_Verrucomicrobiota
UniRef90_A0A522RL65,cNor_Verrucomicrobiota
UniRef90_A0A522J4T9,cNor_Verrucomicrobiota
UniRef90_A0A522TY09,cNor_Verrucomicrobiota
UniRef90_A0A522H443,cNor_Verrucomicrobiota
UniRef90_A0A522Q5D9,cNor_Verrucomicrobiota
UniRef90_A0A1V5RK72,Unknown
UniRef90_A0A1F9CQ08,Unknown
UniRef90_A0A2U3QHM3,Unknown
UniRef90_A0A2V9IRQ8,Unknown
UniRef90_A0A2V9KH32,Unknown
UniRef90_A0A1F9BWB9,Unknown
UniRef90_A0A1F9EY69,Unknown
UniRef90_A0A7Y8LVS9,Unknown
UniRef90_A0A212DWV4,Unknown
UniRef90_A0A419GS60,Unknown
UniRef90_A0A1F9CUE8,Unknown
UniRef90_A0A1F9LZY3,Unknown
UniRef90_A0A353MEK3,Unknown
UniRef90_C6E2V3,Unknown
UniRef90_A0A6V8MY32,Unknown
UniRef90_E8WM68,Unknown
UniRef90_A0A419FFI7,Unknown
UniRef90_A0A1F4YMF3,Unknown
UniRef90_A0A3M1DEV5,Unknown
UniRef90_A0A6I7LGL0,Unknown
UniRef90_A0A1F4XE67,Unknown
UniRef90_A0A1F5BNS4,Unknown
UniRef90_A0A7Y8INT1,Unknown
UniRef90_A0A2H5VR04,Unknown
UniRef90_A0A7C5TWM9,Unknown
UniRef90_A0A3N5ZFE5,Unknown
UniRef90_A7HE12,Unknown
UniRef90_A0A3N5LQW9,Unknown
UniRef90_A0A3N5X8G6,Unknown
UniRef90_A0A3N5ZND8,Unknown
UniRef90_A0A7C3S2Q7,Unknown
UniRef90_A0A7V2TUK8,Unknown
UniRef90_A0A1F9I0S3,Unknown
UniRef90_A0A1G1F505,Unknown
UniRef90_A0A3C0TRC4,Unknown
UniRef90_A0A0C1TPB6,Unknown
UniRef90_A0A399I6Y4,Unknown
UniRef90_A0A5A9XC47,Unknown
UniRef90_A0A3A4NYQ1,Unknown
UniRef90_A0A257SHZ1,Unknown
UniRef90_A0A3C1EHM9,Unknown
UniRef90_A0A1F8YP54,Unknown
UniRef90_A0A359C7B6,Unknown
UniRef90_A0A1F9C4H5,Unknown
UniRef90_A0A363TT03,Unknown
UniRef90_A0A2M7FAU6,cNor_Mixed
UniRef90_A0A7V3F507,cNor_Mixed
UniRef90_A0A3A0F506,cNor_Mixed
UniRef90_A0A7C2SNC8,cNor_Mixed
UniRef90_A0A7X6AI72,cNor_Mixed
A0A143PN64_Luteitalea_pratensis,cNor_Mixed
UniRef90_A0A7X7GVD2,cNor_Mixed
UniRef90_A0A7Y0D1P1,cNor_Mixed
UniRef90_A0A1M7A227,cNor_Mixed
UniRef90_A0A1E4FUR3,cNor_Mixed
UniRef90_A0A1E4GHW5,cNor_Mixed
UniRef90_U2EJQ0,cNor_Mixed
UniRef90_A0A2D8J563,cNor_Mixed
UniRef90_A0A0C1Y2Z7,cNor_Mixed
UniRef90_Q3SKK3,cNor_Mixed
UniRef90_A0A898HVW0,cNor_Mixed
UniRef90_I4VPX3,cNor_Mixed
UniRef90_A0A847DRU1,cNor_Mixed
UniRef90_A0A2Z2NQU7,cNor_Mixed
UniRef90_A0A7Y0GC23,cNor_Mixed
UniRef90_A1WBC6,cNor_Mixed
UniRef90_B9MEG2,cNor_Mixed
UniRef90_A0A4Q3IDF1,cNor_Mixed
UniRef90_A0A0S4K9V6,cNor_Mixed
UniRef90_A0A1I4R7L5,cNor_Mixed
UniRef90_A0A562Q0K3,cNor_Mixed
UniRef90_A0A7W2ICK1,cNor_Mixed
UniRef90_A0A7W5BD15,cNor_Mixed
UniRef90_A0A4Q3LDG2,cNor_Mixed
UniRef90_UPI00191977E4,cNor_Mixed
UniRef90_UPI001C7E9DDB,cNor_Mixed
UniRef90_A0A0G3BU45,cNor_Mixed
UniRef90_A0A254TEU3,cNor_Mixed
UniRef90_A0A848FAB5,cNor_Mixed
UniRef90_A0A410UV09,cNor_Mixed
UniRef90_A0A3N5FAS9,cNor_Mixed
UniRef90_UPI0010A59E14,cNor_Mixed
UniRef90_F8GZ53,cNor_Mixed
UniRef90_A0A1Y0CXT6,cNor_Mixed
UniRef90_A0A2P6JQF9,cNor_Mixed
UniRef90_A0A1H9SKS6,cNor_Mixed
UniRef90_A0A847F839,cNor_Mixed
UniRef90_A0A098FNV4,cNor_Mixed
UniRef90_A0A1Y0FRW0,cNor_Mixed
UniRef90_A0A6C0TWU5,cNor_Mixed
UniRef90_A0A0A0MBF2,cNor_Mixed
UniRef90_A0A1B3W5X2,cNor_Mixed
UniRef90_A0A094LAL8,cNor_Mixed
UniRef90_I1XG17,cNor_Mixed
UniRef90_UPI0019252786,cNor_Mixed
UniRef90_A0A2I6S700,cNor_Mixed
UniRef90_A0A6C0TT01,cNor_Mixed
UniRef90_A0A3D6DWK0,cNor_Mixed
UniRef90_A0A0T2ZMF8,cNor_Mixed
UniRef90_UPI0019068C93,cNor_Mixed
UniRef90_A0A125QD21,cNor_Mixed
UniRef90_A0A5E7KF49,cNor_Mixed
UniRef90_A0A6G2EK61,cNor_Mixed
