genome	taxonomy	completeness	contamination
Palsa.Unlabelled.R2.T2.F3.trimmomatic.metaspades_bin.45_72.76_1.72	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__	72.76	1.72
Bog.Unlabelled.R2.T1.F3.trimmomatic.megahit_bin.119_83.64_3.93	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__Methylocystis sp003134075	83.64	3.93
Bog.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.188_76.50_2.16	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	76.50	2.16
Bog.Unlabelled.R3.T3.F3.trimmomatic.megahit_bin.158_97.44_6.41	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__Bog-515;s__Bog-515 sp003155135	97.44	6.41
Bog.None.R1.T0.trimmomatic.megahit_bin.274_91.17_3.10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__	91.17	3.10
Fen.Unlabelled.R1.T2.F1.trimmomatic.metaspades_bin.2_96.70_4.40	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__UBA5070;f__UBA5070;g__;s__	96.70	4.40
Bog.Labelled.R2.T3.F2.trimmomatic.megahit_bin.35_100.00_1.32	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__BOG-933;s__	100.00	1.32
Palsa.Labelled.R2.T3.F2.JGI.BFC.metaspades_bin.27_85.74_1.01	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Dinghuibacter;s__	85.74	1.01
Bog.Unlabelled.R1.T2.F3.trimmomatic.megahit_bin.46_88.80_4.42	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__UBA8260;g__UBA8260;s__UBA8260 sp003142035	88.80	4.42
Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.55_91.59_1.72	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	91.59	1.72
Fen.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.27_71.90_0.00	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__	71.90	0.00
Bog.Unlabelled.R2.T2.F2.trimmomatic.metaspades_bin.141_73.28_0.00	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2 sp003133125	73.28	0.00
Fen.Labelled.R2.T1.F2.JGI.BFC.metaspades_bin.6_87.76_3.48	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	87.76	3.48
Bog.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.121_88.58_5.60	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	88.58	5.60
Bog.Unlabelled.R2.T2.F1.trimmomatic.megahit_bin.89_80.09_3.88	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	80.09	3.88
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.22_79.24_0.54	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__	79.24	0.54
Bog.None.R1.T0.trimmomatic.megahit_bin.119_92.03_3.71	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__;s__	92.03	3.71
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.168_75.07_8.12	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-744;s__	75.07	8.12
Bog.Labelled.R1.T1.F2.JGI.BFC.metaspades_bin.21_82.31_0.77	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003162935	82.31	0.77
Bog.Labelled.R2.T2.F1.trimmomatic.megahit_bin.21_71.20_0.04	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__	71.20	0.04
Bog.Unlabelled.R2.T1.F2.trimmomatic.metaspades_bin.70_92.59_0.00	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003162935	92.59	0.00
Palsa.Labelled.R2.T3.F3.trimmomatic.metaspades_bin.23_85.71_1.72	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__	85.71	1.72
Bog.Unlabelled.R2.T2.F2.trimmomatic.metaspades_bin.157_91.29_3.97	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp001519055	91.29	3.97
Bog.Labelled.R2.T1.F2.trimmomatic.metaspades_bin.33_71.03_3.45	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	71.03	3.45
Bog.None.R3.T0.trimmomatic.megahit_bin.183_92.04_6.56	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__	92.04	6.56
Palsa.Labelled.R3.T2.F2.trimmomatic.megahit_bin.80_82.07_6.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UBA8621;s__	82.07	6.21
Palsa.Labelled.R3.T2.F3.trimmomatic.metaspades_bin.88_85.34_1.00	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Roseiarcus;s__Roseiarcus sp003164825	85.34	1.00
Palsa.Unlabelled.R3.T1.F1.trimmomatic.metaspades_bin.56_72.59_2.46	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UBA8621;s__	72.59	2.46
Palsa.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.38_72.73_1.89	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA7366;f__UBA7366;g__;s__	72.73	1.89
Fen.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.80_79.33_0.86	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	79.33	0.86
Bog.Unlabelled.R1.T1.F2.JGI.BFC.metaspades_bin.2_84.81_6.51	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	84.81	6.51
Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.199_92.95_6.32	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	92.95	6.32
Palsa.Unlabelled.R1.T3.F3.JGI.BFC.metaspades_bin.33_96.86_1.78	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__Palsa-465 sp003165655	96.86	1.78
Fen.Labelled.R1.T3.F1.JGI.BFC.metaspades_bin.5_83.13_0.73	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__Palsa-948;g__;s__	83.13	0.73
Bog.Labelled.R3.T1.F1.trimmomatic.megahit_bin.35_93.21_3.01	d__Bacteria;p__FCPU426;c__Palsa-1180;o__Palsa-1180;f__Palsa-1180;g__Bog-1183;s__Bog-1183 sp003136635	93.21	3.01
Palsa.Labelled.R3.T3.F3.trimmomatic.megahit_bin.20_89.94_4.51	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__BOG-935;s__	89.94	4.51
Palsa.Labelled.R1.T2.F3.JGI.BFC.metaspades_bin.2_80.34_0.86	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rhodanobacter;s__	80.34	0.86
Bog.None.R3.T0.trimmomatic.megahit_bin.257_95.91_3.61	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	95.91	3.61
Bog.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.20_85.27_5.40	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__	85.27	5.40
Palsa.Labelled.R3.T1.F2.trimmomatic.megahit_bin.69_98.29_1.57	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__Palsa-465 sp003165655	98.29	1.57
Bog.Labelled.R3.T2.F3.JGI.BFC.metaspades_bin.72_80.47_1.72	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	80.47	1.72
Fen.Labelled.R2.T3.F2.trimmomatic.metaspades_bin.57_73.48_0.00	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983;f__UBA9973;g__UBA8515;s__	73.48	0.00
Fen.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.62_96.25_2.07	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA6821;g__UBA6821;s__	96.25	2.07
Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.181_94.74_4.73	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__UBA11358;s__	94.74	4.73
Fen.Unlabelled.R1.T3.F1.trimmomatic.metaspades_bin.49_90.59_1.20	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter_A;s__	90.59	1.20
Bog.Labelled.R2.T3.F3.trimmomatic.metaspades_bin.138_92.69_7.80	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__	92.69	7.80
Palsa.Labelled.R3.T1.F3.trimmomatic.megahit_bin.91_73.49_2.85	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__UBA7541;f__UBA7541;g__Palsa-295;s__Palsa-295 sp003156635	73.49	2.85
Fen.Unlabelled.R1.T2.F1.trimmomatic.metaspades_bin.47_97.88_0.74	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	97.88	0.74
Palsa.Labelled.R2.T3.F3.trimmomatic.megahit_bin.82_70.17_3.45	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rhodanobacter;s__	70.17	3.45
Palsa.Labelled.R2.T2.F3.JGI.BFC.metaspades_bin.33_98.04_1.32	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rhodanobacter;s__	98.04	1.32
Bog.Labelled.R2.T1.F3.trimmomatic.megahit_bin.3_74.36_1.22	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herminiimonas;s__	74.36	1.22
Palsa.Labelled.R3.T2.F2.JGI.BFC.metaspades_bin.71_94.43_3.41	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rhodanobacter;s__	94.43	3.41
Palsa.Labelled.R2.T2.F1.trimmomatic.metaspades_bin.87_95.64_1.67	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__DHC34;s__	95.64	1.67
Bog.Labelled.R3.T1.F2.JGI.BFC.metaspades_bin.24_88.79_7.84	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	88.79	7.84
Fen.Unlabelled.R1.T3.F2.trimmomatic.megahit_bin.30_89.60_0.83	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Firm-13;s__	89.60	0.83
Fen.Labelled.R3.T2.F4.JGI.BFC.metaspades_bin.9_70.09_1.38	d__Bacteria;p__Chloroflexota;c__Ellin6529;o__CSP1-4;f__CSP1-4;g__Fen-1039;s__	70.09	1.38
Palsa.Labelled.R3.T3.F1.trimmomatic.megahit_bin.68_78.23_1.85	d__Bacteria;p__Armatimonadota;c__BOG-944;o__Capsulimonadales;f__Capsulimonadaceae;g__;s__	78.23	1.85
Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.213_78.98_1.72	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	78.98	1.72
Bog.Labelled.R3.T1.F2.JGI.BFC.metaspades_bin.27_81.55_1.58	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Palsa-883;s__	81.55	1.58
Bog.Labelled.R3.T2.F2.JGI.BFC.metaspades_bin.14_72.01_1.38	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__RAAP-2;g__RAAP-2;s__RAAP-2 sp003138895	72.01	1.38
Bog.Unlabelled.R2.T3.F2.trimmomatic.megahit_bin.12_95.91_4.88	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__BOG-234;s__	95.91	4.88
Bog.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.35_71.82_3.72	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__UBA11358;s__	71.82	3.72
Palsa.Labelled.R3.T3.F3.trimmomatic.megahit_bin.132_78.35_6.03	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__;s__	78.35	6.03
Palsa.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.9_96.30_1.60	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__UBA8260;g__Palsa-851;s__	96.30	1.60
Bog.Labelled.R1.T3.F1.trimmomatic.metaspades_bin.81_78.60_6.64	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	78.60	6.64
Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.21_90.32_6.81	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Minicystis;s__	90.32	6.81
Bog.Unlabelled.R1.T1.F2.trimmomatic.megahit_bin.72_94.75_1.42	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Paludibacterium;s__	94.75	1.42
Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.170_78.25_2.74	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__Palsa-1447;s__	78.25	2.74
Fen.Labelled.R2.T3.F4.JGI.BFC.metaspades_bin.20_97.80_0.55	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__UBA5070;f__UBA5070;g__;s__	97.80	0.55
Palsa.Labelled.R3.T3.F3.JGI.BFC.metaspades_bin.69_83.31_3.71	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Bog-1198;s__	83.31	3.71
Bog.Unlabelled.R2.T2.F2.JGI.BFC.metaspades_bin.62_96.55_8.93	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	96.55	8.93
Bog.Labelled.R2.T2.F1.trimmomatic.metaspades_bin.133_93.11_1.26	d__Bacteria;p__FCPU426;c__Palsa-1180;o__Palsa-1180;f__Palsa-1180;g__Bog-1183;s__Bog-1183 sp003136635	93.11	1.26
Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.41_87.34_6.70	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Acidobacteriaceae;g__Terracidiphilus;s__	87.34	6.70
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.208_78.15_8.21	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__	78.15	8.21
Fen.Labelled.R1.T2.F2.JGI.BFC.metaspades_bin.1_95.57_1.13	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA1794;s__UBA1794 sp002315435	95.57	1.13
Bog.Labelled.R2.T2.F1.trimmomatic.megahit_bin.55_88.52_0.93	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__	88.52	0.93
Palsa.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.21_72.90_1.66	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__BOG-908;s__	72.90	1.66
Fen.Labelled.R1.T3.F4.trimmomatic.metaspades_bin.59_93.11_0.00	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__UBP12;f__UBA5184;g__Bog-1524;s__	93.11	0.00
