genome,Candidatus,spearman_correlation,statistic,p.value,method,alternative,p.adj,Data Origin,VIP Score,Module Color,Environmental Variable,Domain,Phylum,Class,Order,Family,Genus,Species,accession,Classification,GTDB-Tk_version,GTDB_closest_genome_reference_radius,GTDB_closest_genome_taxonomy,GTDB_closest_genome_ani,GTDB_classification_method,GTDB_note,Specialisation,Pathways
20120700_S1X_2,Acididegradans cibantis,0.827822581,854,6.95E-07,Spearman's rank correlation rho,two.sided,1E-05,Bog,4.897003597,blue,alphaC,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Bog-793,g__Fen-455,s__Fen-455 sp003139355,GCA_003139355.1,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Fen-455;s__Fen-455 sp003139355,NA,95,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Fen-455;s__Fen-455 sp003139355,99.88,ani_screen,classification based on ANI only,Generalist,sulfur_redox-assimilatory_sulfate_reduction; xylose_degradation-isomerase_pathway; propionate_fermentation-succinate_pathway; galactose_degradation-all; fructose_degradation-all; glycerol_degradation-glycerol; reductive_glycine-serine_pathway; reductive_glycine-acetyl_pathway; CAZy-Amorphous_Cellulose; CAZy-Chitin; CAZy-Fucose_Cleavage; CAZy-Starch; CAZy-Xylans; CAZy-Xyloglucan
PLGY01,Methanoflorens stordalenmirensis,0.817741935,904,7.88E-07,Spearman's rank correlation rho,two.sided,1E-05,Bog,4.098249078,blue,alphaC,d__Archaea,p__Halobacteriota,c__Bog-38,o__Bog-38,f__Bog-38,g__Bog-38,s__Bog-38 sp003139855,GCA_003139855.1,NA,NA,95,d__Archaea;p__Halobacteriota;c__Bog-38;o__Bog-38;f__Bog-38;g__Bog-38;s__Bog-38 sp003139855,98.73,ani_screen,classification based on ANI only,Methanogen,Wood_Ljungdahl-methanogen; CAZy-Polyphenolics; hydrogenotrophic_methanogenesis-all
20170700_S25_14,Acidimolecula latum,0.784347826,496,9.23E-06,Spearman's rank correlation rho,two.sided,3.88E-05,Bog,1.851241799,blue,alphaC,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__,GCA_003138515.1,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Occallatibacter;s__,NA,N/A,N/A,N/A,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,Generalist,chemotaxis-all; flagella_assembly-all; acetogenesis-simple; lactate_fermentation-all; lactose_degradation-all; galactose_degradation-all; sucrose_degradation-all; CAZy-Amorphous_Cellulose; CAZy-Arabinan; CAZy-Arabinose_cleavage; CAZy-Chitin; CAZy-Fucose_Cleavage; CAZy-Mixed_Linkage_glucans; CAZy-Pectin; CAZy-Polyphenolics; CAZy-Starch; CAZy-Xylans; CAZy-Xyloglucan
20170700_S25_26,Acidiflorens stordalenmirensis,0.779967159,804,2.96E-06,Spearman's rank correlation rho,two.sided,2E-05,Bog,3.451262652,blue,alphaC,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__Bog-209,s__Bog-209 sp003139995,GCA_003139995.1,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__QIAJ01;s__QIAJ01 sp003139995,NA,95,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__QIAJ01;s__QIAJ01 sp003139995,99.86,ani_screen,classification based on ANI only,Generalist,chemotaxis-all; urea_degradation-all; lactate_fermentation-all; lactose_degradation-all; galactose_degradation-all; sucrose_degradation-all; fructose_degradation-all; reductive_glycine-serine_pathway; reductive_glycine-acetyl_pathway; CAZy-Amorphous_Cellulose; CAZy-Arabinan; CAZy-Arabinose_cleavage; CAZy-Chitin; CAZy-Fucose_Cleavage; CAZy-Pectin; CAZy-Starch; CAZy-Xylans; CAZy-Xyloglucan
3300037175_6,Acidiacetogenum stordalenmirensis,0.734782609,610,6.79E-05,Spearman's rank correlation rho,two.sided,1.9E-04,Bog,1.567161704,blue,alphaC,d__Bacteria,p__Firmicutes_B,c__Moorellia,o__Thermacetogeniales,f__Thermacetogeniaceae,g__Palsa-1188,s__Palsa-1188 sp003160265,GCA_003160265.1,d__Bacteria;p__Bacillota_B;c__DSM-12270;o__Thermacetogeniales;f__Thermacetogeniaceae;g__Palsa-1188;s__Palsa-1188 sp003160265,NA,95,d__Bacteria;p__Bacillota_B;c__DSM-12270;o__Thermacetogeniales;f__Thermacetogeniaceae;g__Palsa-1188;s__Palsa-1188 sp003160265,98,ani_screen,classification based on ANI only,Homoacetogen,chemotaxis-all; flagella_assembly-all; phosphorous_redox-assimilatory_phosphonate_oxidation; acetogenesis-simple; fructose_degradation-all; mannose_degradation-all; Wood_Ljungdahl-acetogen; reductive_glycine-serine_pathway; reductive_glycine-acetyl_pathway; CAZy-Chitin; CAZy-Polyphenolics; CAZy-Starch
20170700_S25_9,Acidimolecula amplum,0.732492997,1910,1.7E-06,Spearman's rank correlation rho,two.sided,1E-05,Bog,1.93589918,blue,alphaC,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003161045,GCA_003161045.1,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Occallatibacter;s__Occallatibacter sp003161045,NA,95,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Occallatibacter;s__Occallatibacter sp003161045,99.79,ani_screen,classification based on ANI only,Macromolecule Degrader,chemotaxis-all; flagella_assembly-all; acetogenesis-simple; CAZy-Chitin; CAZy-Starch
20110800_E3D_9,Acididegradans virginiarichiae,0.670300334,1482,7.65E-05,Spearman's rank correlation rho,two.sided,1.9E-04,Bog,1.941937886,blue,alphaC,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Bog-793,g__Fen-455,s__Fen-455 sp003170375,GCA_003170375.1,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Fen-455;s__Fen-455 sp003170375,NA,95,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Bog-793;g__Fen-455;s__Fen-455 sp003170375,99.64,ani_screen,classification based on ANI only,Generalist,sulfur_redox-assimilatory_sulfate_reduction; xylose_degradation-isomerase_pathway; lactate_fermentation-all; galactose_degradation-all; fructose_degradation-all; glycerol_degradation-glycerol; glycerol_degradation-glycerone; reductive_glycine-serine_pathway; reductive_glycine-acetyl_pathway; CAZy-Amorphous_Cellulose; CAZy-Chitin; CAZy-Starch; CAZy-Xyloglucan
20110800_S1D_14,Abiskobacterium ruthvarnerae,0.641252865,2348,6.47E-05,Spearman's rank correlation rho,two.sided,1.9E-04,Bog,1.483848167,blue,alphaC,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-159,s__Bog-159 sp003166475,GCA_003166475.1,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Bog-159;s__Bog-159 sp003166475,NA,95,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Bog-159;s__Bog-159 sp003166475,99.85,ani_screen,classification based on ANI only,Generalist,flagella_assembly-all; ethanol_fermentation-all; propionate_fermentation-succinate_pathway; butanoate_fermentation-acetyl_coa_pathway; lactose_degradation-all; galactose_degradation-all; sucrose_degradation-all; fructose_degradation-all; galacturonic_acid_degradation-all; glycerol_degradation-glycerol; CAZy-Amorphous_Cellulose; CAZy-Arabinan; CAZy-Arabinose_cleavage; CAZy-Chitin; CAZy-Fucose_Cleavage; CAZy-Mixed_Linkage_glucans; CAZy-Pectin; CAZy-Polyphenolics; CAZy-Starch; CAZy-Sulf_Polysachharides; CAZy-Xylans; CAZy-Xyloglucan
20140700_E22_12,Changshenia,0.626610644,2666,8.1E-05,Spearman's rank correlation rho,two.sided,1.9E-04,Bog,2.323478471,blue,alphaC,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__UBA8260,f__UBA8260,g__UBA8260,s__UBA8260 sp003135255,GCA_003135255.1,d__Bacteria;p__Chloroflexota;c__Dormibacteria;o__UBA8260;f__UBA8260;g__UBA8260;s__UBA8260 sp003135255,NA,95,d__Bacteria;p__Chloroflexota;c__Dormibacteria;o__UBA8260;f__UBA8260;g__UBA8260;s__UBA8260 sp003135255,99.56,ani_screen,classification based on ANI only,Generalist,chemotaxis-all; sulfur_redox-dissimilatory_sulfur_oxidation; xylose_degradation-isomerase_pathway; lactate_fermentation-all; galactose_degradation-all; glycerol_degradation-glycerol; glycerol_degradation-glycerone; reductive_glycine-serine_pathway; reductive_glycine-acetyl_pathway; CAZy-Amorphous_Cellulose; CAZy-Chitin; CAZy-Starch
20160700_S15_2,Acidiflorens viviennsis,0.606283422,2356,2.46E-04,Spearman's rank correlation rho,two.sided,4.7E-04,Bog,1.17388582,blue,alphaC,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__Bog-209,s__,GCA_003139995.1,d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__QIAJ01;s__,NA,N/A,N/A,N/A,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,Generalist,chemotaxis-all; sulfur_redox-assimilatory_sulfate_reduction; xylose_degradation-isomerase_pathway; ethanol_fermentation-all; lactate_fermentation-all; lactose_degradation-all; galactose_degradation-all; sucrose_degradation-all; fructose_degradation-all; Calvin_Benson-all; CAZy-Amorphous_Cellulose; CAZy-Arabinose_cleavage; CAZy-Chitin; CAZy-Pectin; CAZy-Polyphenolics; CAZy-Starch; CAZy-Xylans; CAZy-Xyloglucan
