seqname,tax_id
UniRef90_A0A3N1Y0P9,NxrB
UniRef90_A0A7C5G816,NxrB
UniRef90_A0A0F3GW20,NxrB
UniRef90_A0A125P022,NxrB
UniRef90_A0A8F1WHW7,NxrB
UniRef90_A0A0F9JNT1,NxrB
UniRef90_A0A109CF93,NxrB
UniRef90_A0A1F9ETC5,NxrB
UniRef90_A0A7J5EZB2,NxrB
UniRef90_A0A1F9E7H8,NxrB
UniRef90_A0A2M7G0D3,NxrB
UniRef90_A0A2N1UUX8,NxrB
UniRef90_A0A1G1EH21,NxrB
UniRef90_A0A6B0T771,NxrB
UniRef90_A0A3R7FU28,NxrB
UniRef90_L0JPE2,NxrB
UniRef90_A0A1U7EWA9,NxrB
UniRef90_A0A6B0T5X9,NxrB
UniRef90_L0K6Z8,NxrB
UniRef90_M0MJX4,NxrB
UniRef90_A0A4U7DJD1,NxrB
UniRef90_UPI000677C797,NxrB
UniRef90_L9WSD3,NxrB
UniRef90_M0B1L8,NxrB
UniRef90_D2RRH5,NxrB
UniRef90_M0BGW1,NxrB
UniRef90_A0A6B0VTK2,NxrB
UniRef90_A0A1G9A3F4,NxrB
UniRef90_A0A3N6PHE6,NxrB
UniRef90_M0MR08,NxrB
UniRef90_A0A1F2XUL1,NxrB
UniRef90_A0A2N2LJR1,NxrB
GAL08_Ga0170566_11172,NxrB
UniRef90_A0A2H5VMX8,NxrB
UniRef90_A0A1F9U2N7,NxrB
UniRef90_A0A1F9U966,NxrB
UniRef90_A0A7V3NCD0,NxrB
UniRef90_A0A7V3T901,NxrB
UniRef90_A0A6V8NRN2,NxrB
UniRef90_A0A062V4L9,NxrB
UniRef90_A0A284VRX4,NxrB
UniRef90_A0A822IZ86,NxrB
UniRef90_A0A532UEH6,NxrB
UniRef90_A0A1G1ITM2,NxrB
UniRef90_A0A1G1NTU4,NxrB
UniRef90_A0A1G1KJZ5,NxrB
UniRef90_A0A1G1N1R3,NxrB
UniRef90_A0A522W898,NxrB
UniRef90_A0A1G1R3M5,NxrB
UniRef90_A0A7V1MMD1,NxrB
UniRef90_A0A7C1D1G1,NxrB
UniRef90_A0A2D6LDF0,NxrB
UniRef90_A0A7V1ECZ4,NxrB
BBJ23759|Nitrotoga_sp_AM1,NxrB
SPS06997|Nitrotoga_fabula,NxrB
UniRef90_UPI001BB485D9,NxrB
