Protein Name	EC#	Reference	Organism	GenBank	Uniprot	PDB/3D	Taxonomy	Nrow_before_sepGenbank	FamilyName
pullulanase (ApuA;Pul-Dm;Desmu_0653)	3.2.1.41		Desulfurococcus mucosus DSM 2162	AAG31033.1	E8R8Y5Q9HHB0		Archaea	100	GH13
pullulanase (ApuA;Pul-Dm;Desmu_0653)	3.2.1.41		Desulfurococcus mucosus DSM 2162	ADV64961.1	E8R8Y5Q9HHB0		Archaea	100	GH13
α-amylase (AmyH)	3.2.1.1	pubmed	Haloarcula hispanica DSM 4426	CAI64586.1	Q4A3E0		Archaea	100	GH13
α-amylase (MalA)	3.2.1.1		Haloarcula japonica TR-1	BAM75337.1	L8B068		Archaea	100	GH13
α-cyclomaltodextrin glucanotransferase (Cgt)	2.4.1.19		Haloferax mediterranei	CAI46245.1	Q53I75		Archaea	100	GH13
maltooligosyltrehalose trehalohydrolase (TreZ;MTH)	3.2.1.141		Metallosphaera hakonensis JCM 8857	AAR18372.1	Q6SZP6		Archaea	100	GH13
maltooligosyltrehalose synthase (TreY;MTS)	5.4.99.15		Metallosphaera hakonensis JCM 8857	AAR18371.1	Q6SZP7		Archaea	100	GH13
maltotriose-forming α-amylase	3.2.1.13.2.1.116	pubmedpubmed	Natronococcus sp. Ah-36	BAA05516.1	Q60224		Archaea	100	GH13
trehalose synthase (PTO0069)	5.4.99.16		Picrophilus torridus DSM 9790	AAT42654.1	Q6L2Z7		Archaea	100	GH13
trehalose synthase (PTO0069)	5.4.99.16		Picrophilus torridus DSM 9790	CBF79071.1	Q6L2Z7		Archaea	100	GH13
α-amylase / cyclomaltodextrinase (PFTA; PF1939) (Amy13)	3.2.1.13.2.1.54	pubmedpubmed	Pyrococcus furiosus DSM 3638	AAL82063.1	Q8TZP8	4AEF[A,B]	Archaea	100	GH13
α-amylase / cyclomaltodextrinase (PFTA; PF1939) (Amy13)	3.2.1.13.2.1.54	pubmedpubmed	Pyrococcus furiosus DSM 3638	CAZ78721.1	Q8TZP8	4AEF[A,B]	Archaea	100	GH13
α-amylase / cyclomaltodextrinase (PFTA; PF1939) (Amy13)	3.2.1.13.2.1.54	pubmedpubmed	Pyrococcus furiosus DSM 3638	NP_579668.1	Q8TZP8	4AEF[A,B]	Archaea	100	GH13
β-cyclodextrin glucanotransferase (PfCgt;PF0478;PF0478*)	2.4.1.19		Pyrococcus furiosus DSM 3638	ABA33720.1	Q3HUR2Q8U3I8		Archaea	100	GH13
β-cyclodextrin glucanotransferase (PfCgt;PF0478;PF0478*)	2.4.1.19		Pyrococcus furiosus DSM 3638	AAL80602.1	Q3HUR2Q8U3I8		Archaea	100	GH13
β-cyclodextrin glucanotransferase (PfCgt;PF0478;PF0478*)	2.4.1.19		Pyrococcus furiosus DSM 3638	ABA30024.1	Q3HUR2Q8U3I8		Archaea	100	GH13
β-cyclodextrin glucanotransferase (PfCgt;PF0478;PF0478*)	2.4.1.19		Pyrococcus furiosus DSM 3638	ABA30025.1	Q3HUR2Q8U3I8		Archaea	100	GH13
β-cyclodextrin glucanotransferase (PfCgt;PF0478;PF0478*)	2.4.1.19		Pyrococcus furiosus DSM 3638	NP_578207.1	Q3HUR2Q8U3I8		Archaea	100	GH13
α-amylase (AmyA; PFA; PF0477)	3.2.1.1	pubmed	Pyrococcus furiosus DSM 3638	NP_578206.1	O08452Q8U3I9		Archaea	100	GH13
α-amylase (AmyA; PFA; PF0477)	3.2.1.1	pubmed	Pyrococcus furiosus DSM 3638	AAB67705.1	O08452Q8U3I9		Archaea	100	GH13
α-amylase (AmyA; PFA; PF0477)	3.2.1.1	pubmed	Pyrococcus furiosus DSM 3638	AAC45663.1	O08452Q8U3I9		Archaea	100	GH13
α-amylase (AmyA; PFA; PF0477)	3.2.1.1	pubmed	Pyrococcus furiosus DSM 3638	AAL80601.1	O08452Q8U3I9		Archaea	100	GH13
α-amylase (AmyA)	3.2.1.1		Pyrococcus woesei	AAD54338.1	Q7LYT7Q9P9L0	1MWO[A]1MXD[A]1MXG[A]	Archaea	100	GH13
α-amylase (AmyA)	3.2.1.1		Pyrococcus woesei	AAF44693.1	Q7LYT7Q9P9L0	1MWO[A]1MXD[A]1MXG[A]	Archaea	100	GH13
α-amylase (AmyA)	3.2.1.1		Pyrococcus woesei	ACH26211.1	Q7LYT7Q9P9L0	1MWO[A]1MXD[A]1MXG[A]	Archaea	100	GH13
glycogen debranching enzyme (TreX)	2.4.1.253.2.1.68		Saccharolobus shibatae B12	AAM81590.1	Q8NKQ3		Archaea	100	GH13
glycogen debranching enzyme (TreX)	2.4.1.253.2.1.68		Saccharolobus shibatae B12	QXJ29377.1	Q8NKQ3		Archaea	100	GH13
maltooligosyltrehalose synthase (SsTDFE; TreY; J5U23_02247)	5.4.99.15	pubmed	Saccharolobus shibatae B12	AAM81591.1	Q7LYV2Q9UWN8	5ZCR[A,B]	Archaea	100	GH13
maltooligosyltrehalose synthase (SsTDFE; TreY; J5U23_02247)	5.4.99.15	pubmed	Saccharolobus shibatae B12	AAF17554.1	Q7LYV2Q9UWN8	5ZCR[A,B]	Archaea	100	GH13
