seqname,tax_id
UniRef90_A0A1Q8QQK7,periplasmic_NxrA
UniRef90_UPI00192798AF,periplasmic_NxrA
UniRef90_A0A2N6AP46,periplasmic_NxrA
UniRef90_A0A2N6B0W9,periplasmic_NxrA
UniRef90_A0A1I1FMY6,periplasmic_NxrA
UniRef90_UPI0018EF0EF2,periplasmic_NxrA
UniRef90_A0A327KXH4,periplasmic_NxrA
UniRef90_A0A0C2UV36,periplasmic_NxrA
UniRef90_A0A6L4YJ72,periplasmic_NxrA
UniRef90_UPI000B4009FC,periplasmic_NxrA
UniRef90_UPI000FDF2B0D,periplasmic_NxrA
UniRef90_UPI001CD9F579,periplasmic_NxrA
UniRef90_A0A6B0SP63,periplasmic_NxrA
UniRef90_UPI000EF7E563,periplasmic_NxrA
UniRef90_UPI000EF7FC75,periplasmic_NxrA
UniRef90_A0A1Q1FM16,periplasmic_NxrA
UniRef90_L9ZTK0,periplasmic_NxrA
UniRef90_UPI0018785231,periplasmic_NxrA
UniRef90_A0A6G8T9J2,periplasmic_NxrA
UniRef90_UPI00106EE281,periplasmic_NxrA
UniRef90_M0ADD3,periplasmic_NxrA
UniRef90_UPI00107FB758,periplasmic_NxrA
UniRef90_UPI001CF079E7,periplasmic_NxrA
UniRef90_B4U7B7,periplasmic_NxrA
UniRef90_A0A3M2DDU3,periplasmic_NxrA
UniRef90_A0A2H5WI86,periplasmic_NxrA
UniRef90_A0A2H6AU61,periplasmic_NxrA
UniRef90_A0A2E8ED67,periplasmic_NxrA
UniRef90_A0A1F9Z573,periplasmic_NxrA
UniRef90_A0A1F9ZAR4,periplasmic_NxrA
UniRef90_A0A1G0AHG4,periplasmic_NxrA
UniRef90_A0A7J2Y731,periplasmic_NxrA
UniRef90_A0A2R4ZR32,periplasmic_NxrA
UniRef90_A0A7C5QQ15,periplasmic_NxrA
UniRef90_A0A1F2QDY7,periplasmic_NxrA
UniRef90_A0A2H5YHT1,periplasmic_NxrA
UniRef90_A0A399XNR9,periplasmic_NxrA
UniRef90_A0A3S0EG36,periplasmic_NxrA
UniRef90_A0A539DWB8,periplasmic_NxrA
UniRef90_A0A521TM92,periplasmic_NxrA
UniRef90_A0A7C2VNS7,periplasmic_NxrA
UniRef90_H5SMJ1,periplasmic_NxrA
UniRef90_A0A0F2IXX7,periplasmic_NxrA
UniRef90_A0A3A4W2K0,periplasmic_NxrA
UniRef90_A0A3M0XDI5,periplasmic_NxrA
UniRef90_A0A7V5W536,periplasmic_NxrA
GAL08_Ga0170566_11174,periplasmic_NxrA
UniRef90_A0A2H5W0U1,periplasmic_NxrA
UniRef90_A0A3B9ZGS7,periplasmic_NxrA
UniRef90_A0A522W884,periplasmic_NxrA
UniRef90_A0A7V1H416,periplasmic_NxrA
UniRef90_A0A0F9KSM4,periplasmic_NxrA
UniRef90_A0A2D6LDG2,periplasmic_NxrA
UniRef90_A0A532UEH4,periplasmic_NxrA
UniRef90_A0A7C1CZL1,periplasmic_NxrA
UniRef90_A0A1F9U2P1,periplasmic_NxrA
UniRef90_A0A1F9U944,periplasmic_NxrA
UniRef90_A0A7V3JKY2,periplasmic_NxrA
UniRef90_A0A7V3T950,periplasmic_NxrA
