Protein Name	EC#	Reference	Organism	GenBank	Uniprot	PDB/3D	Taxonomy	Nrow_before_sepGenbank	FamilyName
xylanase A or U / acetylxylan esterase (XynA;XynU;CtCE4;LX4) (Xyn11A)	3.2.1.8	pubmed	Acetivibrio thermocellus F1 / YS	AAC04579.1	O52780O87119		Bacteria	100	GH11
xylanase A or U / acetylxylan esterase (XynA;XynU;CtCE4;LX4) (Xyn11A)	3.2.1.8	pubmed	Acetivibrio thermocellus F1 / YS	BAA33543.1	O52780O87119		Bacteria	100	GH11
xylanase (DIU60_09020)	3.2.1.8	pubmed	Actinomycetia bacterium	PZN45477.1		7EO6[A,B]	Bacteria	100	GH11
xylanase (XynA)	3.2.1.8	pubmed	Bacillus amyloliquefaciens CH51	ADK92885.1	E0YL13		Bacteria	100	GH11
endo-β-1,4-xylanase (Xyn11)	3.2.1.8	doi	Bacillus licheniformis I5	ABF61784.1	A5H0S3		Bacteria	100	GH11
xylanase (Xyn11)	3.2.1.8	pubmed	Bacillus licheniformis MS5-14	ACF05486.1	B5SYI8		Bacteria	100	GH11
xylanase (XynA;BaLi_c05970)	3.2.1.8	pubmed	Bacillus paralicheniformis ATCC 9945a	AGN35000.1			Bacteria	100	GH11
xylanase A (XynA)	3.2.1.8	pubmed	Bacillus pumilus	AAS18312.1	P00694Q5EFR9Q8RMN7		Bacteria	100	GH11
xylanase A (XynA)	3.2.1.8	pubmed	Bacillus pumilus	AAM08361.1	P00694Q5EFR9Q8RMN7		Bacteria	100	GH11
xylanase A (XynA)	3.2.1.8	pubmed	Bacillus pumilus	AAS31735.1	P00694Q5EFR9Q8RMN7		Bacteria	100	GH11
xylanase A (XynA)	3.2.1.8	pubmed	Bacillus pumilus	AAW78222.1	P00694Q5EFR9Q8RMN7		Bacteria	100	GH11
xylanase A (XynA)	3.2.1.8	pubmed	Bacillus pumilus	ABH92519.1	P00694Q5EFR9Q8RMN7		Bacteria	100	GH11
xylanase A (XynA)	3.2.1.8	pubmed	Bacillus pumilus	ACQ19009.1	P00694Q5EFR9Q8RMN7		Bacteria	100	GH11
xylanase A (XynA)	3.2.1.8	pubmed	Bacillus pumilus	ACR92614.1	P00694Q5EFR9Q8RMN7		Bacteria	100	GH11
xylanase A (XynA)	3.2.1.8	pubmed	Bacillus pumilus	CAA25278.1	P00694Q5EFR9Q8RMN7		Bacteria	100	GH11
β-xylanase (XynA)	3.2.1.8	pubmed	Bacillus pumilus ARA	ADK27486.1	E2IHA1		Bacteria	100	GH11
xylanase (XylP)	3.2.1.8	URL	Bacillus pumilus HY-20	ACU56779.1	C8CB65		Bacteria	100	GH11
endo-β-1,4-xylanase (Xyl;Xyl687)	3.2.1.8	pubmed	Bacillus pumilus MK001	AFK33222.1	I3RYY0		Bacteria	100	GH11
xylanase	3.2.1.8	pubmed	Bacillus pumilus PJ19	ABI93796.1	Q06RH9		Bacteria	100	GH11
xylanase (XynA)	3.2.1.8	pubmed	Bacillus pumilus XY1	ABM54186.1	P00694Q5EFR9		Bacteria	100	GH11
endo-β-1,4-xylanase A (XynA;XynB)	3.2.1.8	pubmed	Bacillus sp. (in: Bacteria)	AAD10834.1	Q9ZB36		Bacteria	100	GH11
xylanase J (XynJ)	3.2.1.8	pubmed	Bacillus sp. 41M-1	BAA82316.1	Q9RC94	2DCJ[A,B]2DCK[A]6KJL[A,B]6KKA[A,B]	Bacteria	100	GH11
xylanase J (XynJ)	3.2.1.8	pubmed	Bacillus sp. 41M-1	AAS31755.1	Q9RC94	2DCJ[A,B]2DCK[A]6KJL[A,B]6KKA[A,B]	Bacteria	100	GH11
endo-β-1,4-xylanase A (XynA;XG)	3.2.1.8	pubmed	Bacillus sp. BP-7	CAD60654.1	Q84F19		Bacteria	100	GH11
xylanase (XynHB)	3.2.1.8	doi	Bacillus sp. HBP8	AAX54695.1	Q58G72		Bacteria	100	GH11
xylanase (ATBXYL-C;XylC1;XylC2;XylC3)	3.2.1.8	pubmed	Bacillus sp. NCL 87-6-10	AEP40124.1	G4XQJ9G4XQK0G4XQK1Q7SIE3	2F6B[A,B]	Bacteria	100	GH11
xylanase (ATBXYL-C;XylC1;XylC2;XylC3)	3.2.1.8	pubmed	Bacillus sp. NCL 87-6-10	AEP40122.1	G4XQJ9G4XQK0G4XQK1Q7SIE3	2F6B[A,B]	Bacteria	100	GH11
xylanase (ATBXYL-C;XylC1;XylC2;XylC3)	3.2.1.8	pubmed	Bacillus sp. NCL 87-6-10	AEP40123.1	G4XQJ9G4XQK0G4XQK1Q7SIE3	2F6B[A,B]	Bacteria	100	GH11
xylanase (Xyn11A-LC) (Xyn11A)	3.2.1.8	pubmed	Bacillus sp. SN5	AGL92443.1	V9NCQ7	4IXL[A,B]	Bacteria	100	GH11
xylanase S (XynS)	3.2.1.8	URL	Bacillus sp. YA-14	CAA41783.1	Q59256		Bacteria	100	GH11
xylanase (XynY)	3.2.1.8	URL	Bacillus sp. YA-335	CAA41784.1	Q59257		Bacteria	100	GH11
xylanase	3.2.1.8	pubmed	Bacillus sp. YJ6	ACR47980.1	C5MTD6		Bacteria	100	GH11
xylanase	3.2.1.8	pubmed	Bacillus subtilis AK1	ABA64459.1	Q3HLJ4		Bacteria	100	GH11
β-1,4-xylanase (XylA)	3.2.1.8	pubmed	Bacillus subtilis AMX-4	ACT79298.1	C7F433		Bacteria	100	GH11
endoxylanase	3.2.1.8	pubmed	Bacillus subtilis AQ1	ACV40160.1	D7F2D8		Bacteria	100	GH11
xylanase (halotolerant) (partial)	3.2.1.8	doi	Bacillus subtilis cho40	ADN03187.1	E0YTQ6		Bacteria	100	GH11
xylanase (LC9)	3.2.1.8	pubmed	Bacillus subtilis Lucky9	ANC94865.1			Bacteria	100	GH11
endo-β-1,4-xylanase (XylB)	3.2.1.8	pubmed	Bacillus subtilis MW10	AAZ17393.1	P18429Q45VU1		Bacteria	100	GH11
xylanase (Xyl)	3.2.1.8	pubmed	Bacillus subtilis R5 / Bacillus subtilis M015	BAH28803.1	B9ZZN9		Bacteria	100	GH11
xylanase (Xyl)	3.2.1.8	pubmed	Bacillus subtilis R5 / Bacillus subtilis M015	ACX32454.1	B9ZZN9		Bacteria	100	GH11
xylanase A (XynA;BsxA;BsXynA;BSU18840)	3.2.1.8	pubmed	Bacillus subtilis subsp. subtilis str. 168	CAB13776.1	A0A6M4JHE2P18429Q59254Q8RMN9	1AXK[A]1XXN[A]2B45[X]2B46[X]2DCY[A,B,C,D,E]2DCZ[A,B]2QZ3[A,B]2Z79[A,B]3EXU[A,B]5K9Y[A,B]	Bacteria	100	GH11
xylanase A (XynA;BsxA;BsXynA;BSU18840)	3.2.1.8	pubmed	Bacillus subtilis subsp. subtilis str. 168	AAA22897.1	A0A6M4JHE2P18429Q59254Q8RMN9	1AXK[A]1XXN[A]2B45[X]2B46[X]2DCY[A,B,C,D,E]2DCZ[A,B]2QZ3[A,B]2Z79[A,B]3EXU[A,B]5K9Y[A,B]	Bacteria	100	GH11
xylanase A (XynA;BsxA;BsXynA;BSU18840)	3.2.1.8	pubmed	Bacillus subtilis subsp. subtilis str. 168	AAB84458.1	A0A6M4JHE2P18429Q59254Q8RMN9	1AXK[A]1XXN[A]2B45[X]2B46[X]2DCY[A,B,C,D,E]2DCZ[A,B]2QZ3[A,B]2Z79[A,B]3EXU[A,B]5K9Y[A,B]	Bacteria	100	GH11
