Protein Name	EC#	Reference	Organism	GenBank	Uniprot	PDB/3D	Taxonomy	Nrow_before_sepGenbank	FamilyName
β-1,3-glucanosyltransglucosidase (Glt7;Avin_39140)	2.4.1.-	pubmed	Azotobacter vinelandii DJ ATCC BAA-1303	ACO80054.1	C1DSW1		Bacteria	51	GH17
laminarinase (FaGH17A ; BN863_18720)	3.2.1.39	pubmed	Formosa agariphila KMM 3901	CDF79584.1			Bacteria	51	GH17
debranched laminarin-specific laminarinase (FbGH17B; FORMB_24740)	3.2.1.39	pubmed	Formosa sp. Hel1_33_131	AOR29491.1	A0A1D7Y1M4		Bacteria	51	GH17
laminarinase (FbGH17A; FORMB_24720)	3.2.1.39	pubmed	Formosa sp. Hel1_33_131	AOR29489.1	A0A1D7Y259	6FCG[A,B,C,D,E,F]	Bacteria	51	GH17
cyclic β-1-3-glucan synthase (NdvB;Glt1;PA1163)	2.4.1.-	pubmed	Pseudomonas aeruginosa PAO1	AAG04552.1	Q9I4H4		Bacteria	51	GH17
cyclic β-1-3-glucan synthase (NdvB;Glt1;PA1163)	2.4.1.-	pubmed	Pseudomonas aeruginosa PAO1	NP_249854.1	Q9I4H4		Bacteria	51	GH17
β-1,3-glucanosyltransglucosidase (Glt3;PP1526)	2.4.1.-	pubmed	Pseudomonas putida KT2440	AAN67147.1	Q88MP4		Bacteria	51	GH17
β-1,3-glucanosyltransglucosidase (Glt3;PP1526)	2.4.1.-	pubmed	Pseudomonas putida KT2440	NP_743683.1	Q88MP4		Bacteria	51	GH17
laminarinase (VbGH17A; B003_13785)	3.2.1.39	pubmed	Vibrio breoganii 1C10	OEF87991.1			Bacteria	51	GH17
endo-β-1,3-glucanase (VvGH17; AOT11_01225)	3.2.1.39	pubmed	Vibrio vulnificus NBRC 15645 = ATCC 27562	ASM98089.1			Bacteria	51	GH17
hesperidin 6-O-α-L-rhamnosyl-β-glucosidase (AMIS_8220)	3.2.1.168	pubmed	Actinoplanes missouriensis 431	BAL86042.1			Bacteria	50	GH55
laminarin-degrading enzyme (AMIS_27790)	3.2.1.58	pubmed	Actinoplanes missouriensis 431	BAL87999.1	I0H4R2		Bacteria	50	GH55
laminarin-degrading enzyme (AMIS_36420)	3.2.1.58	pubmed	Actinoplanes missouriensis 431	BAL88862.1	I0H775		Bacteria	50	GH55
laminarin-degrading enzyme (L083_2417)	3.2.1.58	pubmed	Actinoplanes sp. N902-109	AGL15927.1	R4L928		Bacteria	50	GH55
laminarin-degrading enzyme (Amir_1676)	3.2.1.58	pubmed	Actinosynnema mirum DSM 43827	ACU35625.1	C6WCK8		Bacteria	50	GH55
laminarin-degrading enzyme (RAM_26755)	3.2.1.58	pubmed	Amycolatopsis mediterranei S699	AEK43828.1	G0FTE1		Bacteria	50	GH55
laminarin-degrading enzyme (RAM_26755)	3.2.1.58	pubmed	Amycolatopsis mediterranei S699	AFO78726.1	G0FTE1		Bacteria	50	GH55
endo-β-1,3-glucanase / laminarinase (GluA)	3.2.1.39	pubmed	Arthrobacter sp. NHB-10	BAF52916.1	A4PHQ5		Bacteria	50	GH55
laminarin-degrading enzyme (bgla_2g01330)	3.2.1.58	pubmed	Burkholderia gladioli BSR3	AEA62613.1	F2LJF2		Bacteria	50	GH55
