Protein Name	EC#	Reference	Organism	GenBank	Uniprot	PDB/3D	Taxonomy	Nrow_before_sepGenbank	FamilyName
cellobiohydrolase A (CbhA;Celf_1925) (Cel6B)	3.2.1.91	pubmed	Cellulomonas fimi ATCC 484	AAC36898.1	P50401	7CBD[A]	Bacteria	79	GH6
cellobiohydrolase A (CbhA;Celf_1925) (Cel6B)	3.2.1.91	pubmed	Cellulomonas fimi ATCC 484	ABH87631.1	P50401	7CBD[A]	Bacteria	79	GH6
cellobiohydrolase A (CbhA;Celf_1925) (Cel6B)	3.2.1.91	pubmed	Cellulomonas fimi ATCC 484	AEE46055.1	P50401	7CBD[A]	Bacteria	79	GH6
endo-β-1,4-glucanase A (CenA;Celf_3184) (Cel6A)	3.2.1.4	pubmed	Cellulomonas fimi ATCC 484	AEE47298.1	F4GZY2P07984		Bacteria	79	GH6
endo-β-1,4-glucanase A (CenA;Celf_3184) (Cel6A)	3.2.1.4	pubmed	Cellulomonas fimi ATCC 484	AAA23084.1	F4GZY2P07984		Bacteria	79	GH6
endo-β-1,4-glucanase A (CenA;Celf_3184) (Cel6A)	3.2.1.4	pubmed	Cellulomonas fimi ATCC 484	AAE59939.1	F4GZY2P07984		Bacteria	79	GH6
endo-β-1,4-glucanase (CelL)	3.2.1.4	pubmed	Cellulosimicrobium funkei HY-13	ALK04194.1	A0A0P0IZM9		Bacteria	79	GH6
exo-β-1,4-xylanase (XylK2)	3.2.1.8	pubmed	Cellulosimicrobium sp. HY-13	ADR71224.1	E5LP78		Bacteria	79	GH6
cellobiohydrolase 6A (CJA_2473) (Cel6A)	3.2.1.91	pubmed	Cellvibrio japonicus Ueda107	ACE85978.1	B3PKK5		Bacteria	79	GH6
endo-β-1,4-glucanase (CenA;MCenA)	3.2.1.4	pubmed	Micromonospora cellulolyticum	AAC60491.1	Q53488		Bacteria	79	GH6
endoglucanase (CelA1;CelA;Rv0062;MTV030.05) (Cel6)	3.2.1.4	pubmed	Mycobacterium tuberculosis H37Rv	CAA16243.1	Q79G13	1UOZ[A]1UP0[A]1UP2[A]1UP3[A]	Bacteria	79	GH6
endoglucanase (CelA1;CelA;Rv0062;MTV030.05) (Cel6)	3.2.1.4	pubmed	Mycobacterium tuberculosis H37Rv	AFN47905.1	Q79G13	1UOZ[A]1UP0[A]1UP2[A]1UP3[A]	Bacteria	79	GH6
endoglucanase (CelA1;CelA;Rv0062;MTV030.05) (Cel6)	3.2.1.4	pubmed	Mycobacterium tuberculosis H37Rv	CAE55238.1	Q79G13	1UOZ[A]1UP0[A]1UP2[A]1UP3[A]	Bacteria	79	GH6
