Protein Name	EC#	Reference	Organism	GenBank	Uniprot	PDB/3D	Taxonomy	Nrow_before_sepGenbank	FamilyName
endo-α-1,2-mannosidase (BtGH99;BT3862) (BtGH99)	3.2.1.1303.2.1.198	pubmedpubmed	Bacteroides thetaiotaomicron VPI-5482	AAO78967.1	Q8A109	4ACY[A,B]4ACZ[A,B]4AD0[A,B,C,D]	Bacteria	6	GH99
endo-α-1,2-mannosidase (BtGH99;BT3862) (BtGH99)	3.2.1.1303.2.1.198	pubmedpubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812773.1	Q8A109	4ACY[A,B]4ACZ[A,B]4AD0[A,B,C,D]	Bacteria	6	GH99
endo-α-1,2-mannosidase (BxGH99;EndoMan;BXY_34140) (BxGH99)	3.2.1.1303.2.1.198	pubmedpubmed	Bacteroides xylanisolvens XB1A	CBK68409.1	D6D1V7	4AD1[A]4AD2[A,B,C,D]4AD3[A,B,C,D]4AD4[A]4AD5[A]4UTF[A]4V27[A]4V28[A]5LYR[A]5M03[A]5M17[A]5M3W[A]5M5D[A]5MC8[A]5MEL[A]6FAM[A]6FAR[A]6FWG[A]6FWI[A]6FWJ[A]6FWL[A]6FWM[A]6FWO[A]6FWP[A]6FWQ[A]6HMG[A]6HMH[A]6ZJ6[AAA]	Bacteria	6	GH99
endo-α-1,2-mannosidase (Sama99;Sama_0297)	3.2.1.130	pubmed	Shewanella amazonensis SB2B	ABL98508.1	A1S2A2		Bacteria	6	GH99
α-1,6-mannanase (BtGH76-MD40; Btheta7330_05006)	3.2.1.101	pubmed	Bacteroides thetaiotaomicron 7330	ALJ44520.1	A0A0P0FW82	6U4Z[A]	Bacteria	12	GH76
endo-α-1,6-mannanase (BT3782;BT_3782)	3.2.1.101	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO78887.1	Q8A184	4MU9[A,B]	Bacteria	12	GH76
endo-α-1,6-mannanase (BT3782;BT_3782)	3.2.1.101	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812693.1	Q8A184	4MU9[A,B]	Bacteria	12	GH76
endo-α-1,6-mannanase (BT2631)	3.2.1.101	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO77738.1	Q8A4G8		Bacteria	12	GH76
endo-α-1,6-mannanase (BT2631)	3.2.1.101	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_811544.1	Q8A4G8		Bacteria	12	GH76
endo-α-1,6-mannanase (BT2623)	3.2.1.101	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO77730.1	Q8A4H6		Bacteria	12	GH76
endo-α-1,6-mannanase (BT2623)	3.2.1.101	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_811536.1	Q8A4H6		Bacteria	12	GH76
endo-α-1,6-mannanase (BT3792)	3.2.1.101	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO78897.1	Q8A174	4C1S[A,B]	Bacteria	12	GH76
endo-α-1,6-mannanase (BT3792)	3.2.1.101	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812703.1	Q8A174	4C1S[A,B]	Bacteria	12	GH76
endo-α-1,6-mannanase (Aman6)	3.2.1.101	pubmed	Niallia circulans TN31 / TN-31	BAA75632.1	Q9Z4P9	4BOJ[A,B,C]4BOK[A]4D4A[A,B]4D4B[A,B]4D4C[A,B]4D4D[A,B]5AGD[A,B]5M77[A,B]5N0F[A,B]6ZBM[A]6ZBW[A,B]6ZBX[A,B]7NL5[A]	Bacteria	12	GH76
α-1,6-mannanase (ShGH76)	3.2.1.101	pubmed	Salegentibacter sp. Hel_I_6	WP_037317868.1		6SHD[A,B,C]6SHM[A]6Y8F[A]	Bacteria	12	GH76
α-glucosidase activity on pNP-α-D-maltopyranoside (STAUR_0381)	3.2.1.20	pubmed	Stigmatella aurantiaca DW4/3-1	ADO68190.1	Q08R12		Bacteria	12	GH76
mannosyl-oligosaccharide α-1,2-mannosidase (BT3990)	3.2.1.113	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO79095.1	Q8A0N1	2WVX[A,B,C,D]2WVZ[A,B,C,D]2WW0[A,B,C,D,E,F,G,H]2WW1[A,B,C,D]2WW3[A,B,C,D,E,F]2WZS[A,B,C,D,E,F,G,H]	Bacteria	35	GH92
mannosyl-oligosaccharide α-1,2-mannosidase (BT3990)	3.2.1.113	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812901.1	Q8A0N1	2WVX[A,B,C,D]2WVZ[A,B,C,D]2WW0[A,B,C,D,E,F,G,H]2WW1[A,B,C,D]2WW3[A,B,C,D,E,F]2WZS[A,B,C,D,E,F,G,H]	Bacteria	35	GH92
mannosyl-oligosaccharide α-1,2-mannosidase (BT2199)	3.2.1.113	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO77306.1	Q8A5N9	2WVY[A,B,C]2WW2[A,B,C]	Bacteria	35	GH92
mannosyl-oligosaccharide α-1,2-mannosidase (BT2199)	3.2.1.113	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_811112.1	Q8A5N9	2WVY[A,B,C]2WW2[A,B,C]	Bacteria	35	GH92
α-mannosidase (BT3527)	3.2.1.24	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO78633.1	Q8A1Y1		Bacteria	35	GH92
α-mannosidase (BT3527)	3.2.1.24	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812439.1	Q8A1Y1		Bacteria	35	GH92
α-1,2-mannosidase (BT3962)	3.2.1.113	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO79067.1	Q8A0Q9		Bacteria	35	GH92
α-1,2-mannosidase (BT3962)	3.2.1.113	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812873.1	Q8A0Q9		Bacteria	35	GH92
α-1,2-mannosidase (BT3784)	3.2.1.113	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO78889.1	Q8A182		Bacteria	35	GH92
α-1,2-mannosidase (BT3784)	3.2.1.113	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_812695.1	Q8A182		Bacteria	35	GH92
α-mannan α-1,2-mannosidase (BT2629)	3.2.1.113	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO77736.1	Q8A4H0		Bacteria	35	GH92
α-mannan α-1,2-mannosidase (BT2629)	3.2.1.113	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_811542.1	Q8A4H0		Bacteria	35	GH92
α-1,2-mannosidase (BT4092)	3.2.1.113	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO79197.1	Q8A0C9		Bacteria	35	GH92
α-1,2-mannosidase (BT4092)	3.2.1.113	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_813003.1	Q8A0C9		Bacteria	35	GH92
α-1,3-mannosidase (BT1878)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO76985.1	Q8A6K3		Bacteria	35	GH92
α-1,3-mannosidase (BT1878)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	NP_810791.1	Q8A6K3		Bacteria	35	GH92
α-1,3-mannosidase (BT3130)	3.2.1.-	pubmed	Bacteroides thetaiotaomicron VPI-5482	AAO78236.1	Q8A325	6F8Z[A,B,C]6F90[A,B,C]	Bacteria	35	GH92
