Protein Name	EC#	Reference	Organism	GenBank	Uniprot	PDB/3D	Taxonomy	Nrow_before_sepGenbank	FamilyName
endo-α-N-acetylgalactosaminidase (BL0464)	3.2.1.97	pubmed	Bifidobacterium longum NCC2705	AAN24297.1	Q8G712		Bacteria	13	GH101
endo-α-N-acetylgalactosaminidase (BL0464)	3.2.1.97	pubmed	Bifidobacterium longum NCC2705	CAM83937.1	Q8G712		Bacteria	13	GH101
endo-α-N-acetylgalactosaminidase (BL0464)	3.2.1.97	pubmed	Bifidobacterium longum NCC2705	NP_695661.1	Q8G712		Bacteria	13	GH101
core 1 endo-α-N-acetylgalactosaminidase (EngBF;BLLJ_0168)	3.2.1.97	pubmed	Bifidobacterium longum subsp. longum JCM 1217	BAJ65838.1	A0A413AG90Q3T552	2ZXQ[A]6QEP[A]6QEV[B]6QFK[A]6QFO[A]6SH9[B]	Bacteria	13	GH101
core 1 endo-α-N-acetylgalactosaminidase (EngBF;BLLJ_0168)	3.2.1.97	pubmed	Bifidobacterium longum subsp. longum JCM 1217	AAX44931.1	A0A413AG90Q3T552	2ZXQ[A]6QEP[A]6QEV[B]6QFK[A]6QFO[A]6SH9[B]	Bacteria	13	GH101
core 1 endo-α-N-acetylgalactosaminidase (EngBF;BLLJ_0168)	3.2.1.97	pubmed	Bifidobacterium longum subsp. longum JCM 1217	CAM83935.1	A0A413AG90Q3T552	2ZXQ[A]6QEP[A]6QEV[B]6QFK[A]6QFO[A]6SH9[B]	Bacteria	13	GH101
core 1 endo-α-N-acetylgalactosaminidase (EngCP;CPF_0685)	3.2.1.97	pubmed	Clostridium perfringens ATCC 13124	ABG82921.1	A0A0H2YQ40Q0TTA3		Bacteria	13	GH101
endo-α-N-acetylgalactosaminidase (EngCP;CPE0693)	3.2.1.97	pubmed	Clostridium perfringens str. 13	BAB80399.1	B5BSV7Q8XMJ5		Bacteria	13	GH101
endo-α-N-acetylgalactosaminidase (EngCP;CPE0693)	3.2.1.97	pubmed	Clostridium perfringens str. 13	ACK18392.1	B5BSV7Q8XMJ5		Bacteria	13	GH101
endo-α-N-acetylgalactosaminidase (EngCP;CPE0693)	3.2.1.97	pubmed	Clostridium perfringens str. 13	BAG69287.1	B5BSV7Q8XMJ5		Bacteria	13	GH101
endo-α-N-acetylgalactosaminidase (EngCP;CPE0693)	3.2.1.97	pubmed	Clostridium perfringens str. 13	CAM83938.1	B5BSV7Q8XMJ5		Bacteria	13	GH101
endo-α-N-acetylgalactosaminidase (EngCP;CPE0693)	3.2.1.97	pubmed	Clostridium perfringens str. 13	NP_561609.1	B5BSV7Q8XMJ5		Bacteria	13	GH101
core 1 / core 3 endo-α-N-acetylgalactosaminidase (EngPA;PPA1569)	3.2.1.97	pubmed	Cutibacterium acnes KPA171202	AAT83312.1	Q6A7F3		Bacteria	13	GH101
core 1 / core 3 endo-α-N-acetylgalactosaminidase (EngEF;EndoEF) (partial)	3.2.1.97	pubmed	Enterococcus faecalis NBRC3971	BAG75105.1	B5UB72		Bacteria	13	GH101
endo-α-N-acetylgalactosaminidase (EF1800)	3.2.1.97	pubmed	Enterococcus faecalis V583	AAO81568.1	Q833X5		Bacteria	13	GH101
endo-α-N-acetylgalactosaminidase (EF1800)	3.2.1.97	pubmed	Enterococcus faecalis V583	CAM83940.1	Q833X5		Bacteria	13	GH101
core 1 endo-α-N-acetylgalactosaminidase (EngAA;AAur_1465)	3.2.1.97	pubmed	Paenarthrobacter aurescens TC1	ABM10140.1	A1R4S7		Bacteria	13	GH101
endo-α-N-acetylgalactosaminidase (spr0328) (SpGH101)	3.2.1.97	pubmed	Streptococcus pneumoniae R6	AAK99132.1	Q8DR60	3ECQ[A,B]	Bacteria	13	GH101
endo-α-N-acetylgalactosaminidase (spr0328) (SpGH101)	3.2.1.97	pubmed	Streptococcus pneumoniae R6	CAM83936.1	Q8DR60	3ECQ[A,B]	Bacteria	13	GH101
core 1 endo-α-N-acetylgalactosaminidase (EngSP; SP_0368)	3.2.1.97	pubmed	Streptococcus pneumoniae TIGR4	ABC75807.1	Q2MGH6	5A55[A]5A56[A]5A57[A]5A58[A]5A59[A]5A5A[A]	Bacteria	13	GH101
endo-α-N-acetylgalactosaminidase (Tn0153)	3.2.1.97	pubmed	Tyzzerella nexilis	WP_004611020.1			Bacteria	13	GH101
endo-α-N-acetylgalactosaminidase (Tn2105)	3.2.1.97	pubmed	Tyzzerella nexilis	WP_004612822.1			Bacteria	13	GH101
exo-α-N-acetylgalactosaminidase (NagBb)	3.2.1.49	pubmed	Bifidobacterium bifidum JCM 1254	BAL14929.1	G5ELM1	5WZN[A,B]5WZP[A,B]5WZQ[A,B]5WZR[A,B]	Bacteria	3	GH129
exo-α-1,3-(3,6)-anhydro-D-galactosidase (DagB; ZgGH129; zobellia_3152)	3.2.1.-	pubmed	Zobellia galactanivorans DsijT	CAZ97291.1	G0L004	5OPQ[A,B,C,D]	Bacteria	3	GH129
β-1,3-galactosyl-N-acetylhexosamine phosphorylase / galacto-N-biose/lacto-N-biose I phosphorylase (GLNBP;Apre_1669)	2.4.1.211	pubmed	Anaerococcus prevotii DSM 20548	ACV29689.1	C7RES6		Bacteria	16	GH112
lacto-N-biose phosphorylase (LnpA1;LnbP)	2.4.1.211	pubmed	Bifidobacterium bifidum JCM 1254	BAD80752.1	Q5NU16		Bacteria	16	GH112
galacto-N-biose / lacto-N-biose phosphorylase (LnpA1;LnbP;GLNBP;BLLJ_1623)	2.4.1.211	pubmed	Bifidobacterium longum subsp. longum JCM 1217	BAD80751.1	E8MF13	2ZUS[A,B,C,D]2ZUT[A,B,C,D]2ZUU[A,B,C,D]2ZUV[A,B]2ZUW[A,B,C,D]3WFZ[A,B,C,D]	Bacteria	16	GH112
galacto-N-biose / lacto-N-biose phosphorylase (LnpA1;LnbP;GLNBP;BLLJ_1623)	2.4.1.211	pubmed	Bifidobacterium longum subsp. longum JCM 1217	BAF73924.1	E8MF13	2ZUS[A,B,C,D]2ZUT[A,B,C,D]2ZUU[A,B,C,D]2ZUV[A,B]2ZUW[A,B,C,D]3WFZ[A,B,C,D]	Bacteria	16	GH112
galacto-N-biose / lacto-N-biose phosphorylase (LnpA1;LnbP;GLNBP;BLLJ_1623)	2.4.1.211	pubmed	Bifidobacterium longum subsp. longum JCM 1217	BAJ67290.1	E8MF13	2ZUS[A,B,C,D]2ZUT[A,B,C,D]2ZUU[A,B,C,D]2ZUV[A,B]2ZUW[A,B,C,D]3WFZ[A,B,C,D]	Bacteria	16	GH112
β-galactoside phosphorylase (bpr_I0232)	2.4.1.-	pubmed	Butyrivibrio proteoclasticus B316	ADL32981.1			Bacteria	16	GH112
