Desulfovibrio_vulgaris_Hildenborough_DVU0402	dsrA_reductive; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__Desulfovibrio_vulgaris
Desulfobacca_acetoxidans_1623	dsrA_reductive; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophaceae; g__Desulfobacca; s__Desulfobacca_acetoxidans
Thioalkivibrio_paradoxus_11980	dsrA_oxidative; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Thioalkalivibrio; s__Thioalkalivibrio_paradoxus
Desulfallas_gibsoniae_4662	dsrA_reductive; d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Desulfallas; s__Desulfallas_gibsoniae
Desulfovibrio_desulfuricans_0921	dsrA_reductive; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__Desulfovibrio_desulfuricans
Caldivirga_maquilingensis_0853	dsrA_reductive; d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Caldivirga; s__Caldivirga_maquilingensis
Chlorobium_phaeobacteroides_0128	dsrA_oxidative; d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobium; s__Chlorobium_phaeobacteroides
Marichromatium_purpuratum_10915	dsrA_oxidative; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Marichromatium; s__Marichromatium_purpuratum
Gordonibacter_pamelaeae_16670	dsrA_reductive; d__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Eggerthellales; f__Eggerthellaceae; g__Gordonibacter; s__Gordonibacter_pamelaeae
Chlorobaculum_tepidum_0852	dsrA_oxidative; d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__Chlorobaculum_tepidum
Archaeoglobus_fulgidus_0423	dsrA_reductive; d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__Archaeoglobus_fulgidus
Profundibacter_amoris_04755	dsrA_oxidative; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Profundibacter; s__Profundibacter_amoris
Magnetococcus_marinus_2156	dsrA_oxidative; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Magnetococcales; f__Magnetococcaceae; g__Magnetococcus; s__Magnetococcus_marinus
Thiobacillus_denitrificans_2485	dsrA_oxidative; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Thiobacillaceae; g__Thiobacillus; s__Thiobacillus_denitrificans
Desulfosporosinus_orientis_3303	dsrA_reductive; d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Desulfitobacteriaceae; g__Desulfosporosinus; s__Desulfosporosinus_orientis
Desulfosporosinus_acidiphilus_3005	dsrA_reductive; d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Desulfitobacteriaceae; g__Desulfosporosinus; s__Desulfosporosinus_acidiphilus
Thermodesulfovibrio_yellowstonii_A1994	dsrA_reductive; d__Bacteria; p__Nitrospirae; c__Thermodesulfovibrionia; o__Thermodesulfovibrionales; f__Thermodesulfovibrionaceae; g__Thermodesulfovibrio; s__Thermodesulfovibrio_yellowstonii
Dissulfurispira_thermophila_23480	drsA_disproportion; d__Bacteria; p__Nitrospirae; c__Thermodesulfovibrionia; o__Thermodesulfovibrionales; f__Dissulfurispiraceae; g__Dissulfurispira; s__Dissulfurispira_thermophila
Thermosulfurimonas_marina_07900	drsA_disproportion; d__Bacteria; p__Thermodesulfobacteria; c__Thermodesulfobacteria; o__Thermodesulfobacteriales; f__Thermodesulfobacteriaceae; g__Thermosulfurimonas; s__Thermosulfurimonas_marina
Pyrobaculum_islandicum_0171	dsrA_oxidative; d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Pyrobaculum; s__Pyrobaculum_islandicum
UniRef90_I1X4G7	dsrA_reverse
UniRef90_I1X4R9	dsrA_reverse
UniRef90_I1X575	dsrA_reverse
UniRef90_I1X4M5	dsrA_reverse
UniRef90_I1X507	dsrA_reverse
UniRef90_I1X4V2	dsrA_reverse
UniRef90_I1X5A3	dsrA_reverse
UniRef90_I1X4J3	dsrA_reverse
UniRef90_B8PT74	dsrA_reverse
UniRef90_B8PT86	dsrA_reverse
UniRef90_B8PTA7	dsrA_reverse
UniRef90_B8PTB0	dsrA_reverse
UniRef90_U5TVR3	dsrA_reverse
UniRef90_A0A0E9MIR8	dsrA_reverse
UniRef90_F5B950	dsrA_reverse
UniRef90_M1VRT2	dsrA_reverse
UniRef90_M1VF10	dsrA_reverse
UniRef90_M1V4X1	dsrA_reverse
UniRef90_M1VFF5	dsrA_reverse
UniRef90_M1V4F5	dsrA_reverse
UniRef90_M1VPN8	dsrA_reverse
UniRef90_E0D4E6	dsrA_reverse
UniRef90_M1VPW0	dsrA_reverse
UniRef90_M1VPZ2	dsrA_reverse
UniRef90_M1VFH9	dsrA_reverse
UniRef90_E0D4B6	dsrA_reverse
UniRef90_A0A060P1N5	dsrA
UniRef90_A0A076KVX9	dsrA
UniRef90_A0A076KWI5	dsrA
