Desulfovibrio_vulgaris_Hildenborough_DVU0403	dsrB_reductive; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__Desulfovibrio_vulgaris
Desulfobacca_acetoxidans_1622	dsrB_reductive; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophaceae; g__Desulfobacca; s__Desulfobacca_acetoxidans
Thioalkivibrio_paradoxus_11985	dsrB_oxidative; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Thioalkalivibrio; s__Thioalkalivibrio_paradoxus
Desulfallas_gibsoniae_4661	dsrB_reductive; d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Desulfallas; s__Desulfallas_gibsoniae
Desulfovibrio_desulfuricans_0920	dsrB_reductive; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__Desulfovibrio_desulfuricans
Caldivirga_maquilingensis_0854	dsrB_reductive; d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Caldivirga; s__Caldivirga_maquilingensis
Chlorobium_phaeobacteroides_0129	dsrB_oxidative; d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobium; s__Chlorobium_phaeobacteroides
Marichromatium_purpuratum_10910	dsrB_oxidative; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Marichromatium; s__Marichromatium_purpuratum
Gordonibacter_pamelaeae_16680	dsrB_reductive; d__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Eggerthellales; f__Eggerthellaceae; g__Gordonibacter; s__Gordonibacter_pamelaeae
Chlorobaculum_tepidum_0853	dsrB_oxidative; d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__Chlorobaculum_tepidum
Archaeoglobus_fulgidus_0424	dsrB_reductive; d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__Archaeoglobus_fulgidus
Profundibacter_amoris_04760	dsrA_oxidative; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Profundibacter; s__Profundibacter_amoris
Magnetococcus_marinus_2157	dsrA_oxidative; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Magnetococcales; f__Magnetococcaceae; g__Magnetococcus; s__Magnetococcus_marinus
Thiobacillus_denitrificans_2484	dsrA_oxidative; d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Thiobacillaceae; g__Thiobacillus; s__Thiobacillus_denitrificans
Desulfosporosinus_orientis_3302	dsrA_reductive; d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Desulfitobacteriaceae; g__Desulfosporosinus; s__Desulfosporosinus_orientis
Desulfosporosinus_acidiphilus_3004	dsrA_reductive; d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Desulfitobacteriaceae; g__Desulfosporosinus; s__Desulfosporosinus_acidiphilus
Thermodesulfovibrio_yellowstonii_A1995	dsrA_reductive; d__Bacteria; p__Nitrospirae; c__Thermodesulfovibrionia; o__Thermodesulfovibrionales; f__Thermodesulfovibrionaceae; g__Thermodesulfovibrio; s__Thermodesulfovibrio_yellowstonii
Dissulfurispira_thermophila_23480	drsA_disproportion; d__Bacteria; p__Nitrospirae; c__Thermodesulfovibrionia; o__Thermodesulfovibrionales; f__Dissulfurispiraceae; g__Dissulfurispira; s__Dissulfurispira_thermophila
Thermosulfurimonas_marina_07905	drsA_disproportion; d__Bacteria; p__Thermodesulfobacteria; c__Thermodesulfobacteria; o__Thermodesulfobacteriales; f__Thermodesulfobacteriaceae; g__Thermosulfurimonas; s__Thermosulfurimonas_marina
Pyrobaculum_islandicum_0170	dsrA_oxidative; d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Pyrobaculum; s__Pyrobaculum_islandicum
UniRef90_I1X4S0	dsrB_reverse
UniRef90_B8PTA0	dsrB_reverse
UniRef90_B8PTA4	dsrB_reverse
UniRef90_B8PT87	dsrB_reverse
UniRef90_B8PTB6	dsrB_reverse
UniRef90_B8PT61	dsrB_reverse
UniRef90_B8PT93	dsrB_reverse
UniRef90_B8PTB2	dsrB_reverse
UniRef90_B8PT91	dsrB_reverse
UniRef90_F5B950	dsrB_reverse
UniRef90_A0A024B4V5	dsrB
UniRef90_A0A068FKA2	dsrB
UniRef90_A0A076KV76	dsrB
UniRef90_A0A076KWL4	dsrB
UniRef90_A0A076KWM2	dsrB
UniRef90_A0A076L1C1	dsrB
UniRef90_A0A076L1D4	dsrB
UniRef90_A0A076L1H1	dsrB
UniRef90_A0A076L1P5	dsrB
UniRef90_A0A076L1U0	dsrB
UniRef90_A0A076L1V2	dsrB
UniRef90_A0A076L1W2	dsrB
UniRef90_A0A076L435	dsrB
UniRef90_A0A098AW07	dsrB
UniRef90_A0A098AXF8	dsrB
UniRef90_A0A0A0UYR4	dsrB
UniRef90_A0A0A0V3G6	dsrB
UniRef90_A0A0A1H426	dsrB
UniRef90_A0A0A8B420	dsrB
UniRef90_A0A0A8B5L4	dsrB
UniRef90_A0A0B0HE54	dsrB
UniRef90_A0A0D2JNK4	dsrB
UniRef90_A0A0E3GJE8	dsrB
UniRef90_A0A0E3GJF3	dsrB
UniRef90_A0A0E3GJF7	dsrB
UniRef90_A0A0E3GJH5	dsrB
UniRef90_A0A0E3GJI9	dsrB
UniRef90_A0A0E3GJJ2	dsrB
UniRef90_A0A0E3GJJ5	dsrB
UniRef90_A0A0E3GJJ8	dsrB
UniRef90_A0A0E3GJK3	dsrB
UniRef90_A0A0E3GJM5	dsrB
UniRef90_A0A0E3GJM7	dsrB
UniRef90_A0A0E3GJN1	dsrB
UniRef90_A0A0E3GJP5	dsrB
UniRef90_A0A0E3GJR7	dsrB
UniRef90_A0A0E3GJS1	dsrB
UniRef90_A0A0E3JE31	dsrB
UniRef90_A0A0E3JE67	dsrB
UniRef90_A0A0E3JE81	dsrB
UniRef90_A0A0E3JE86	dsrB
UniRef90_A0A0E3JEA5	dsrB
UniRef90_A0A0E3JEB8	dsrB
UniRef90_A0A0E3JEC0	dsrB
UniRef90_A0A0E3JFM5	dsrB
UniRef90_A0A0E3JFN4	dsrB
UniRef90_A0A0E3JFR8	dsrB
UniRef90_A0A0E3JFS3	dsrB
UniRef90_A0A0E3JFT1	dsrB
UniRef90_A0A0E3JFU2	dsrB
UniRef90_A0A0E3JFV7	dsrB
UniRef90_A0A0E3JFV8	dsrB
UniRef90_A0A0E3JFX3	dsrB
UniRef90_A0A0E3JFX5	dsrB
UniRef90_A0A0E3JIL4	dsrB
UniRef90_A0A0E3JIR0	dsrB
UniRef90_A0A0E3JIR2	dsrB
UniRef90_A0A0E3JIT5	dsrB
UniRef90_A0A0E3JIV6	dsrB
UniRef90_A0A0E3JIW9	dsrB
UniRef90_A0A0E3JIY0	dsrB
UniRef90_A0A0E3JJ18	dsrB
UniRef90_A0A0E3JJ21	dsrB
UniRef90_A0A0E3JJB4	dsrB
UniRef90_A0A0E3JJC3	dsrB
UniRef90_A0A0E3JJD5	dsrB
UniRef90_A0A0E3LX94	dsrB
UniRef90_A0A0E3LX99	dsrB
UniRef90_A0A0E3LXB0	dsrB
UniRef90_A0A0E3LXD8	dsrB
UniRef90_A0A0E3LXE1	dsrB
UniRef90_A0A0E3LXF1	dsrB
UniRef90_A0A0E3LXQ3	dsrB
UniRef90_A0A0E3LXQ9	dsrB
UniRef90_A0A0E3LY99	dsrB
UniRef90_A0A0E3LYA7	dsrB
UniRef90_A0A0E3LYC1	dsrB
UniRef90_A0A0E3LYE5	dsrB
UniRef90_A0A0E3LYE8	dsrB
UniRef90_A0A0E3LYH1	dsrB
UniRef90_A0A0E3LZ02	dsrB
UniRef90_A0A0E3LZ34	dsrB
UniRef90_A0A0E3LZ43	dsrB
UniRef90_A0A0E3LZ64	dsrB
UniRef90_A0A0E3LZA2	dsrB
UniRef90_A0A0E3LZA4	dsrB
UniRef90_A0A0E4GE13	dsrB
UniRef90_A0A0F2J5G4	dsrB
UniRef90_A0A0F2L5E8	dsrB
UniRef90_A0A0F2LAT6	dsrB
UniRef90_A0A0F2PF39	dsrB
UniRef90_A0A0F2PSH0	dsrB
UniRef90_A0A0F2Q8Z9	dsrB
UniRef90_A0A0F2RAK1	dsrB
UniRef90_A0A0F3GS98	dsrB
UniRef90_A0A0F9E9I0	dsrB
UniRef90_A0A0F9KXK6	dsrB
UniRef90_A0A0F9KYM8	dsrB
UniRef90_A0A0J1FDS8	dsrB
UniRef90_A0A0J1FWL4	dsrB
UniRef90_A0A0J1FWM3	dsrB
UniRef90_A0A0J1IA39	dsrB
UniRef90_A0A0K9IBB4	dsrB
UniRef90_A0A0M1J2M8	dsrB
UniRef90_A0A0M2U2K4	dsrB
UniRef90_A0A0M2U4R2	dsrB
UniRef90_A0A0M3PRU8	dsrB
UniRef90_A0A0M3R6G9	dsrB
UniRef90_A0A0M4FL82	dsrB
UniRef90_A0A0M9DW74	dsrB
UniRef90_A0A0P0USU4	dsrB
UniRef90_A0A0S7XQ61	dsrB
UniRef90_A0A0S7YRB8	dsrB
UniRef90_A0A0S7ZRR5	dsrB
UniRef90_A0A0S7ZWR5	dsrB
UniRef90_A0A0S8A2Y0	dsrB
UniRef90_A0A0S8BNT9	dsrB
UniRef90_A0A0S8C4B1	dsrB
UniRef90_A0A0S8E9J8	dsrB
UniRef90_A0A0S8F315	dsrB
UniRef90_A0A0S8HT87	dsrB
UniRef90_A0A0T6A8E7	dsrB
UniRef90_A0A0T6A8F5	dsrB
UniRef90_A0A0U5I6G4	dsrB
UniRef90_A0A0U5MPP8	dsrB
UniRef90_A0A0X8XAB5	dsrB
UniRef90_A0A101DJM8	dsrB
UniRef90_A0A101EAR8	dsrB
UniRef90_A0A101EBZ1	dsrB
UniRef90_A0A101JUE4	dsrB
UniRef90_A0A101VX91	dsrB
UniRef90_A0A101VXA4	dsrB
UniRef90_A0A101WTE8	dsrB
UniRef90_A0A101X6Y5	dsrB
UniRef90_A0A101XEF0	dsrB
UniRef90_A0A101XKT5	dsrB
UniRef90_A0A101XLN5	dsrB
UniRef90_A0A109CRL3	dsrB
UniRef90_A0A124IHB7	dsrB
UniRef90_A0A124IU45	dsrB
UniRef90_A0A124IV63	dsrB
UniRef90_A0A139BVE1	dsrB
UniRef90_A0A142D9V1	dsrB
UniRef90_A0A142D9V4	dsrB
UniRef90_A0A142D9V5	dsrB
UniRef90_A0A142D9V9	dsrB
UniRef90_A0A142D9W2	dsrB
UniRef90_A0A142D9W4	dsrB
UniRef90_A0A142D9W5	dsrB
UniRef90_A0A142D9W9	dsrB
UniRef90_A0A151AXM4	dsrB
UniRef90_A0A176S3T9	dsrB
UniRef90_A0A178M4S7	dsrB
UniRef90_A0A192W3Q5	dsrB
UniRef90_A0A192W3S2	dsrB
UniRef90_A0A192W3X1	dsrB
UniRef90_A0A1B1PZ50	dsrB
UniRef90_A0A1B1PZA9	dsrB
UniRef90_A0A1B4V4N8	dsrB
UniRef90_A0A1B4VAC2	dsrB
UniRef90_A0A1B4XCP6	dsrB
UniRef90_A0A1B4XFK2	dsrB
UniRef90_A0A1B7LD39	dsrB
UniRef90_A0A1C3FFJ4	dsrB
UniRef90_A0A1C9J717	dsrB
UniRef90_A0A1D2SM51	dsrB
UniRef90_A0A1E2UU44	dsrB
UniRef90_A0A1E5A1H0	dsrB
UniRef90_A0A1E5Q9V3	dsrB
UniRef90_A0A1E7GTQ4	dsrB
