seqname,tax_id
BCM89288.1,Abditibacteriota_bacterium_IAD-21
BBK23403.1,Absiella_argi_JCM_30884
BBK21450.1,Absiella_argi_JCM_30884
BBK23967.1,Absiella_argi_JCM_30884
BBK21191.1,Absiella_argi_JCM_30884
BBK22824.1,Absiella_argi_JCM_30884
BBK23649.1,Absiella_argi_JCM_30884
BBK22615.1,Absiella_argi_JCM_30884
BBK21844.1,Absiella_argi_JCM_30884
BBK21278.1,Absiella_argi_JCM_30884
BBK22473.1,Absiella_argi_JCM_30884
UOB19396.1,Abyssalbus_ytuae
UOB18234.1,Abyssalbus_ytuae
BBB22893.1,Abyssogena_phaseoliformis_symbiont_OG214
BDM78058.1,Acaryochloris_marina_MBIC10699
QUY43439.1,Acaryochloris_marina_S15
QUY40351.1,Acaryochloris_marina_S15
AEV68201.1,Acetivibrio_clariflavus_DSM_19732
AUG56707.1,Acetivibrio_saccincola_GGR1
AUG58483.1,Acetivibrio_saccincola_GGR1
AUG56675.1,Acetivibrio_saccincola_GGR1
BCI66739.1,Acetobacter_aceti_JCM20276
BCI67701.1,Acetobacter_aceti_JCM20276
BCI68415.1,Acetobacter_aceti_JCM20276
BCI65726.1,Acetobacter_aceti_JCM20276
BCK76239.1,Acetobacter_aceti_NBRC_14818
BCK74415.1,Acetobacter_aceti_NBRC_14818
BCK75987.1,Acetobacter_aceti_NBRC_14818
BCK76776.1,Acetobacter_aceti_NBRC_14818
AQS84561.1,Acetobacter_aceti_TMW2.1153
AQS85513.1,Acetobacter_aceti_TMW2.1153
AQS86485.1,Acetobacter_aceti_TMW2.1153
AQS84967.1,Acetobacter_aceti_TMW2.1153
AQS83721.1,Acetobacter_aceti_TMW2.1153
AQS85125.1,Acetobacter_aceti_TMW2.1153
AQS85287.1,Acetobacter_aceti_TMW2.1153
AOW47066.1,Acetobacter_ascendens_LMG_1590
AOW45457.1,Acetobacter_ascendens_LMG_1590
AOW46082.1,Acetobacter_ascendens_LMG_1590
AOW45465.1,Acetobacter_ascendens_LMG_1590
AOW47924.1,Acetobacter_ascendens_LMG_1590
ARW10893.1,Acetobacter_ascendens_SRCM101447
ARW10475.1,Acetobacter_ascendens_SRCM101447
CEF53690.1,Acetobacter_ghanensis_LMG_23848T
CEF54749.1,Acetobacter_ghanensis_LMG_23848T
CEF53636.1,Acetobacter_ghanensis_LMG_23848T
CEF54631.1,Acetobacter_ghanensis_LMG_23848T
CEF57214.1,Acetobacter_ghanensis_LMG_23848T
CEF55921.1,Acetobacter_ghanensis_LMG_23848T
CEF53356.1,Acetobacter_ghanensis_LMG_23848T
BBC79611.1,Acetobacter_orientalis_FAN1
BBC79713.1,Acetobacter_orientalis_FAN1
BBC80587.1,Acetobacter_orientalis_FAN1
BBC79626.1,Acetobacter_orientalis_FAN1
BBC78640.1,Acetobacter_orientalis_FAN1
BBC78929.1,Acetobacter_orientalis_FAN1
ANA13720.1,Acetobacter_oryzifermentans_SLV-7
ANA14533.1,Acetobacter_oryzifermentans_SLV-7
ANA14541.1,Acetobacter_oryzifermentans_SLV-7
ANA13013.1,Acetobacter_oryzifermentans_SLV-7
ANA15097.1,Acetobacter_oryzifermentans_SLV-7
ANA13075.1,Acetobacter_oryzifermentans_SLV-7
QEE86234.1,Acetobacter_oryzoeni_B6
QEE86158.1,Acetobacter_oryzoeni_B6
QEE85239.1,Acetobacter_oryzoeni_B6
QEE86150.1,Acetobacter_oryzoeni_B6
QEE86418.1,Acetobacter_oryzoeni_B6
QEE84573.1,Acetobacter_oryzoeni_B6
CCT60761.1,Acetobacter_pasteurianus_386B
CCT59238.1,Acetobacter_pasteurianus_386B
CCT59230.1,Acetobacter_pasteurianus_386B
AKR49206.1,Acetobacter_pasteurianus_Ab3
ALR88194.1,Acetobacter_pasteurianus_Ab3
QHM90455.1,Acetobacter_pasteurianus_CICC_22518
QHM90167.1,Acetobacter_pasteurianus_CICC_22518
ASL41779.1,Acetobacter_pasteurianus_dm
ASL41096.1,Acetobacter_pasteurianus_dm
ASL40125.1,Acetobacter_pasteurianus_dm
ASL40939.1,Acetobacter_pasteurianus_dm
ASL39779.1,Acetobacter_pasteurianus_dm
